Concelho,Datahora,M,FG,Via,Km,Natureza
Palmela,,11-01-2011 20:00,1,0RUA FOROS DAS P...,,-,Colisão com fuga
Santiago do Cacem,,20-11-2011 02:30,1,0-,,-,Colisão frontal
Santiago do Cacem,27-08-2011 20:50,0,1,AV NUNO ALVARE...-,Atropelamento de peões
Santiago do Cacem,19-07-2011 12:20,0,1,CRUZAMENTO DA ...-,Colisão lateral com outro veículo em mov...
Santiago do Cacem,01-08-2011 18:00,0,1,EM1112-,Colisão frontal
Santiago do Cacem,23-03-2011 13:00,0,1,EM555-,Despiste com colisão com veículo imobil. ...
Santiago do Cacem,08-05-2011 02:40,1,0,"EN26170,450",Despiste simples
Santiago do Cacem,05-09-2011 19:40,0,1,"EN261-32,590",Despiste com colisão com veículo imobil. ...
Santiago do Cacem,12-03-2011 02:10,1,0,"EN26266,500",Despiste simples
Santiago do Cacem,12-04-2011 18:40,0,1,"EN3896,200",Colisão lateral com outro veículo em mov...
Santiago do Cacem,12-03-2011 10:20,1,0,"IC1618,000",Colisão com veiculo ou obstáculo na faix...
Santiago do Cacem,24-02-2011 06:40,1,0,"IC1624,150",Colisão frontal
Santiago do Cacem,05-11-2011 02:55,0,1,"IC1637,600",Despiste simples
Santiago do Cacem,27-03-2011 09:45,0,1,"IC3330,000",Despiste com transposição do dispositivo...
Santiago do Cacem,16-08-2011 10:40,0,1,R 25 ABRIL - ERMI...-,Atropelamento de peões
Seixal,31-08-2011 22:25,1,0,"A215,600",Colisão com fuga
Seixal,16-12-2011 04:40,1,0,"A218,500",Colisão traseira com outro veículo em m...
Seixal,06-11-2011 20:25,2,0,"A219,250",Colisão lateral com outro veículo em mov...
Seixal,10-09-2011 21:30,0,1,AV DA LIBERDADE...-,Atropelamento de peões
Seixal,03-11-2011 11:35,0,1,Avenida 1o de Dez...-,Atropelamento de peões
Seixal,12-12-2011 04:30,0,1,Avenida 1o de Mai...-,Atropelamento de peões
Seixal,15-12-2011 20:00,0,1,Avenida 25 de Abri...-,Colisão lateral com outro veículo em mov...
Seixal,26-08-2011 16:00,0,1,Avenida Afonso Co...-,Atropelamento de peões
Seixal,14-12-2011 18:15,0,1,Avenida Metalúrgic...-,Atropelamento de peões
Seixal,30-04-2011 08:15,0,1,EM1090-,Atropelamento de peões
Seixal,16-11-2011 18:15,0,1,"EN3788,100",Atropelamento de peões
Seixal,15-07-2011 05:20,0,1,EN378-,Colisão frontal
Seixal,20-12-2011 20:09,0,1,R DA INDUSTRIA 10-,Atropelamento de peões
Seixal,08-09-2011 20:00,0,1,R LUIS DE CAMOE...-,Colisão frontal
Seixal,21-03-2011 08:30,0,1,Rua Cidade de Alm...-,Atropelamento de peões
Sesimbra,20-01-2011 09:10,1,0,AV JOAO PAULO II...-,Atropelamento de peões
Sesimbra,15-07-2011 14:30,0,1,"EN37733,600",Atropelamento de peões
Sesimbra,16-06-2011 17:30,0,1,"EN37818,100",Atropelamento de peões
Sesimbra,27-11-2011 16:20,1,0,"EN37913,600",Colisão frontal
Sesimbra,20-08-2011 01:30,0,1,EN379-,Colisão lateral com outro veículo em mov...
Sesimbra,01-08-2011 18:30,0,2,R DA PONTE-,Despiste com colisão com veículo imobil. ...
Sesimbra,22-04-2011 09:00,0,1,R JOSE CARLOS A...-,Despiste simples
Sesimbra,16-09-2011 19:30,0,1,R RIO GUADIANA-,Despiste com colisão com veículo imobil. ...
Setubal,26-05-2011 12:45,1,0,"A1222,400",Despiste com transposição do dispositivo...
Setubal,11-07-2011 03:45,1,0,Avenida Antero de ...-,Colisão lateral com outro veículo em mov...
Setubal,26-12-2011 18:10,0,1,Avenida Antero de ...-,Atropelamento de peões
Setubal,10-01-2011 18:55,0,1,Avenida de Belo H...-,Atropelamento de peões
Setubal,11-03-2011 12:30,0,1,BECO GERMANO V...-,Atropelamento de peões
Setubal,16-04-2011 11:50,0,1,"EN1023,000",Atropelamento de peões
Setubal,07-03-2011 08:00,1,0,"EN1023,500",Atropelamento de peões
Setubal,18-07-2011 19:30,1,0,"EN1027,100",Despiste com colisão com veículo imobil. ...
Setubal,26-11-2011 17:00,1,0,"EN1029,300",Despiste com capotamento
Setubal,29-05-2011 21:55,1,0,"EN1033,200",Despiste com capotamento
Setubal,03-11-2011 22:15,0,2,"EN1033,300",Colisão frontal
Setubal,26-08-2011 10:25,0,1,"EN1052,700",Despiste com colisão com veículo imobil. ...
Setubal,05-02-2011 07:10,1,0,EN10-,Despiste simples
Setubal,07-04-2011 17:30,0,1,EN10-8-,Colisão lateral com outro veículo em mov...
Setubal,30-12-2011 15:15,1,0,"EN37921,000",Colisão frontal
Setubal,07-06-2011 04:00,0,1,Estrada da Graça 2...-,Despiste com colisão com veículo imobil. ...
Setubal,21-08-2011 20:05,1,0,Estrada das Santas...-,Despiste com colisão com veículo imobil. ...
Setubal,05-10-2011 06:20,0,1,Estrada dos Ciprest...-,Despiste com colisão com veículo imobil. ...
Setubal,26-09-2011 10:00,0,1,Rua Comendador L...-,Colisão com veiculo ou obstáculo na faix...
Setubal,12-09-2011 11:05,1,0,Rua da Associação ...-,Atropelamento de peões
Setubal,22-12-2011 07:20,0,1,Rua Tenente Jean ...-,Atropelamento de peões
Sines,23-02-2011 02:20,0,1,--,Despiste com dispositivo de retenção
Sines,24-11-2011 17:28,0,1,AERODROMO SAO ...-,Despiste com capotamento
Sines,20-05-2011 07:40,0,1,"EM11091,000",Despiste simples
Sines,11-09-2011 09:24,0,1,EM1109-,Despiste com capotamento
Sines,15-10-2011 12:00,1,2,"EN120-16,600",Colisão lateral com outro veículo em mov...
Sines,08-08-2011 13:05,0,1,"ER261-58,900",Despiste simples
Sines,06-08-2011 16:30,0,1,"IP82,000",Colisão traseira com outro veículo em m...
Sines,21-10-2011 17:48,0,1,R ANTONIO ALEIX...-,Atropelamento de peões
Sines,16-12-2011 17:30,0,1,R MARIA DE LAMA...-,Atropelamento de peões
