Concelho,Datahora,M,FG,Via,km,Natureza
Concelho,DataHora,M*,FG*,Via,Km,Natureza
Lisboa,2009-12-19 02:45,0,1,Rua Alexandre Herculano 43,Colisão lat. c/outro veíc. mov.
Lisboa,2009-07-01 13:30,0,1,Avenida Brasília,Colisão com outras situações
Lisboa,2009-07-07 16:45,0,1,Avenida 24 de Julho 148,Atropelamento de peões
Lisboa,2009-07-12 01:10,0,1,Avenida Almirante Reis n.o 65,Atropelamento de peões
Lisboa,2009-09-04 17:45,0,1,Rua Possidónio da Silva 81,Atropelamento de peões
Lisboa,2009-11-27 16:25,0,4,Avenida da Liberdade,Colisão frontal
Lisboa,2009-09-13 00:30,0,1,Avenida Brasília,Atropelamento c/fuga
Lisboa,2009-10-07 16:30,0,1,Azinhaga da Cidade,Atropelamento c/fuga
Lisboa,2009-12-08 07:10,0,1,Rua Fradesso da Silveira 2,Atropelamento de peões
Lisboa,2009-08-23 00:35,0,1,"Av 24 de Julho, Junto CP de Santos",Atropelamento de peões
Lisboa,2009-10-09 20:15,0,1,Avenida Infante Dom Henrique,Atropelamento de peões
Lisboa,2009-07-06 17:30,0,1,Avenida da Liberdade 151,Atropelamento de peões
Lisboa,2009-11-08 04:00,0,1,Avenida Brasília,Atropelamento c/fuga
Lisboa,2009-11-12 09:30,0,1,Campo Grande,Colisão frontal
Lisboa,2009-12-12 20:00,0,1,Avenida Dom João II,Atropelamento de peões
Lisboa,2009-05-15 21:30,0,1,Rua Nelson de Barros 19,Atropelamento de peões
Lisboa,2009-07-30 16:45,0,1,AVENIDA DO BRASIL 178,Atropelamento de peões
Loures,2009-01-05 13:40,0,1,"A83,650",Despiste c/col. c/veíc. imobil./obst.
Loures,2009-03-03 19:40,0,2,"EN816,200",Atropelamento de peões
Loures,2009-09-11 17:30,0,2,Rua Arpalas,Colisão c/veic./obst. f. rodagem
Loures,2009-11-30 19:45,1,0,"EN816,100",Atropelamento de peões
Loures,2009-11-21 01:00,0,1,Estr Acesso Est Mercadorias (,Despiste c/dispositivo de retenção
Loures,2009-11-13 07:00,0,1,A8,Colisão com outras situações
Loures,2009-01-06 19:10,0,1,"EN11578,300",Colisão frontal
Loures,2009-01-25 08:50,0,1,"IC1718,150",Despiste simples
Loures,2009-01-06 15:40,0,1,R ALM GAGO COUTINHO 1,Atropelamento de peões
Loures,2009-02-05 15:00,0,1,"ER37429,100",Colisão frontal
Loures,2009-02-05 11:15,0,1,R ANTONIO R RODRIGUES 22,Despiste c/col. c/veíc. imobil./obst.
Loures,2009-05-10 07:40,0,2,IC17,Despiste c/dispositivo de retenção
Loures,2009-05-20 17:45,0,1,Outra Via,Despiste c/transp. disp. ret. lateral
Loures,2009-03-13 00:15,1,0,"A13,800",Colisão c/veic./obst. f. rodagem
Loures,2009-07-26 19:40,0,1,Rua 28 de Setembro 28.4,Colisão lat. c/outro veíc. mov.
Loures,2009-06-18 14:50,1,0,"A13,970",Despiste c/dispositivo de retenção
Loures,2009-03-18 17:25,0,1,R MANUEL CASIMIRO 4,Atropelamento de peões
Loures,2009-03-08 22:40,0,1,"EN374-231,000",Colisão lat. c/outro veíc. mov.
Loures,2009-03-22 21:30,0,1,R D CARLOS MASCARENHAS 2,Colisão tras. c/outro veíc. mov.
Loures,2009-11-26 12:15,0,1,R 1 MAIO,Despiste simples
Loures,2009-06-12 15:33,0,1,"EN25035,000",Colisão frontal
Loures,2009-04-12 01:45,0,1,"A15,000",Colisão tras. c/outro veíc. mov.
Loures,2009-08-06 12:45,0,1,IC17,Despiste s/dispositivo de retenção
Loures,2009-04-30 18:45,0,1,"EN374-227,900",Colisão lat. c/outro veíc. mov.
Loures,2009-08-01 02:20,1,0,"IC1717,400",Atropelamento de peões
Loures,2009-11-30 15:45,0,1,IC2,Colisão com outras situações
Loures,2009-11-11 06:50,1,0,EN10-6,Atropelamento de peões
Loures,2009-08-13 10:00,0,1,Rua Adriano Correia Oliveira 15A,Colisão com fuga
Loures,2009-09-29 16:15,0,1,Avenida 25 de Abril 7,Despiste s/dispositivo de retenção
Loures,2009-10-28 08:50,0,1,Rua Matos Pequenos 1,Colisão c/veic./obst. f. rodagem
Loures,2009-09-15 13:25,1,0,EN10,Despiste s/dispositivo de retenção
Lourinhã,2009-08-18 02:20,1,0,"EN247-13,170",Despiste c/capotamento
Lourinhã,2009-05-08 23:30,0,2,EST NOSSA SRA REMEDIOS,Colisão lat. c/outro veíc. mov.
Lourinhã,2009-07-25 21:30,0,1,R PRINCIPAL 88,Despiste simples
Lourinhã,2009-03-15 10:00,0,1,"EN2478,700",Despiste c/capotamento
Lourinhã,2009-01-07 19:30,0,1,AV DR FRANC SA CARNEIRO,Despiste simples
Mafra,2009-01-06 16:45,0,1,R MFA15,Colisão lat. c/outro veíc. mov.
Mafra,2009-11-28 19:36,0,1,"EN24747,200",Colisão frontal
Mafra,2009-03-03 09:20,0,1,Outra Via,Atropelamento de peões
Mafra,2009-03-04 20:40,0,1,"EN24749,100",Colisão frontal
Mafra,2009-03-16 20:20,0,1,AV 9 JULHO,Atropelamento de peões
Mafra,2009-03-30 15:20,0,2,R 25 ABRIL,Colisão frontal
Mafra,2009-04-27 09:15,1,0,"EN932,660",Colisão c/veic./obst. f. rodagem
Mafra,2009-08-11 11:45,0,1,"EN943,723",Colisão frontal
Mafra,2009-09-06 15:30,1,3,"EN830,800",Despiste c/col. c/veíc. imobil./obst.
Mafra,2009-08-30 14:00,0,1,R INSP RICARDO ALBERTO,Colisão lat. c/outro veíc. mov.
Mafra,2009-08-07 19:00,0,1,EN9,"38,300"
Mafra,2009-09-14 00:30,0,1,EN116,"7,400"
Mafra,2009-08-23 08:10,0,2,A8,"21,300"
Mafra,2009-10-06 18:15,1,2,EN9,"48,350"
Mafra,2009-10-15 08:25,0,1,EM120
Mafra,2009-10-20 02:48,0,1,A8,"24,200"
Mafra,2009-10-23 13:40,0,1,EST LAP
Mafra,2009-11-08 22:40,0,1,EN9,"44,400"
Mafra,2009-12-02 07:40,0,1,A8,"18,000"
Mafra,2009-12-04 05:00,1,0,A21,"12,750"
Mafra,2009-11-22 09:30,0,1,EN8,"31,000"
Mafra,2009-03-01 01:00,0,1,AV 9 JULHO 7
Odivelas,2009-01-11 00:15,0,1,IC2
Odivelas,2009-05-02 22:30,0,1,Rua de Olivença 33 
Odivelas,2009-09-03 22:30,0,1,R P. AMERICO MONT AGUIA
Odivelas,2009-04-10 00:40,0,1,R. Gen.Alves Roçadas 3
Odivelas,2009-06-14 14:05,0,1,R. Comand. Sacadura Cabral Lt 3
Odivelas,2009-01-06 14:40,0,1,R ANGOLA 
Odivelas,2009-05-09 04:00,0,1,IC17,"15,860"
Odivelas,2009-05-04 12:15,1,0,IC1
Odivelas,2009-09-04 16:30,1,0,Av. Severiano Pedro Falcã
Odivelas,2009-01-30 20:30,0,1,R P. AMERICO MONT AGUIA
Odivelas,2009-01-02 20:45,0,1,SAIDA IC17,"14,800"
Oeiras,2009-07-29 21:10,0,1,A5,"11,000"
Oeiras,2009-12-05 18:40,0,1,EN6,"7,400"
Oeiras,2009-11-15 18:10,0,1,EN117-1,"1,900"
Oeiras,2009-12-22 14:30,0,1,Av Ant Bernardo C Maced
Oeiras,2009-10-17 09:30,0,1,Avenida Portugal 3
Oeiras,2009-08-03 02:00,3,0,EN
Oeiras,2009-08-02 18:00,0,1,R. Rodrigo Albuquerque e Melo 
Oeiras,2009-05-16 08:00,1,1,EN6,"2,500"
Oeiras,2009-06-10 08:48,0,1,EN
Oeiras,2009-06-18 12:15,0,1,Rua Carlos Vieira Ramo
Oeiras,2009-08-14 20:10,0,1,Rua Luz Soriano 1
Oeiras,2009-01-22 12:00,1,0,EN6,"7,300"
Oeiras,2009-01-09 09:35,1,0,IC19,"7,400"
Oeiras,2009-03-02 09:10,0,1,AV D PEDRO V 2
Oeiras,2009-11-27 11:00,0,1,EN
Oeiras,2009-03-12 21:45,0,1,EN6,"3,887"
Sintra,2009-01-26 00:40,0,1,EN117,"19,000"
