Concelho,Datahora,M,FG,Via,km,Natureza
Concelho,DataHora,M*,FG*,Via,Km,Natureza
V. F. de Xira,2009-08-04 02:00,1,0,A1,"15,200"
V. F. de Xira,2009-08-01 00:35,0,1,EN1,"28,730"
V. F. de Xira,2009-08-09 01:40,0,1,A1,"13,300"
V. F. de Xira,2009-11-29 12:30,0,1,EN1
V. F. de Xira,2009-11-17 06:40,0,1,EN1
V. F. de Xira,2009-11-25 19:42,0,1,EN1
V. F. de Xira,2009-06-24 16:30,1,0,EN10,"125,800"
V. F. de Xira,2009-10-01 05:00,0,1,IC2,"29,200"
V. F. de Xira,2009-12-30 17:40,0,1,EM123
V. F. de Xira,2009-11-14 01:30,0,1,VAR-VIALO
V. F. de Xira,2009-12-16 21:00,0,1,EST CANICO
V. F. de Xira,2009-12-13 16:25,0,1,A1,"12,400"
V. F. de Xira,2009-01-13 18:50,0,1,A1,"14,600"
,,79,356,,
