Concelho Datahora M* FG* Via,km,Natureza
V.N. Famalicão,2007:07:21 04:10:00,0,3,EN14,"21,872",Colisão frontal
V.N. Famalicão,2007:03:17 02:20:00,1,0,EN14,"21,450",Despiste simples
V.N. Famalicão,2007:01:13 15:50:00,1,0,A7,"19,275",Despiste simples
V.N. Famalicão,2007:07:22 04:00:00,0,1,EN206,"17,100",Col. lat. c/ outro veíc. mov.
V.N. Famalicão,2007:08:09 18:25:00,1,0,EN206,"14,857",Atropelamento peões
Concelho,Datahora,M,FG,,Via,km,Natureza
V.N. Famalicão,2007:01:13 14:45:00,1,0,EN309,,,Colisão frontal
V.N. Famalicão,2007:03:05 21:00:00,0,1,R QUINTAES,,,Atropelamento peões
V.N. Famalicão,2007:05:01 11:20:00,1,0,AV SILVA PEREIRA,,,Atropelamento peões
V.N. Famalicão,2007:06:23 16:00:00,0,1,R N SRA CARMO,,,Col. lat. c/ outro veíc. mov.
V.N. Famalicão,2007:07:10 19:30:00,0,1,VIM,,,Despiste simples
V.N. Famalicão,2007:08:04 09:20:00,0,1,AV PRINCIPAL TELHADO,,,Atropelamento peões
V.N. Famalicão,2007:11:07 09:10:00,0,1,AV S MIGUEL,,,Col. lat. c/ outro veíc. mov.
V.N. Famalicão,2007:11:16 11:30:00,0,1,AV O VEIRÃO,,,Colisão frontal
Vila Verde,2007:08:06 19:30:00,0,1,EN101,,"84,650",Despiste simples
Vila Verde,2007:12:04 08:55:00,1,0,EN101,,"84,600",Colisão frontal
Vila Verde,2007:01:29 22:00:00,0,1,EN101,,"81,620",Despiste simples
Vila Verde,2007:09:09 07:35:00,1,0,EN101,,"81,260",Atropelamento peões
Vila Verde,2007:03:16 22:00:00,0,1,EN101,,"81,200",Col. tras. c/ outro veíc. mov.
Vila Verde,2007:11:15 23:20:00,0,1,EN201,,"57,350",Atropelamento peões
Vila Verde,2007:11:16 09:35:00,0,1,EN201,,"56,700",Atropelamento peões
Vila Verde,2007:10:05 21:00:00,0,1,EN201,,"54,500",Despiste simples
Vila Verde,2007:03:10 20:30:00,0,1,EN201,,"53,300",Atropelamento peões
Vila Verde,2007:09:23 20:00:00,1,0,EN201,,"48,900",Atropelamento peões
Vila Verde,2007:04:30 16:20:00,1,0,EN205,,"39,935",Col. lat. c/ outro veíc. mov.
Vila Verde,2007:05:21 20:30:00,0,1,EN308,,"24,610",Despiste s/ disp. retenção
Vila Verde,2007:08:12 14:00:00,0,1,LUGAR IGREJA,,,Colisão frontal
Vila Verde,2007:09:09 13:00:00,1,0,Estrada Municipal,,,Despiste simples
Vizela,2007:10:28 02:15:00,0,1,EN207-1,"13,150",Col. lat. c/ outro veíc. mov.
Vizela,2007:04:03 12:40:00,0,1,R COMED JOÃO PEREIRA,,Atropelamento peões
Vizela,2007:06:03 05:00:00,1,0,R QUINTA,,Despiste com capotamento
Vizela,2007:08:03 19:30:00,0,1,R BOUÇO,,Col. lat. c/ outro veíc. mov.
