Concelho,Datahora,M,FG,,Via,km,Natureza
Cascais,2006:12:07 22:45:00,0,1,EN247-5,,"8,5",Colisão frontal
Cascais,2006:12:09 11:15:00,0,1,R.Antonio Louro,,,Col.lat.c/outro veíc.em mov.
Cascais,2006:12:22 07:15:00,0,1,EN7,,,Atrop.de peões
Cascais,2006:12:24 12:10:00,0,2,EN249-4,,,Col.lat.c/outro veíc.em mov.
Lisboa,2006:01:01 04:30:00,1,4,Av.Alm.Gago Coutinho,,,Col.lat.c/outro veíc.em mov.
Lisboa,2006:01:02 19:10:00,0,1,Al.Linhas Torres,,,Atrop.de peões
Lisboa,2006:01:07 02:00:00,0,1,Av.Brasilia,,,Colisão frontal
Lisboa,2006:01:07 15:30:00,0,1,Av.Carlos Pinhão -  A-B Armada,,,Desp.c/col.c/ veíc.imob.ou obst.
Lisboa,2006:01:09 13:15:00,0,1,Av.Eng.Arantes Oliveira,,,Col.lat.c/outro veíc.em mov.
Lisboa,2006:01:13 13:40:00,0,1,R.Pedrouços,,,Atrop.de peões
Lisboa,2006:01:13 14:45:00,0,1,Av.Lusiada,,,Col.c/veic.ou obst.na f.de rod.
Lisboa,2006:01:14 01:15:00,0,1,Av.Vasco Gama,,,Despiste simples
Lisboa,2006:01:20 21:30:00,0,2,Av.Alm Reis/R.Angola,,,Colisão frontal
Lisboa,2006:01:23 03:15:00,0,1,Pç.Baden Powell,,,Despiste simples
Lisboa,2006:01:23 14:30:00,0,1,Av.Descobertas,,,Atrop.de peões
Lisboa,2006:01:26 10:25:00,0,1,Av.Afonso III,,,Col.lat.c/outro veíc.em mov.
Lisboa,2006:01:29 16:30:00,0,2,Av.Alm.Gago Coutinho,,,Col.lat.c/outro veíc.em mov.
Lisboa,2006:01:30 12:15:00,0,1,Pç.D.Pedro IV,,,Atrop.de peões
Lisboa,2006:02:01 17:45:00,0,1,Av.Gen.Roçadas,,,Atropelamento com fuga
Lisboa,2006:02:01 19:10:00,0,1,Pç.Marc.Humb .Delgado,,,Atrop.de peões
Lisboa,2006:02:02 05:00:00,0,1,Av.Cidade Porto,,,Despiste simples
Lisboa,2006:02:03 06:40:00,0,1,Pç.Aeroporto,,,Despiste com capotamento
Lisboa,2006:02:03 16:50:00,0,1,Av.24 Julho,,,Atrop.de peões
Lisboa,2006:02:04 18:35:00,0,1,Av.Dr.Augusto Castro,,,Atrop.de peões
Lisboa,2006:02:04 18:50:00,1,0,Av.India,,,Desp.c/col.c/ veíc.imob.ou obst.
Lisboa,2006:02:06 18:35:00,0,1,Av.24 Julho,,,Atrop.de peões
Lisboa,2006:02:07 11:15:00,0,1,Av.Inf D.Henrique,,,Col.lat.c/outro veíc.em mov.
Lisboa,2006:02:07 15:45:00,0,1,Av.Inf D.Henrique,,,Col.c/veic.ou obst.na f.de rod.
Lisboa,2006:02:10 10:15:00,0,1,Av.Gen.Roçadas,,,Col.lat.c/outro veíc.em mov.
Lisboa,2006:02:11 22:45:00,0,1,R.Morais Soares,,,Colisão com outras situações
Lisboa,2006:02:12 15:50:00,0,1,Av.D.João II,,,Despiste simples
Lisboa,2006:02:16 15:50:00,0,1,Av.Alm.Reis,,,Atrop.de peões
Lisboa,2006:02:16 23:55:00,0,1,Av.Ceuta,,,Despiste simples
Lisboa,2006:02:17 11:45:00,0,1,Av.Berlim - Hospital SAMS,,,Atrop.de peões
Lisboa,2006:02:17 15:50:00,0,2,Av.Fontes P.Melo,,,Atrop.de peões
Lisboa,2006:02:19 00:30:00,0,1,Av.Lusiada,,,Desp.c/col.c/ veíc.imob.ou obst.
Lisboa,2006:02:19 13:20:00,0,1,Av.Alm.Reis/R.Pascoal Melo,,,Atrop.de peões
Lisboa,2006:02:22 12:50:00,0,1,R.Castilho/R.Alex.Herculano,,,Despiste simples
Lisboa,2006:02:22 17:40:00,0,1,Av.Padre Cruz,,,Desp.c/transp.do disp.de ret.lat.
Lisboa,2006:02:22 18:15:00,0,1,Av.24 Julho,,,Atrop.de peões
