Concelho,Datahora,M,FG,Via,km,Natureza
Cascais,2011:02:17 16:45:00,1,1,EN6,,Colisão lat. c/ outro veíc. mov.
Cascais,2011:02:27 17:55:00,0,1,EN247,"89,600",Colisão lat. c/ outro veíc. mov.
Cascais,2011:03:20 09:45:00,1,0,R Torre,,A  t r  o  p  e  la  me  n  t od e peões
Cascais,2011:04:20 21:00:00,0,1,Av Inf D Henrique,,A  t r o  p  e  l a  me  n  t od e peões
Cascais,2011:04:27 11:05:00,1,0,EN6,,Atropelamento de peões
Cascais,2011:05:01 23:10:00,0,1,Est Malveira Serra,,Colisão frontal
Cascais,2011:05:01 23:20:00,1,0,EN249-4,"5,100",Colisão frontal
Cascais,2011:05:17 09:10:00,0,1,Est José Justino Anjos,,Colisão frontal
Cascais,2011:05:31 04:45:00,0,2,EN6,,Despiste c/col. c/veíc. imobil./obst.
Cascais,2011:07:11 09:00:00,0,1,Est José Justino Anjos,,Co  li s  ã  ol a  t .c  /  o  u  t r ov  e íc. mov.
Cascais,2011:07:13 17:00:00,0,1,R Ivone Silva,,Colisão frontal
Cascais,2011:07:13 19:00:00,0,1,R Bartolomeu Dias,,Atropelamento de peões
Cascais,2011:07:15 20:00:00,0,1,R Alvide,,Despiste simples
Cascais,2011:07:24 19:20:00,1,0,Est Livramento (Viaduto da A5),,Despiste c/col. c/veíc. imobil./obst.
Cascais,2011:08:18 00:40:00,0,1,EN6-7,"2,900",Despiste s/dispositivo de retenção
Cascais,2011:09:02 12:30:00,0,1,ACC-A5,,Despiste s/dispositivo de retenção
Cascais,2011:09:04 07:40:00,1,0,EN6,"14,800",Despiste s/dispositivo de retenção
Cascais,2011:09:07 14:25:00,0,1,EN6,"15,300",Colisão com outras situações
Cascais,2011:09:22 19:00:00,0,1,R Maestro Tavares Belo,,Co  l i s ã  ola  t .  c  /o  u  t r ov  e  í c  . mov.
Cascais,2011:09:25 12:30:00,0,1,EN247,,Colisão frontal
Cascais,2011:10:08 22:15:00,1,0,Av Amália Rodrigues,,Despiste s/dispositivo de retenção
Cascais,2011:10:15 07:55:00,0,1,EN249-4,,Colisão frontal
Cascais,2011:10:20 09:15:00,0,1,Pct Gil Vicente,,A  t r o  p  e  l a  me  n  t od  epeões
Cascais,2011:10:22 05:50:00,2,1,EN6,"14,400",Despiste s/dispositivo de retenção
Cascais,2011:10:28 22:50:00,0,3,EN6,"15,000",Colisão com outras situações
Cascais,2011:10:30 04:15:00,0,1,EN249-4,"8,800",Despiste s/dispositivo de retenção
