Concelho,Datahora,M,FG,Via,km,Natureza
Pacos de Ferreira,2009:05:24 12:00:00,0,1,VIA PODER LOCAL,Colisão com outras situações
Pacos de Ferreira,2009:03:02 23:15:00,0,1,ROT PINHEIRAL,Despiste simples
Pacos de Ferreira,2009:01:23 19:30:00,0,1,R PARQUE,Colisão com fuga
,,,,AV PORTA CAPITA
Pacos de Ferreira,2009:08:25 18:40:00,1,0,,Atropelamento de peões
,,,,MOVE
Pacos de Ferreira,2009:05:25 12:15:00,0,1,R RIBEIRO PENAMAIOR,Despiste simples
Paredes,2009:11:02 18:10:00,0,3,AV CARDAL,Colisão frontal
Paredes,2009:12:02 17:40:00,1,0,"EN31927,950",Atropelamento de peões
Paredes,2009:03:07 20:30:00,0,1,"EN31918,600",Atropelamento de peões
Paredes,2009:07:25 17:10:00,0,1,"EN319-21,178",Atropelamento de peões
Paredes,2009:04:16 13:10:00,1,0,"EN1522,300",Colisão lat. c/outro veíc. mov.
Paredes,2009:03:20 09:30:00,1,0,"EN1514,800",Despiste c/col. c/veíc. imobil./obst.
Paredes,2009:07:20 15:45:00,0,1,AV CENTRAL PORTELA,Colisão lat. c/outro veíc. mov.
Paredes,2009:10:04 16:15:00,1,0,R AGRELA,Despiste c/col. c/veíc. imobil./obst.
,,,,AV FAUSTINO MOREIR
Paredes,2009:03:20 00:50:00,0,1,,Atropelamento de peões
,,,,SANTO
Paredes,2009:02:14 20:00:00,1,0,"A422,730",Colisão tras. c/ outro veíc. mov.
Paredes,2009:06:22 19:30:00,1,0,"EN31920,470",Atropelamento de peões
Paredes,2009:08:29 19:00:00,0,1,"EN31929,780",Colisão lat. c/outro veíc. mov.
Paredes,2009:08:28 14:55:00,0,1,"A429,850",Despiste c/ disp. retenção
,,,,AV DR FRANCISCO S
Paredes,2009:12:01 20:10:00,1,0,,Colisão frontal
,,,,CARNEIR
,,,,R DR JOSE BARNARD
Paredes,2009:08:15 21:40:00,0,1,,Colisão lat. c/outro veíc. mov.
,,,,PACHECO PEREIRA LEIT
Paredes,2009:09:26 23:50:00,0,1,R RAINHA STA TERESA,Colisão com outras situações
Paredes,2009:12:22 14:00:00,0,2,"EN1520,700",Colisão frontal
Paredes,2009:11:29 16:00:00,0,1,"EN20927,300",Colisão c/veic./obstá. f. rodagem
,,,,AV FRANCISCO S
Paredes,2009:11:12 18:00:00,0,1,,Colisão frontal
,,,,CARNEIR
,,,,R PROF JOSE MEIRELE
Paredes,2009:07:06 09:00:00,0,1,,Colisão lat. c/outro veíc. mov.
,,,,CUNH
Penafiel,2009:12:04 22:00:00,1,1,"EN2112,700",Colisão frontal
Penafiel,2009:01:02 21:00:00,0,1,R SAMIL,Despiste simples
Penafiel,2009:03:15 16:00:00,0,1,"EN10632,830",Colisão lat. c/outro veíc. mov.
Penafiel,2009:08:28 16:15:00,7,0,VAR-CAVALU,Colisão frontal
Penafiel,2009:10:26 08:00:00,0,1,"EN2112,850",Colisão com outras situações
Penafiel,2009:03:07 20:40:00,0,1,"EN10626,100",Despiste simples
Penafiel,2009:04:26 14:38:00,1,2,"EN10629,143",Colisão lat. c/outro veíc. mov.
Penafiel,2009:09:16 13:15:00,0,1,LUGAR AZIZ,Colisão frontal
Penafiel,2009:07:09 10:40:00,2,1,"EN319-24,300",Despiste s/ disp. retenção
Penafiel,2009:12:15 08:00:00,0,1,R LAMOSO,Colisão com outras situações
Penafiel,2009:04:23 15:30:00,0,1,"EN1534,900",Colisão frontal
Penafiel,2009:03:24 23:37:00,0,1,"EN10630,200",Atropelamento de peões
Penafiel,2009:07:02 22:30:00,0,1,AV LIBERDADE,Colisão com outras situações
Penafiel,2009:09:27 09:00:00,0,1,AV LUIS CAMOES,Colisão lat. c/outro veíc. mov.
Penafiel,2009:03:24 10:30:00,0,1,"A443,050",Despiste simples
Penafiel,2009:05:31 12:10:00,2,2,"EN10631,065",Colisão frontal
Penafiel,2009:01:29 20:30:00,0,1,"EN10625,800",Atropelamento de peões
Penafiel,2009:07:23 07:15:00,0,1,AV PEDREIRAS,Atropelamento de peões
Penafiel,2009:05:30 19:00:00,0,1,LUGAR LETRAS,Colisão lat. c/outro veíc. mov.
Penafiel,2009:05:11 19:30:00,0,2,"EN106-33,200",Colisão lat. c/outro veíc. mov.
Penafiel,2009:11:02 19:40:00,0,1,"EN10630,800",Despiste simples
Penafiel,2009:12:22 14:00:00,0,1,"EN10623,750",Colisão frontal
Penafiel,2009:10:29 10:50:00,0,1,"EN10132,134",Colisão frontal
Penafiel,2009:05:28 19:15:00,0,1,"EN10624,100",Despiste c/col. c/veíc. imobil./obst.
Porto,2009:08:31 08:30:00,0,1,A20,Atropelamento de peões
Porto,2009:05:18 21:10:00,1,0,Praça da Batalha,Atropelamento de peões
,,,,Rua do Monte dos Burgo
Porto,2009:06:25 16:35:00,1,0,,Atropelamento de peões
,,,,(Sob A 20
Porto,2009:08:10 11:50:00,0,1,A20,"13,400",Despiste c/ disp. retenção
Porto,2009:04:01 09:35:00,0,1,Viaduto da Areosa,,Colisão frontal
Porto,2009:11:09 12:15:00,0,1,Rua Diogo Botelho,,Atropelamento de peões
Porto,2009:05:14 16:35:00,0,1,Rua Costa Cabral,,Atropelamento de peões
Porto,2009:09:08 20:35:00,0,1,Avenida França,,Atropelamento de peões
Porto,2009:08:20 06:20:00,0,1,Alameda de Cartes,,Atropelamento com fuga
,,,,R EXERCITO LIBERTADOR,,
Porto,2009:10:14 22:30:00,0,1,,,Atropelamento de peões
,,,,C/ R ANTONIO ENES,,
,,,,Rua Doutor Manuel Pereira,,
Porto,2009:09:29 17:25:00,0,1,,,Atropelamento de peões
,,,,da Silva,,
Porto,2009:11:07 08:50:00,0,1,Rua Carrington da Costa,,Despiste com capotamento
Porto,2009:06:30 13:35:00,1,0,A20,"13,700",Atropelamento de peões
,,,,Rua Manuel Pinto de,,
Porto,2009:10:17 09:50:00,0,1,,,Atropelamento com fuga
,,,,Azevedo,,
Porto,2009:03:27 09:00:00,0,1,Avenida Boavista,,Atropelamento de peões
Porto,2009:12:02 20:25:00,1,0,A1,"302,800",Atropelamento de peões
Porto,2009:10:29 17:50:00,0,1,A20,,Colisão c/veic./obstá. f. rodagem
Porto,2009:04:02 13:00:00,0,1,Rua Costa Cabral,,Atropelamento de peões
Porto,2009:01:07 09:00:00,0,2,Avenida Paiva Couceiro,,Colisão frontal
Porto,2009:06:13 11:25:00,0,1,Estrada da Circunvalação,,Colisão lat. c/outro veíc. mov.
,,,,R D JOAO IV c/ LG,,
Porto,2009:10:11 07:25:00,1,0,ESCULTOR JOSE,,Atropelamento de peões
,,,,MOREIRA,,
Porto,2009:07:31 18:00:00,0,1,Largo da Lapa,,Atropelamento de peões
,,,,Rua Regulo Magoanha-,,
Porto,2009:07:28 14:10:00,0,1,,,Atropelamento de peões
,,,,Porto,,
Porto,2009:12:16 12:35:00,1,0,EN12,"4,800",Despiste com capotamento
,,,,Estrada Interior da,,
Porto,2009:03:27 07:00:00,0,1,,,Atropelamento de peões
,,,,Circunvalação,,
,,,,Rua Professor Bento de,,
Porto,2009:12:21 21:40:00,0,1,,,Colisão lat. c/outro veíc. mov.
,,,,Jesus Caraça,,
Porto,2009:03:07 12:05:00,0,1,PC GALIZA,,Atropelamento de peões
Porto,2009:10:02 17:45:00,0,1,Rua Boavista,,Atropelamento de peões
Porto,2009:01:04 18:20:00,1,0,Rua Constituição,,Atropelamento de peões
Porto,2009:08:20 10:30:00,0,1,Ava. Montevideu,,Atropelamento de peões
,,,,Avenida Engenheiro,,
Porto,2009:02:19 02:05:00,1,2,,,Despiste s/ disp. retenção
,,,,Gustavo Eifell,,
Porto,2009:12:22 22:40:00,1,0,R ALEGRIA,,Atropelamento de peões
Porto,2009:02:17 07:30:00,1,0,Rua João de Barros,,Colisão lat. c/outro veíc. mov.
Povoa de Varzim,2009:11:21 18:00:00,0,1,ACC-A28,,Colisão frontal
,,,,R PADRE LINO SILVA,,
Povoa de Varzim,2009:07:31 18:00:00,0,1,,,Colisão lat. c/outro veíc. mov.
,,,,ARAUJO,,
Povoa de Varzim,2009:06:10 02:15:00,0,1,A28,"34,000",Despiste simples
Povoa de Varzim,2009:05:29 12:10:00,0,1,R BARROCAS,,Colisão frontal
,,,,R BELARMINO PEREIRA C/,,
Povoa de Varzim,2009:08:02 21:00:00,0,1,,,Colisão frontal
,,,,R PENALVES,,
Povoa de Varzim,2009:07:05 03:30:00,1,2,EN13,"32,150",Colisão com fuga
Povoa de Varzim,2009:03:10 13:30:00,0,1,AV DO MAR,,Colisão c/veic./obstá. f. rodagem
Povoa de Varzim,2009:03:28 14:00:00,0,1,Rua José Moreira Amorim,,Atropelamento de peões
Povoa de Varzim,2009:06:20 12:10:00,0,2,R IGREJA,,Despiste simples
Povoa de Varzim,2009:03:05 21:30:00,0,2,ACC-A28,,Colisão lat. c/outro veíc. mov.
Povoa de Varzim,2009:05:30 17:30:00,0,1,R ALDEIA,,Colisão lat. c/outro veíc. mov.
Povoa de Varzim,2009:11:12 18:35:00,1,0,A28,"31,600",Colisão tras. c/ outro veíc. mov.
Povoa de Varzim,2009:02:18 12:30:00,0,1,R ARTUR AIRES,,Atropelamento de peões
Povoa de Varzim,2009:05:06 17:20:00,0,2,A28,"33,250",Despiste com capotamento
Povoa de Varzim,2009:03:02 18:00:00,0,1,R FONTE CABRA RATES,,Colisão frontal
Santo Tirso,2009:07:18 15:40:00,0,1,EN105,"19,100",Atropelamento de peões
Santo Tirso,2009:11:28 09:10:00,0,2,Rua Fernando Pires Lima,,Despiste s/ disp. retenção
Santo Tirso,2009:08:27 19:40:00,0,1,EN105,"29,950",Despiste simples
Santo Tirso,2009:02:05 08:02:00,0,1,VAR-EN104,,Despiste com capotamento
