Concelho,Datahora,M,FG,Via,km,Natureza
S. M. da Feira,2012:05:29 07:40:00,0,1,R DA CARGA,,Colisão lat. c/outro veíc. mov.
S. M. da Feira,2012:07:07 16:25:00,0,1,Rua Travanca de Cima,,Atropelamento de peões
S. M. da Feira,2012:07:09 16:55:00,0,1,Ava Dr. Franc. Sá Carneiro,,Colisão lat. c/outro veíc. mov.
S. M. da Feira,2012:07:11 16:15:00,1,1,Rua Cerejeira,,Colisão lat. c/outro veíc. mov.
S. M. da Feira,2012:07:15 20:15:00,0,1,Rua Ribeira da Venda,,Despiste simples
S. M. da Feira,2012:07:19 13:10:00,1,0,R. N. Senhora da Piedade,,Colisão frontal
S. M. da Feira,2012:08:24 21:30:00,1,1,A1,"275,250",Colisão tras. c/ outro veíc. mov.
S. M. da Feira,2012:09:10 20:26:00,1,0,Rua do Cedro,,Colisão lat. c/outro veíc. mov.
S. M. da Feira,2012:09:19 08:15:00,0,1,Rua do Cai Água,,Colisão c/veic./obstáculo f.rodagem
S. M. da Feira,2012:09:22 14:00:00,0,2,Rua Principal,,Despiste c/ col. c/ veíc. imobil./obst.
S. M. da Feira,2012:10:14 20:00:00,0,1,Ava da Igreja,,Despiste com capotamento
S. M. da Feira,2012:11:09 08:40:00,1,1,Av. Dr Franc. Sá Carneiro,,Colisão frontal
S. M. da Feira,2012:11:24 19:30:00,0,1,Rua da Atalaia,,Colisão frontal
S. M. da Feira,2012:11:26 10:00:00,0,1,EN1,"280,500",Colisão lat. c/outro veíc. mov.
S. M. da Feira,2012:12:15 18:00:00,0,1,Rua 5 de Outubro,,Atropelamento de peões
S. M. da Feira,2012:12:26 14:45:00,0,1,Ava de Lourosa,,Atropelamento de peões
S. M. da Feira,2012:12:30 07:00:00,0,1,Rua do Comércio,,Despiste simples
S. J. Madeira,2012:04:08 09:20:00,0,1,IC2,"272,800",Colisão com outras situações
S. J. Madeira,2012:07:18 18:23:00,0,1,Rua Serpa Pinto,,At r o  p  e  l a  me  n  t od  ep  e  õ  e  s
S. J. Madeira,2012:12:09 17:40:00,1,0,IC2,"273,656",Colisão frontal
S. J. Madeira,2012:04:17 07:50:00,1,0,Av. Cte. Aug. Mart. Pereira,,Colisão frontal
Vagos,2012:05:27 21:15:00,0,1,R DIREITA,,Despiste simples
Vagos,2012:06:26 00:30:00,3,2,Estrada Municipal,,Despiste simples
Vagos,2012:08:04 23:45:00,0,2,Rua Principal,,Colisão lat. c/outro veíc. mov.
Vale de Cambra,2012:02:11 08:30:00,0,1,R DA GRANJA,,Colisão lat. c/outro veíc. mov.
Vale de Cambra,2012:02:22 18:30:00,1,0,EM550,"4,000",Colisão frontal
Vale de Cambra,2012:02:23 21:30:00,0,1,EN227,"9,200",Atropelamento de peões
Vale de Cambra,2012:03:10 10:05:00,1,0,EN224,"48,100",Atropelamento de peões
Vale de Cambra,2012:03:12 15:45:00,0,1,Estrada Municipal,,Colisão lat. c/outro veíc. mov.
Vale de Cambra,2012:06:13 14:45:00,2,0,EN227,"30,280",Colisão com outras situações
Vale de Cambra,2012:07:25 13:00:00,0,1,Rua Abílio Martins de Pina,,Colisão lat. c/outro veíc. mov.
Águeda,2012:01:01 00:30:00,0,1,R S BARTOLOMEU,,Colisão c/veic./obstáculo f.rodagem
Águeda,2012:01:09 07:30:00,0,1,R Maestro A. Fernandes,,Colisão lat. c/outro veíc. mov.
Águeda,2012:01:21 17:45:00,1,0,Estrada Florestal,,Despiste simples
Águeda,2012:01:31 15:15:00,0,1,Estrada Municipal,,Colisão lat. c/outro veíc. mov.
Águeda,2012:03:09 12:20:00,0,1,IC2,"224,980",Colisão c/veic./obstáculo f.rodagem
Águeda,2012:03:24 15:00:00,0,1,R VALE DA ERVA,,Despiste c/ col. c/ veíc. imobil./obst.
Águeda,2012:06:08 16:50:00,0,1,EN16,"25,000",Colisão lat. c/outro veíc. mov.
Águeda,2012:06:18 14:24:00,0,1,EN1,"234,000",Despiste simples
Águeda,2012:06:23 13:15:00,1,0,R PRINCIPAL,,Despiste simples
Águeda,2012:07:03 12:40:00,0,1,Rua das Barrosinhas,,Atropelamento de peões
Águeda,2012:07:25 10:45:00,1,0,IC2,"229,600",Atropelamento de peões
Águeda,2012:09:09 08:50:00,0,1,Rua do Lugar,,Despiste com capotamento
Águeda,2012:12:24 07:05:00,1,0,EN1,"230,684",Colisão tras. c/ outro veíc. mov.
Alberg.-a-Velha,2012:02:01 10:30:00,0,1,R Qta. Dos Ferreiros,,Despiste c/ col. c/ veíc. imobil./obst.
Alberg.-a-Velha,2012:03:15 21:20:00,1,0,A1,"238,873",Atropelamento de peões
Alberg.-a-Velha,2012:07:10 19:40:00,1,0,Rua Vale da Mulher,,Despiste simples
Alberg.-a-Velha,2012:10:01 15:30:00,1,1,A1,"251,800",Colisão lat. c/outro veíc. mov.
Alberg.-a-Velha,2012:11:30 20:20:00,1,0,Ava da Ponte,,Colisão frontal
Alberg.-a-Velha,2012:12:19 22:00:00,0,1,EN1,"253,550",Colisão com outras situações
Anadia,2012:03:24 18:20:00,0,1,R PONTAL DO PRIOR,,Colisão frontal
Anadia,2012:03:28 17:10:00,0,1,EN1,"213,700",Colisão lat. c/outro veíc. mov.
Anadia,2012:03:29 13:30:00,0,1,AV DR SEABRA DINIS,,Atropelamento de peões
Anadia,2012:04:17 16:25:00,0,1,ER333-1,"15,200",Colisão frontal
Anadia,2012:04:17 17:10:00,1,0,EN334,"46,500",Colisão frontal
