Concelho,Datahora,M,FG,Via,km,Natureza
Paredes,2012:09:21 06:45:00,1,0,R. Central de Nabeiros,,Despiste c/col. c/veíc. imobil./obst
Paredes,2012:11:10 18:00:00,0,1,Ava da Telha,,Atropelamento com fuga
Paredes,2012:11:17 14:05:00,0,1,EN209,"24,100",Colisão com outras situações
Paredes,2012:12:30 14:40:00,0,1,A4,"28,644",Despiste c/ capotamento
Penafiel,2012:01:05 18:30:00,1,0,EN106,"31,427",Colisão frontal
Penafiel,2012:01:07 10:25:00,0,1,Av. Cruzeiro Lampreias,,Atropelamento de peões
Penafiel,2012:03:18 19:00:00,1,1,R. da Escola,,Despiste c/ capotamento
Penafiel,2012:05:06 01:00:00,1,0,EN106,"28,850",Atropelamento de peões
Penafiel,2012:05:11 13:20:00,1,1,EN106,"37,000",Atropelamento de peões
Penafiel,2012:06:24 01:50:00,0,1,R. Santo Adrião,,Despiste c/col. c/veíc. imobil./obst
Penafiel,2012:11:06 18:40:00,0,1,A4,"38,406",Atropelamento de peões
Penafiel,2012:12:09 02:13:00,1,0,Rua Central de Luzim,,Despiste simples
Penafiel,2012:12:27 14:30:00,1,0,EN106,"33,600",Colisão lat. c/ outro veíc. mov.
Porto,2012:01:07 11:00:00,0,1,R. Anselmo Braancamp,,Atropelamento de peões
Porto,2012:01:25 08:45:00,0,1,Rua Ouro,,Despiste c/ dispositivo de retenção
Porto,2012:02:01 09:30:00,1,0,Avenida Vasco da Gama,,Atropelamento de peões
Porto,2012:02:02 09:19:00,0,1,Rua Sacadura Cabral,,A  t r  o  p  e  la  me  n  t od  ep  e  õ  e  s
Porto,2012:02:19 21:30:00,0,1,Avenida Boavista,,A  t r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Porto,2012:02:22 15:50:00,0,1,Estrada Circunvalação,,At r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Porto,2012:02:28 20:15:00,1,0,Av. M. Gomes Costa,,De  s  p  i s t es  /  d  i s  p  o  s  it i v  o  de retenção
Porto,2012:04:02 10:15:00,1,0,A20,"11,100",Atropelamento de peões
Porto,2012:04:20 11:55:00,0,1,A20,"11,000",Despiste c/ capotamento
Porto,2012:05:03 17:15:00,0,1,R. Dr. Roberto Frias,,At r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Porto,2012:05:05 07:30:00,1,0,A20,"11,600",Colisão com outras situações
Porto,2012:05:12 20:30:00,1,0,A20,"11,500",Despiste c/trans. disp.ret. lateral
Porto,2012:05:16 17:45:00,0,1,R. Dr. Manuel Laranjeira,,Colisão tras. c/ outro veíc. mov.
Porto,2012:09:04 03:25:00,1,0,Rua Campo Alegre,,Despiste s/ dispositivo de retenção
Porto,2012:09:11 11:50:00,1,0,Rotunda da Areosa,,Despiste c/col. c/veíc. imobil./obst
Porto,2012:09:21 10:10:00,0,1,Avenida Boavista,,C  o  l i s  ã  ol a  t .  c /o  u t r  ov e  í c  .  mo v.
Porto,2012:09:30 10:50:00,1,0,Ac. Ava AEP à Rot. AEP,,Despiste c/ dispositivo de retenção
Porto,2012:10:03 13:45:00,0,1,Rua Doutor Roberto Frias,,At r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Porto,2012:10:17 13:55:00,0,1,SAIDA A20,,Despiste c/ dispositivo de retenção
Porto,2012:11:29 13:25:00,1,0,Rua Oliveira Monteiro,,C  o  l i s  ã  of r o  n  t a  l
Porto,2012:11:30 06:47:00,1,0,Rua Boavista,,Co  l is  ã  oc  o  mo  u  t r a  ss  i t u  a  ç õ es
Porto,2012:12:08 14:37:00,1,0,Rua Marechal Saldanha,,Co  li s  ã  oc  o  mo  u  t r a  ss  it u  a  ç  õ  e  s
Póvoa de Varzim,2012:01:16 18:30:00,0,1,Rua Almirante Reis,,A  t r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Póvoa de Varzim,2012:01:22 10:45:00,1,0,R. da Fábrica,,Colisão lat. c/ outro veíc. mov.
Póvoa de Varzim,2012:02:14 16:40:00,1,0,ACC-A28,,Colisão frontal
Póvoa de Varzim,2012:03:02 15:40:00,0,2,R. Maros de Rabao,,Colisão frontal
Póvoa de Varzim,2012:07:16 17:10:00,1,1,Av. Atlânt. Ac. A 28,,Colisão frontal
Póvoa de Varzim,2012:08:21 23:15:00,0,2,EN206,"9,150",Colisão lat. c/ outro veíc. mov.
Póvoa de Varzim,2012:09:07 11:45:00,0,1,Avenida Descobrimentos,,A  t r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Póvoa de Varzim,2012:09:14 14:30:00,0,1,Praça Almada,,Co  li s  ã  oc  o  mo  u  t r a  ss  it u  a  ç  õ  es
Póvoa de Varzim,2012:09:19 09:25:00,0,1,Rua Gomes de Amorim,,Co  li s  ã  oc  o  mo  u  t r a  ss  it  u  a ç  õ  e  s
Póvoa de Varzim,2012:11:02 22:30:00,0,2,Rua Gomes de Amorim,,Co  li s  ã  oc  o  mo  u  t r a  ss  it  u a  ç  õ  e  s
Póvoa de Varzim,2012:12:08 07:00:00,0,1,Praça Almada,,A  t r  o  p  e  la  me  n  t od  ep  e  õ  e  s
Póvoa de Varzim,2012:12:23 09:40:00,0,1,EN13,"31,600",Atropelamento de peões
Santo Tirso,2012:01:29 03:30:00,0,1,EN207,"0,160",Despiste simples
Santo Tirso,2012:03:15 16:30:00,1,0,EN105,,"12,700",Atropelamento de peões
Santo Tirso,2012:04:09 17:00:00,0,2,Av. Fábrica de Negrelos,,,Colisão frontal
Santo Tirso,2012:04:21 21:35:00,0,1,EN207,,"0,400",Despiste simples
Santo Tirso,2012:05:04 21:15:00,0,1,EN105,,"16,200",Colisão frontal
Santo Tirso,2012:05:17 23:00:00,0,2,R. Pe. Joaquim C. Lemos,,,Despiste simples
Santo Tirso,2012:09:15 05:00:00,0,1,Rua do Subseixo,,,Despiste c/trans. disp.ret. lateral
Santo Tirso,2012:09:30 09:30:00,0,1,R. F. Pinheiro da Rocha,,,Atropelamento de peões
Santo Tirso,2012:10:08 18:30:00,0,1,EN105,,"28,980",Colisão lat. c/ outro veíc. mov.
Santo Tirso,2012:11:03 16:35:00,1,0,Arr. ligação à Nova Ponte,,,Colisão lat. c/ outro veíc. mov.
Santo Tirso,2012:11:17 12:10:00,1,0,EN105,,"17,450",Colisão c/veic./obstáculo f.rodagem
Santo Tirso,2012:12:26 14:20:00,1,0,EN105,,"28,100",Colisão frontal
Trofa,2012:01:19 00:15:00,1,0,EN104,,"14,460",Despiste simples
Trofa,2012:06:24 19:30:00,0,1,A3,,"15,175",Despiste c/ capotamento
Trofa,2012:07:31 16:10:00,1,0,Rua do Gondão,,,Despiste simples
