Concelho Datahora M* FG* Via,km,Natureza
Aguiar da Beira 2007:10:02 21:50:00 1 0 EN229,"44,940",Despiste com dispositivo  retenção
Aguiar da Beira 2007:10:30 16:00:00 0 1 EN330,"1,950",Despiste com capotamento
Aguiar da Beira 2007:04:19 16:15:00 1 2 EN226,,Colisão frontal
Aguiar da Beira 2007:06:23 20:50:00 0 1 EM583-1,,Despiste com capotamento
Almeida 2007:12:05 11:55:00 1 0 EN16,"205,150",Despiste com fuga
Almeida 2007:01:18 19:20:00 0 1 EM573,,Col. c/ veíc./obst. f. rodagem
Almeida 2007:07:28 19:30:00 0 2 Estrada Municipal,,Colisão frontal
Almeida 2007:09:26 20:50:00 0 1 R SR NAZARENO,,Atropelamento peões
Celorico da Beira 2007:11:21 16:30:00 0 1 EN102,"133,800",Despiste com capotamento
Celorico da Beira 2007:04:17 15:45:00 0 1 EN17,"125,650",Atropelamento c/ fuga
F. de Algodres  2007:04:27 07:30:00 0 1 A25,"128,100",Despiste com capotamento
Fig. Cast. Rodrigo 2007:03:17 16:50:00 0 1 EN221,"125,316",Col. lat. c/ outro veíc. mov.
Gouveia 2007:04:17 13:50:00 0 2 EN232,"22,800",Despiste com capotamento
Gouveia 2007:05:29 12:30:00 0 1 EN330-1,"3,000",Col. lat. c/ outro veíc. mov.
Gouveia 2007:04:10 13:50:00 0 1 EM508,,Col. lat. c/ outro veíc. mov.
Gouveia 2007:12:15 18:05:00 0 1 R PEDRO ISIDORO,,Despiste c/ col c/ veíc. imob/obst.
Guarda 2007:01:03 23:40:00 1 0 EN16,"191,500",Despiste com capotamento
Guarda 2007:02:01 12:50:00 1 0 EN16,"184,400",Col. tras. c/ outro veíc. mov.
Guarda 2007:06:29 10:30:00 0 1 A25,"155,700",Despiste com capotamento
Guarda 2007:10:08 20:55:00 0 1 EN18-1,"13,900",Despiste simples
Guarda 2007:03:10 21:00:00 0 1 EM530,"11,300",Atropelamento peões
Guarda 2007:06:29 14:35:00 0 1 EM531,"2,900",Col. lat. c/ outro veíc. mov.
Guarda 2007:02:05 14:48:00 1 0 LG RORREÃO,,Atropelamento peões
Guarda 2007:03:27 13:40:00 0 1 PÇ SALGADO ZENHA,,Atropelamento peões
Guarda 2007:05:11 12:10:00 0 1 LG ESPIRITO SANTO,,Atropelamento peões
Guarda 2007:06:30 17:15:00 0 1 EM1179,,Despiste simples
Guarda 2007:07:15 04:20:00 0 1 ESTR MODELO,,Despiste simples
Guarda 2007:08:17 00:30:00 0 1 EM527,,Despiste s/ disp. retenção
Guarda 2007:10:12 10:45:00 0 1 Estrada Municipal,,Atropelamento peões
Guarda 2007:12:14 13:03:00 0 1 R VASCO GAMA,,Atropelamento peões
Meda 2007:02:16 18:30:00 0 2 EN102,"101,800",Colisão frontal
Pinhel 2007:09:03 07:10:00 0 1 A25,"175,400",Despiste com capotamento
Pinhel 2007:05:26 17:15:00 0 1 EN221,"173,800",Despiste simples
Pinhel 2007:06:23 14:45:00 0 6 EN324,"86,600",Col. tras. c/ outro veíc. mov.
Pinhel 2007:07:09 17:58:00 1 0 EN324,"83,900",Col. lat. c/ outro veíc. mov.
Pinhel 2007:10:13 23:45:00 0 1 EN324,"82,600",Despiste com capotamento
Pinhel 2007:02:18 03:35:00 0 1 EM574,,Despiste simples
Sabugal 2007:09:17 07:50:00 0 1 EN233,"33,500",Despiste com capotamento
Sabugal 2007:02:01 04:45:00 1 0 EN233,"30,300",Despiste c/ col c/ veíc. imob/obst.
Sabugal 2007:09:22 00:00:00 1 2 EN233,"25,500",Despiste com capotamento
Sabugal 2007:08:25 00:20:00 1 4 EN233-3,"15,400",Despiste com capotamento
Sabugal 2007:09:15 07:30:00 0 1 EN233-3,"4,500",Despiste simples
Sabugal 2007:06:26 14:00:00 1 1 EM538,"3,557",Colisão frontal
