Concelho Datahora M* FG* Via,km,Natureza
Belmonte 2007:11:25 16:30:00 0 1 A23,"92,700",Col. tras. c/ outro veíc. mov.
Sertã,2007:10:24 10:44:00,1,0,Estrada Municipal,Col. lat. c/ outro veíc. mov.
Concelho,Datahora,M,FG,,Via,km,Natureza
Sertã,2007:11:21 10:00:00,0,1,EM531-1,,,Atropelamento peões
Sertã,2007:12:09 14:30:00,0,1,Estrada Municipal,,,Despiste simples
Vila de Rei,2007:08:04 21:50:00,2,1,EN2,,"368,880",Colisão frontal
Vila Velha Ródão,2007:11:05 19:15:00,13,7,A23,,"77,200",Col. lat. c/ outro veíc. mov.
Vila Velha Ródão,2007:04:11 08:50:00,0,1,A23,"82,100",Despiste simples
Vila Velha Ródão,2007:10:30 06:00:00,1,0,A23,"99,100",Atropelamento peões
Vila Velha Ródão,2007:02:09 09:10:00,0,1,A23,"100,900",Col. tras. c/ outro veíc. mov.
Vila Velha Ródão,2007:12:15 23:00:00,0,1,EM1373,,Despiste com capotamento
