Concelho,Datahora,M,FG,Via,Km,Natureza
Paredes,,13-12-2011 18:45,0,1R ZONA INDUSTRI...,,-,Colisão frontal
Penafiel,,16-06-2011 21:00,2,0A4,,"34,600",Colisão traseira com outro veículo em m...
Penafiel,,16-08-2011 14:35,0,1ACC-A4,,"35,100",Despiste simples
Penafiel,,24-12-2011 09:15,0,1AV PROF FRANCIS...,,-,Atropelamento de peões
Penafiel,,30-11-2011 15:00,0,1EN106,,"34,250",Colisão traseira com outro veículo em m...
Penafiel,,26-01-2011 09:40,0,1EN106,,"34,800",Colisão frontal
Penafiel,,10-02-2011 11:00,0,1EN106,,"36,020",Atropelamento de peões
Penafiel,,16-04-2011 08:20,1,0EN15,,"36,340",Colisão lateral com outro veículo em mov...
Penafiel,,21-02-2011 19:30,0,1EN15,,"36,900",Atropelamento de peões
Penafiel,,17-06-2011 09:00,0,1EN211,,"1,865",Colisão lateral com outro veículo em mov...
Penafiel,,13-05-2011 00:05,1,0EN211,,"4,510",Despiste simples
Penafiel,,12-03-2011 18:15,0,1EN320,,"8,450",Colisão frontal
Penafiel,,05-12-2011 18:30,0,1EN320,,"14,700",Atropelamento de peões
Penafiel,,29-07-2011 23:55,0,2EN320,,"15,520",Colisão frontal
Penafiel,,10-07-2011 14:30,0,1R DA PRESA,,-,Colisão frontal
Penafiel,,14-07-2011 13:09,0,1R DE GUILHUFE,,-,Colisão lateral com outro veículo em mov...
Penafiel,,01-12-2011 21:40,1,0R ENGo MATOS 51,,-,Atropelamento de peões
Penafiel,,04-04-2011 00:15,0,1R TENENTE VALAD...,,-,Colisão lateral com outro veículo em mov...
Penafiel,,25-09-2011 04:50,1,0VAR-CAVALU,,-,Despiste com capotamento
Penafiel,,22-09-2011 20:00,0,1VAR-EN211,,-,Colisão traseira com outro veículo em m...
Porto,,11-11-2011 10:55,1,0A20,,"9,000",Despiste simples
Porto,,18-05-2011 09:30,0,1A20,,"9,800",Despiste com dispositivo de retenção
Porto,,13-02-2011 11:15,0,1A20,,"12,500",Despiste com dispositivo de retenção
Porto,,22-04-2011 15:10,0,1A20,,"12,600",Colisão com outras situações
Porto,,24-12-2011 21:20,0,1A20,,"12,700",Atropelamento de peões
Porto,,16-08-2011 11:45,0,1A20,,"13,000",Colisão com outras situações
Porto,,22-06-2011 11:35,0,1A20,,"15,300",Colisão choque em cadeia
Porto,,10-05-2011 15:30,1,0A28,,"1,000",Despiste com transposição do dispositivo...
Porto,,14-02-2011 19:10,0,1Avenida Aliados 81,,-,Atropelamento de peões
Porto,,16-12-2011 16:25,0,1Avenida Dom Afon...,,-,Atropelamento de peões
Porto,,12-05-2011 11:25,0,1Avenida Fernão de ...,,-,Atropelamento de peões
Porto,,18-09-2011 12:15,0,1Avenida Fernão de ...,,-,Atropelamento com fuga
