Concelho Datahora M* FG* Via,Km,Natureza
Amarante 2006:02:18 01:40:00 1 0 EN210,"30,000",Desp.c/transp.do disp.de ret.lat.
Amarante 2006:02:19 14:50:00 0 1 Estrada Municipal,,Col.tras.c/outro veíc.em mov.
Amarante 2006:03:18 19:45:00 0 1 Av. Gen.Vitorino Laranjeira,,Atrop.de peões
Amarante 2006:04:11 17:00:00 1 0 Estrada Municipal,,Despiste simples
Amarante 2006:04:14 12:00:00 0 1 EN211-1,"0,005",Col.lat.c/outro veíc.em mov.
Amarante 2006:07:18 17:00:00 1 3 S. Gonçalo,,Desp.c/capotamento
Amarante 2006:07:19 19:00:00 1 1 EN101,"142,430",Colisão frontal
Amarante 2006:08:05 17:15:00 0 1 R. Igreja,,Col.tras.c/outro veíc.em mov.
Amarante 2006:08:12 15:00:00 1 0 Estrada Municipal,,Desp.s/disposi.de ret.
Amarante 2006:08:27 21:30:00 0 2 Var-Tamega,,Atrop.de peões
Amarante 2006:09:01 23:30:00 0 1 Av. Agua Nova,,Atrop.de peões
Amarante 2006:09:08 14:00:00 0 1 Estrada Municipal,,Col.c/veic.ou obst.na fxa. de rod.
Maia,2006:11:07 23:07:00,0,2,A3,"6,150",Desp.c/col.c/veíc.imobil.ou obst.
Maia,2006:11:15 18:30:00,0,2,Av. Estruturante Crespins,,Despiste simples
Maia,2006:12:06 08:40:00,0,1,R. Aug. Ferreira Moutinho Ramos,,Colisão frontal
Concelho,Datahora,M,FG,,Via,km,Natureza
Maia,2006:12:11 07:40:00,0,1,EN13,,"5,765",Colisão frontal
Maia,2006:12:30 18:05:00,1,0,EN14,,"7,720",Atrop.de peões
Mco. Canaveses,2006:01:16 18:45:00,0,1,R. Oliveira,,,Atrop.de peões
Mco. Canaveses,2006:04:13 19:45:00,0,1,Estrada Municipal,,,Atrop.de peões
Mco. Canaveses,2006:08:05 20:00:00,1,0,EN211,,"14,300",Colisão frontal
Mco. Canaveses,2006:08:12 12:00:00,1,0,EN210,,"73,850",Col.lat.c/outro veíc.em mov.
Mco. Canaveses,2006:08:18 14:10:00,0,2,Estrada Municipal,,,Colisão frontal
Mco. Canaveses,2006:10:07 10:30:00,1,1,EN211,,"3,600",Colisão frontal
Mco. Canaveses,2006:11:19 11:15:00,1,0,EN211,,"8,150",Colisão frontal
Matosinhos,2006:01:17 07:30:00,1,0,EN13,,"2,114",Atrop.de peões
Matosinhos,2006:02:05 01:00:00,2,1,Estr. Ext. Circunvalação,,,Desp.c/col.c/veíc.imobil.ou obst.
Matosinhos,2006:02:10 02:00:00,0,1,R. Custió,,,Desp.c/col.c/veíc.imobil.ou obst.
Matosinhos,2006:04:01 10:30:00,0,1,Lgo. Souto,,,Atrop.de peões
Matosinhos,2006:04:27 11:45:00,0,1,R. S. Gens,,,Atrop.de peões
Matosinhos,2006:05:02 20:00:00,0,1,R. Antonio Domingos Santos,,,Atrop.de peões
Matosinhos,2006:05:08 01:07:00,0,1,A28,,"13,100",Col.tras.c/outro veíc.em mov.
Matosinhos,2006:05:18 10:00:00,0,1,Av. Cor. Helder Ribeiro,,,Desp.c/capotamento
Matosinhos,2006:05:22 14:55:00,0,1,Av. Comercio Leixões,,,Atrop.de peões
Matosinhos,2006:05:30 17:15:00,0,1,R. Joaquim Pinto,,,Desp.c/col.c/veíc.imobil.ou obst.
Matosinhos,2006:05:31 06:00:00,1,0,EN13,,"2,945",Desp.c/capotamento
Matosinhos,2006:06:03 19:50:00,0,1,R Serra Aroso,,,Colisão frontal
Matosinhos,2006:06:16 14:15:00,0,1,Av. Nova Seixo,,,Atrop.de peões
Matosinhos,2006:06:26 21:00:00,0,1,R. Ofélia Cruz Costa,,,Colisão frontal
Matosinhos,2006:06:28 01:15:00,0,1,R Agudela,,,Col.lat.c/outro veíc.em mov.
Matosinhos,2006:07:02 05:10:00,1,0,EN13,,"3,300",Desp.c/capotamento
Matosinhos,2006:08:03 11:30:00,0,1,R. Antonio Fragoso,,,Atrop.de peões
Matosinhos,2006:08:04 20:00:00,1,0,R. Recarei,,,Col.lat.c/outro veíc.em mov.
Matosinhos,2006:09:14 18:50:00,0,1,R. Costio,,,Col.lat.c/outro veíc.em mov.
Matosinhos,2006:09:17 01:05:00,1,0,Estr. Ext. Circunvalação,,,Despiste simples
Matosinhos,2006:09:20 19:15:00,0,1,Av. Dr. Manuel Teixeira Ruela,,,Atrop.de peões
Matosinhos,2006:10:12 17:25:00,0,1,IC1,,"314,000",Colisão choque em cadeia
Matosinhos,2006:10:15 01:20:00,0,2,R. Antonio Pedro,,,Despiste simples
Matosinhos,2006:10:17 14:00:00,1,0,R. Sobreiro,,,Despiste simples
Matosinhos,2006:10:20 12:20:00,0,1,R. Araujo,,,Atrop.de peões
Matosinhos,2006:10:27 12:10:00,0,1,R. 1 Dezembro/R. França Junior,,,Col.lat.c/outro veíc.em mov.
Matosinhos,2006:11:05 14:00:00,0,1,EN13,,"2,500",Despiste c/disp. de retenção
Matosinhos,2006:11:10 23:04:00,0,1,Av. Eng. Duarte Pacheco,,,Atrop.de peões
Matosinhos,2006:11:22 18:20:00,0,1,Av. Joaquim Neves Santos,,,Col.lat.c/outro veíc.em mov.
Matosinhos,2006:11:24 17:30:00,0,1,Av. Calouste Gulbekian,,,Atrop.de peões
Matosinhos,2006:11:25 18:50:00,0,1,EN13,,"0,950",Atrop.de peões
Matosinhos,2006:11:30 14:30:00,0,1,R. Silva Aroso,,,Colisão frontal
Paços de Ferreira,2006:01:03 18:50:00,0,1,R. Camela,,,Desp.c/col.c/veíc.imobil.ou obst.
Paços de Ferreira,2006:01:09 18:55:00,1,0,IC25,,"12,093",Col.lat.c/outro veíc.em mov.
