Concelho,Datahora,M,FG,Via,Km,Natureza
Agueda,31-01-2012 15:15,0,1,-,-,Colisão lateral com outro veículo em movi...
Agueda,24-12-2012 07:05,1,0,EN1,"230,684",Colisão traseira com outro veículo em mo...
Agueda,18-06-2012 14:24,0,1,EN1,"234,000",Despiste simples
Agueda,08-06-2012 16:50,0,1,EN16,"25,000",Colisão lateral com outro veículo em movi...
Agueda,09-03-2012 12:20,0,1,IC2,"224,980",Colisão com veiculo ou obstáculo na faixa...
Agueda,25-07-2012 10:45,1,0,IC2,"229,600",Atropelamento de peões
Agueda,09-01-2012 07:30,0,1,R MAESTRO AMERI...,-,Colisão lateral com outro veículo em movi...
Agueda,23-06-2012 13:15,0,1,R PRINCIPAL 77,-,Despiste simples
Agueda,01-01-2012 00:30,0,1,R S BARTOLOMEU,-,Colisão com veiculo ou obstáculo na faixa...
Agueda,24-03-2012 15:00,0,1,R VALE DA ERVA,-,Despiste com colisão com veículo imobil. ...
Agueda,03-07-2012 12:40,0,1,Rua das Barrosinhas,-,Atropelamento de peões
Agueda,09-09-2012 08:50,0,1,Rua do Lugar,-,Despiste com capotamento
Albergaria-a-Velha,15-03-2012 21:20,1,0,A1,"238,873",Atropelamento de peões
Albergaria-a-Velha,01-10-2012 15:30,1,1,A1,"251,800",Colisão lateral com outro veículo em movi...
Albergaria-a-Velha,30-11-2012 20:20,1,0,Ava da Ponte,-,Colisão frontal
Albergaria-a-Velha,19-12-2012 22:00,0,1,EN1,"253,550",Colisão com outras situações
Albergaria-a-Velha,01-02-2012 10:30,0,1,R DA QUINTA DOS ...,-,Despiste com colisão com veículo imobil. ...
Albergaria-a-Velha,10-07-2012 19:40,0,1,Rua Vale da Mulher,-,Despiste simples
Anadia,29-03-2012 13:30,0,1,AV DR SEABRA DIN...,-,Atropelamento de peões
Anadia,28-03-2012 17:10,0,1,EN1,"213,700",Colisão lateral com outro veículo em movi...
Anadia,01-08-2012 09:10,1,0,EN1,"223,510",Colisão com outras situações
Anadia,17-04-2012 17:10,1,0,EN334,"46,500",Colisão frontal
Anadia,17-04-2012 16:25,0,1,ER333-1,"15,200",Colisão frontal
Anadia,24-03-2012 18:20,0,1,R PONTAL DO PRIOR,-,Colisão frontal
Anadia,01-06-2012 20:30,1,0,R PRINCIPAL 4,-,Despiste com capotamento
Anadia,24-11-2012 18:20,0,1,Rua das Coutadas,-,Atropelamento de peões
Anadia,19-09-2012 10:20,1,0,Rua dos Plátanos,-,Colisão com veiculo ou obstáculo na faixa...
Arouca,29-08-2012 17:10,0,1,-,-,Despiste com capotamento
Arouca,20-12-2012 20:00,0,1,-,-,Despiste simples
Arouca,23-03-2012 13:30,1,0,Avenida Araujo e Si...,-,Colisão lateral com outro veículo em movi...
Arouca,05-02-2012 18:10,1,0,EN225,"26,000",Colisão frontal
Aveiro,10-02-2012 05:35,0,1,Avenida 25 de Abril .,-,Despiste com colisão com veículo imobil. ...
Aveiro,15-05-2012 19:00,0,1,Avenida Central .,-,Atropelamento de peões
Aveiro,25-03-2012 20:28,0,1,EN235,"7,050",Colisão frontal
Aveiro,22-11-2012 17:15,0,1,EN235,"9,850",Atropelamento de peões
Aveiro,04-02-2012 15:30,0,2,R DA INDUSTRIA,-,Despiste com dispositivo de retenção
Aveiro,09-01-2012 20:40,1,0,R DA JUNQUEIRA,-,Atropelamento de peões
Aveiro,06-03-2012 19:25,0,1,R DA RESIDENCIA,-,Colisão traseira com outro veículo em mo...
Aveiro,26-05-2012 22:44,0,1,Rua Direita da Quin...,-,Despiste sem dispositivo de retenção
Aveiro,10-09-2012 19:15,0,1,Rua Dom Sancho I 22,-,Atropelamento de peões
Aveiro,03-08-2012 16:15,0,1,Rua Nossa Senhora...,-,Atropelamento de peões
Aveiro,06-09-2012 18:35,0,1,Rua Professor Just...,-,Despiste com colisão com veículo imobil. ...
Aveiro,12-03-2012 17:40,0,1,Rua Santo 17,-,Atropelamento de peões
Castelo de Paiva,29-10-2012 17:50,1,0,EM1123,-,Atropelamento de peões
Estarreja,26-06-2012 14:00,1,0,A29,"0,817",Colisão com veiculo ou obstáculo na faixa...
Estarreja,10-12-2012 09:10,0,1,EM558,-,Despiste com capotamento
Estarreja,20-10-2012 16:20,0,2,EN109,"44,600",Despiste com capotamento
Estarreja,03-07-2012 08:30,0,1,EN109,"49,500",Colisão lateral com outro veículo em movi...
Estarreja,05-05-2012 15:20,0,1,EN109,"52,970",Despiste simples
Estarreja,16-12-2012 10:45,0,1,Rua Alameda dos P...,-,Atropelamento de peões
Estarreja,12-07-2012 09:30,0,1,Rua Desembargado...,-,Colisão lateral com outro veículo em movi...
Estarreja,21-12-2012 21:30,0,1,Rua do Mato,-,Despiste com dispositivo de retenção
Ilhavo,11-03-2012 15:30,0,1,-,-,Despiste simples
Ilhavo,06-02-2012 11:40,0,1,AL PAIOL SARDO 27,-,Colisão lateral com outro veículo em movi...
Ilhavo,31-01-2012 10:10,0,1,AV 25 DE ABRIL 60,-,Atropelamento de peões
Ilhavo,02-09-2012 13:40,0,1,Rua do Cabecinho 86,-,Despiste sem dispositivo de retenção
Ilhavo,06-09-2012 15:30,0,1,Rua Manuel Trinda...,-,Colisão lateral com outro veículo em movi...
Ilhavo,30-10-2012 16:55,0,1,Rua Tomé Barros d...,-,Colisão frontal
Ilhavo,31-08-2012 12:35,0,1,Rua Tomé Barros Q...,-,Atropelamento de peões
Mealhada,03-03-2012 06:50,0,1,A1,"212,150",Despiste com capotamento
Mealhada,14-08-2012 15:20,1,0,EM1344,-,Despiste simples
Mealhada,19-05-2012 13:10,0,1,IC2,"208,550",Colisão traseira com outro veículo em mo...
Mealhada,25-10-2012 16:10,0,1,Rua São Pedro,-,Colisão com outras situações
Murtosa,18-03-2012 15:30,1,0,AV HINTZE RIBEIRO-,Colisão lateral com outro veículo em movi...
Murtosa,07-10-2012 17:20,0,1,Rua D Francisco Fe...-,Despiste simples
Oliveira de Azemeis,14-09-2012 20:00,0,1,"EN1257,866",Colisão traseira com outro veículo em mo...
Oliveira de Azemeis,27-06-2012 14:25,1,1,"EN22459,600",Despiste simples
Oliveira de Azemeis,28-12-2012 10:25,0,3,"EN22469,000",Colisão com outras situações
Oliveira de Azemeis,01-09-2012 10:20,0,1,"IC2261,615",Colisão com outras situações
Oliveira de Azemeis,06-02-2012 08:54,1,0,"IC2262,500",Colisão frontal
Oliveira de Azemeis,20-06-2012 10:00,1,0,"IC2266,200",Colisão frontal
Oliveira de Azemeis,02-03-2012 07:50,1,0,R DAS LAGOMAS-,Atropelamento de peões
Oliveira de Azemeis,04-01-2012 16:45,0,1,R DOS INGLESES-,Colisão frontal
Oliveira de Azemeis,20-04-2012 21:15,1,0,R NOVA DE VILARI...-,Atropelamento de peões
Oliveira de Azemeis,30-07-2012 21:00,1,0,Rua da Fontinha-,Atropelamento de peões
Oliveira de Azemeis,19-09-2012 16:10,0,1,Rua dos Bomberios...-,Atropelamento de peões
Oliveira de Azemeis,20-08-2012 19:00,0,1,Rua Sol Nascente-,Colisão frontal
Oliveira do Bairro,06-08-2012 12:20,0,1,"A1226,125",Despiste com dispositivo de retenção
Oliveira do Bairro,30-08-2012 10:00,0,1,"EN23511,700",Colisão frontal
Oliveira do Bairro,15-12-2012 21:20,1,0,"EN23514,850",Atropelamento de peões
Ovar,06-02-2012 11:00,0,1,"A1267,000",Despiste com capotamento
Ovar,27-02-2012 14:45,1,1,"A2921,389",Colisão traseira com outro veículo em mo...
Ovar,01-02-2012 10:50,1,0,"A2935,300",Despiste com capotamento
Ovar,10-04-2012 09:55,0,1,AV 29 DE MARÇO-,Colisão frontal
Ovar,12-01-2012 14:30,1,0,AV DA PRAIA-,Atropelamento de peões
Ovar,22-07-2012 17:40,0,1,Ava Doutor Fernan...-,Colisão lateral com outro veículo em movi...
Ovar,27-05-2012 02:25,0,1,Avenida Dom Manu...-,Despiste sem dispositivo de retenção
Ovar,27-11-2012 11:00,0,1,"EN10926,300",Atropelamento de peões
Ovar,11-03-2012 17:20,1,0,"EN10936,730",Colisão lateral com outro veículo em movi...
Ovar,19-03-2012 23:40,0,1,R 13 DE MAIO-,Colisão traseira com outro veículo em mo...
Ovar,01-04-2012 19:30,0,1,R 13 DE MAIO-,Colisão traseira com outro veículo em mo...
Ovar,29-05-2012 18:00,0,1,R ARQUITECTO JA...-,Colisão com veiculo ou obstáculo na faixa...
Ovar,23-07-2012 11:15,0,1,Rua da Escola Prim...-,Colisão lateral com outro veículo em movi...
Ovar,10-11-2012 09:45,0,1,Rua da Floresta-,Despiste simples
Ovar,19-12-2012 16:45,0,1,Rua da Navega-,Colisão lateral com outro veículo em movi...
Ovar,09-08-2012 20:30,0,1,Rua Doutor José Ed...-,Colisão frontal
Ovar,21-01-2012 12:45,0,1,Rua Jorge Barradas 0-,Colisão lateral com outro veículo em movi...
Ovar,20-06-2012 14:00,0,1,Rua Melos e Cunha...-,Colisão com outras situações
Ovar,10-11-2012 19:39,0,1,Rua Padre Sá 491-,Colisão frontal
Ovar,26-11-2012 18:20,0,1,Rua Pardala 0-,Colisão frontal
Ovar,22-06-2012 17:30,0,1,Rua Salgueiral de C...-,Despiste sem dispositivo de retenção
Santa Maria da Feira,24-08-2012 21:30,1,1,"A1275,250",Colisão traseira com outro veículo em mo...
Santa Maria da Feira,16-03-2012 22:00,1,0,"A1277,400",Colisão traseira com outro veículo em mo...
Santa Maria da Feira,04-01-2012 18:30,0,1,"A3223,380",Colisão traseira com outro veículo em mo...
Santa Maria da Feira,14-10-2012 20:00,0,1,Ava da Igreja-,Despiste com capotamento
Santa Maria da Feira,26-12-2012 14:45,0,1,Ava de Lourosa-,Atropelamento de peões
Santa Maria da Feira,09-07-2012 16:55,0,1,Ava Doutor Francis...-,Colisão lateral com outro veículo em movi...
Santa Maria da Feira,09-11-2012 08:40,1,1,Ava Doutor Francis...-,Colisão frontal
Santa Maria da Feira,21-05-2012 15:45,0,1,"EN1276,680",Atropelamento de peões
Santa Maria da Feira,26-11-2012 10:00,0,1,"EN1280,500",Colisão lateral com outro veículo em movi...
Santa Maria da Feira,23-02-2012 18:45,0,1,"EN1282,906",Atropelamento de peões
Santa Maria da Feira,23-01-2012 06:37,1,0,"EN1-146,290",Despiste simples
Santa Maria da Feira,25-01-2012 22:10,0,1,EN223-,Colisão com fuga
Santa Maria da Feira,07-01-2012 19:10,0,1,R ANTONIO ALVES ...-,Colisão lateral com outro veículo em movi...
Santa Maria da Feira,24-04-2012 13:30,0,1,R BENFAZES-,Colisão lateral com outro veículo em movi...
Santa Maria da Feira,19-04-2012 20:45,1,0,R CENTRAL REDON...-,Atropelamento de peões
Santa Maria da Feira,29-05-2012 07:40,0,1,R DA CARGA 245-,Colisão lateral com outro veículo em movi...
Santa Maria da Feira,20-04-2012 15:00,0,1,R DA RIBEIRINHA-,Colisão lateral com outro veículo em movi...
Santa Maria da Feira,05-05-2012 09:40,0,1,R DO VALADO 177-,Despiste simples
Santa Maria da Feira,03-04-2012 09:35,0,1,R SAO JOSE-,Colisão traseira com outro veículo em mo...
Santa Maria da Feira,15-12-2012 18:00,0,1,Rua 5 de Outubro-,Atropelamento de peões
Santa Maria da Feira,11-07-2012 16:15,1,1,Rua Cerejeira 237-,Colisão lateral com outro veículo em movi...
Santa Maria da Feira,24-11-2012 19:30,0,1,Rua da Atalaia 123-,Colisão frontal
