Concelho,Datahora,M*,FG*,,Via,km,Natureza
Gondomar,2011:09:07 21:30:00,0,1,Est D Miguel,,,Atropelamento de peões
Gondomar,2011:09:30 23:30:00,0,1,R Meiral,,,D  e  s  p  i s  t es  / d  is  p  o sitivo de retenção
Gondomar,2011:10:15 18:00:00,1,0,Est D Miguel,,,Despiste c/col. c/veíc. imobil./obst.
Gondomar,2011:10:20 18:00:00,1,0,R S Pedro,,,Atropelamento de peões
Gondomar,2011:12:01 22:00:00,1,0,R Vanzeleres,,,Despiste s/dispositivo de retenção
Gondomar,2011:12:18 15:45:00,1,0,EN108,,"12,300",Colisão tras. c/ outro veíc. mov.
Gondomar,2011:12:23 22:30:00,0,1,R Águas,,,Despiste simples
Lousada,2011:02:19 20:20:00,1,0,R Boavista-Nespereira,,,Colisão com outras situações
Lousada,2011:02:23 19:00:00,1,0,Av Poço,,,Colisão tras. c/ outro veíc. mov.
Lousada,2011:04:26 17:30:00,0,1,R Serra Campelos,,,Colisão c/veic./obstáculo f.rodagem
Lousada,2011:06:19 19:15:00,0,1,R Castro,,,Despiste c/col. c/veíc. imobil./obst.
Lousada,2011:08:20 18:30:00,0,3,EN207,,"28,100",Despiste simples
Lousada,2011:09:11 15:30:00,0,1,R Pereiro,,,Despiste c/col. c/veíc. imobil./obst.
Lousada,2011:12:17 09:20:00,1,0,EN106,,"21,623",Colisão lat. c/ outro veíc. mov.
Maia,2011:01:19 16:10:00,1,1,A3,,"4,790",Colisão c/veic./obstáculo f.rodagem
Maia,2011:01:26 00:20:00,0,1,Av Augusto Ferreira M Ramos,,,Despiste c/ dispositivo de retenção
Maia,2011:02:04 12:10:00,0,1,R Coronel Carlos Moreira,,,Colisão frontal
Maia,2011:02:10 00:30:00,0,1,A3,,"4,650",Colisão tras. c/ outro veíc. mov.
Maia,2011:02:19 13:55:00,0,1,A3,,"3,125",Despiste c/ dispositivo de retenção
Maia,2011:03:13 05:35:00,0,1,Via Estruturante Crestins,,,Despiste simples
Maia,2011:04:13 19:50:00,1,0,R Bernardino Machado,,,Colisão c/veic./obstáculo f.rodagem
Maia,2011:06:07 11:05:00,0,1,A3,,"5,900",Despiste c/capotamento
Maia,2011:06:18 12:00:00,0,1,R Camposa,,,Colisão lat. c/ outro veíc. mov.
Maia,2011:07:07 09:55:00,1,0,R Arroteia,,,Colisão frontal
Maia,2011:08:11 22:45:00,0,1,A3,,"1,150",Colisão tras. c/ outro veíc. mov.
Maia,2011:10:20 09:39:00,0,1,Av João Paulo II,,,Atropelamento com fuga
Maia,2011:12:17 04:15:00,0,2,R D Afonso Henriques,,,Colisão frontal
Maia,2011:12:17 19:00:00,0,1,R Avioso,,,Atropelamento de peões
Maia,2011:12:21 17:40:00,0,1,R N Senhora Caridade,,,Atropelamento de peões
M. Canaveses,2011:01:02 03:30:00,0,5,R S. Pedro,,,Despiste simples
M. Canaveses,2011:05:22 11:00:00,1,0,EN210,,"75,000",Colisão lat. c/ outro veíc. mov.
M. Canaveses,2011:06:13 13:40:00,1,0,EN210,,"73,388",Atropelamento de peões
Matosinhos,2011:01:21 21:55:00,0,1,Av Fabril Norte,,,Colisão com outras situações
Matosinhos,2011:02:06 20:50:00,0,1,Av Menéres,,,Colisão lat. c/ outro veíc. mov.
Matosinhos,2011:02:18 16:30:00,0,1,A4,,,Despiste c/col. c/veíc. imobil./obst.
Matosinhos,2011:03:13 19:30:00,0,1,Av Liberdade,,,Atropelamento de peões
Matosinhos,2011:04:10 16:55:00,0,1,Av Liberdade,,,Atropelamento de peões
Matosinhos,2011:04:17 05:05:00,2,0,A28,,"12,750",Despiste simples
Matosinhos,2011:04:29 21:30:00,0,2,Av Coronel Helder Ribeiro,,,Despiste c/col. c/veíc. imobil./obst.
Matosinhos,2011:06:05 07:40:00,0,1,R Araújo,,,Co  l is  ã  of r o  n  t a  l
Matosinhos,2011:07:20 08:00:00,0,1,Av Calouste Gulbenkian,,,Atropelamento de peões
Matosinhos,2011:07:23 12:50:00,0,1,Av D Manuel Teixeira Ruela,,,Colisão lat. c/ outro veíc. mov.
Matosinhos,2011:07:30 23:30:00,0,2,Av Liberdade,,,Atropelamento de peões
Matosinhos,2011:07:31 22:15:00,0,1,R Padre António Rocha Reis,,,Despiste simples
Matosinhos,2011:08:20 12:15:00,0,1,R Ofélia Cruz Costa,,,Atropelamento de peões
Matosinhos,2011:09:05 16:00:00,0,1,A28,,"8,000",Colisão com fuga
Matosinhos,2011:10:01 09:05:00,0,2,R Recarei,,,Colisão frontal
Matosinhos,2011:10:01 21:15:00,1,0,A28,,"4,600",Atropelamento de peões
Matosinhos,2011:10:05 19:35:00,0,1,Alm Água Viva,,,Atropelamento de peões
Matosinhos,2011:10:08 07:10:00,1,0,EN14,,"4,000",Colisão tras. c/ outro veíc. mov.
Matosinhos,2011:10:08 18:00:00,0,1,A28,,"13,000",Colisão tras. c/ outro veíc. mov.
Matosinhos,2011:10:22 00:15:00,1,1,R António Silva Cruz,,,Colisão com outras situações
Matosinhos,2011:11:04 11:30:00,0,1,Av Eng Luís Azevedo Coutinho,,,Atropelamento de peões
Matosinhos,2011:11:26 15:10:00,0,1,R Godinho Faria,,Colisão tras. c/ outro veíc. mov.
Matosinhos,2011:12:05 20:30:00,0,1,R D Eduardo Torres,,Atropelamento de peões
Matosinhos,2011:12:10 18:10:00,0,1,Av Joaquim Neves Santos,,Colisão c/veic./obstáculo f.rodagem
Paços Ferreira,2011:01:03 19:00:00,0,1,R Marceneiros,,Colisão lat. c/ outro veíc. mov.
Paços Ferreira,2011:01:21 17:20:00,0,1,Av S Tiago,,Atropelamento de peões
Paços Ferreira,2011:03:08 15:00:00,0,1,R Agra,,Colisão com outras situações
Paços Ferreira,2011:03:15 07:30:00,1,0,R Recta Gomil,,Atropelamento de peões
Paços Ferreira,2011:05:26 22:00:00,1,0,R N Sra Rosário,,Colisão c/veic./obstáculo f.rodagem
Paços Ferreira,2011:05:29 00:45:00,1,1,R N Sra Rosário,,Colisão lat. c/ outro veíc. mov.
Paços Ferreira,2011:07:19 08:50:00,0,1,R D Queirós Ribeiro,,Colisão lat. c/ outro veíc. mov.
Paços Ferreira,2011:08:13 09:55:00,0,1,R António Campos,,Atropelamento de peões
Paços Ferreira,2011:09:11 19:10:00,2,0,A42,"10,400",Despiste c/ dispositivo de retenção
Paços Ferreira,2011:12:10 20:00:00,1,0,R Pdr Ant Ferreira Pombo,,Atropelamento de peões
Paredes,2011:01:08 18:45:00,0,2,A42,"0,500",Despiste c/capotamento
Paredes,2011:02:11 21:10:00,0,1,Av Bomb Vol Rebordosa,,Colisão lat. c/ outro veíc. mov.
Paredes,2011:02:11 23:50:00,0,2,EN15,"20,820",Colisão frontal
Paredes,2011:03:24 17:55:00,0,1,Av Fábrica,,Atropelamento de peões
Paredes,2011:04:05 14:20:00,0,1,EN209,"25,900",Colisão tras. c/ outro veíc. mov.
Paredes,2011:04:16 14:30:00,0,1,R Promessas,,Colisão frontal
Paredes,2011:05:01 07:40:00,0,1,Outra Via,,Colisão frontal
Paredes,2011:05:03 07:10:00,1,0,A42,"1,625",Atropelamento de peões
Paredes,2011:05:26 21:10:00,1,1,EN209,"22,600",Despiste simples
Paredes,2011:08:14 05:00:00,0,1,Av José Ferreira Cruz,,Despiste c/col. c/veíc. imobil./obst.
Paredes,2011:08:24 14:00:00,1,0,R Valadao,,Atropelamento de peões
Paredes,2011:10:13 20:00:00,1,0,A4,"28,870",Colisão c/veic./obstáculo f.rodagem
Paredes,2011:11:25 17:35:00,0,1,Av Souto,,Atropelamento de peões
Paredes,2011:12:13 18:45:00,0,1,R Zona Ind Lordelo,,Colisão frontal
Paredes,2011:12:26 21:45:00,1,0,Av Noval,,Colisão tras. c/ outro veíc. mov.
Penafiel,2011:01:26 09:40:00,0,1,EN106,"34,800",Colisão frontal
Penafiel,2011:02:10 11:00:00,1,0,EN106,"36,020",Atropelamento de peões
Penafiel,2011:02:21 19:30:00,0,1,EN15,"36,900",Atropelamento de peões
Penafiel,2011:03:12 18:15:00,0,1,EN320,"8,450",Colisão frontal
Penafiel,2011:04:04 00:15:00,0,1,R Tenente Valadim,,Colisão lat. c/ outro veíc. mov.
Penafiel,2011:04:16 08:20:00,1,0,EN15,"36,340",Colisão lat. c/ outro veíc. mov.
Penafiel,2011:05:13 00:05:00,1,0,EN211,"4,510",Despiste simples
Penafiel,2011:06:16 21:00:00,2,0,A4,"34,600",Colisão tras. c/ outro veíc. mov.
Penafiel,2011:06:17 09:00:00,0,1,EN211,"1,865",Colisão lat. c/ outro veíc. mov.
Penafiel,2011:07:10 14:30:00,0,1,R Presa,,Colisão frontal
Penafiel,2011:07:14 13:09:00,0,1,R Guilhufe,,Colisão lat. c/ outro veíc. mov.
Penafiel,2011:07:29 23:55:00,0,2,EN320,"15,520",Colisão frontal
Penafiel,2011:08:16 14:35:00,0,1,ACC-A4,"35,100",Despiste simples
Penafiel,2011:09:22 20:00:00,0,1,VAR-EN211,,Colisão tras. c/ outro veíc. mov.
Penafiel,2011:09:25 04:50:00,1,0,VAR-CAVALU,,Despiste c/capotamento
Penafiel,2011:11:30 15:00:00,0,1,EN106,"34,250",Colisão tras. c/ outro veíc. mov.
Penafiel,2011:12:01 21:40:00,1,0,R Eng Matos,,Atropelamento de peões
Penafiel,2011:12:05 18:30:00,0,1,EN320,"14,700",Atropelamento de peões
Penafiel,2011:12:24 09:15:00,0,1,Av Prof Franc Aurora Carmo,,Atropelamento de peões
Porto,2011:01:03 18:40:00,1,0,R Diogo Botelho,,De  s  p  i s t es  / d  i s  p  o  s  it i v  od  er etenção
Porto,2011:02:06 13:15:00,1,0,R Vale Formoso,,Colisão lat. c/ outro veíc. mov.
Porto,2011:02:12 22:40:00,0,1,R Santa Catarina,,Atropelamento de peões
Porto,2011:02:13 11:15:00,0,1,A20,"12,500",Despiste c/ dispositivo de retenção
Porto,2011:02:14 19:10:00,1,0,Av Aliados,,Atropelamento de peões
Porto,2011:02:16 14:25:00,1,0,R Eng Ezequiel de Campos,,Colisão com outras situações
Porto,2011:02:28 11:10:00,0,1,R Campo Alegre,,A  t r  o  p  e  la  me  n  t od  ep  e  õ  e  s
