Concelho,Datahora,M,FG,,Via,Km,Natureza
Armamar,02-10-2011 19:00,0,1,-,,-,Despiste simples
Armamar,25-03-2011 18:10,0,1,EN222,,"137,300",Colisão frontal
Armamar,25-03-2011 23:45,1,1,EN222,,"140,200",Colisão com outras situações
Armamar,28-10-2011 13:05,0,1,R DO COUTINHO,,-,Colisão frontal
Carregal do Sal,29-04-2011 18:30,0,2,EN234,,"69,450",Colisão lateral com outro veículo em mov...
Carregal do Sal,25-01-2011 12:45,1,0,EN337,,"0,001",Colisão frontal
Carregal do Sal,14-06-2011 14:00,0,2,ESTRADA DE VILA ...,,-,Colisão lateral com outro veículo em mov...
Carregal do Sal,01-06-2011 13:55,0,1,PARQUE ESTACIO...,,-,Atropelamento de peões
Carregal do Sal,12-11-2011 19:00,0,3,R DA ESCOLA 20,,-,Despiste com colisão com veículo imobil. ...
Carregal do Sal,19-10-2011 18:00,0,1,R DO BOIÇO 3,,-,Despiste simples
Carregal do Sal,15-10-2011 05:00,0,1,R DOS COURADOS,,-,Despiste simples
Castro Daire,04-07-2011 19:20,0,1,-,,-,Colisão frontal
Castro Daire,17-08-2011 20:45,0,4,EM565,,-,Colisão traseira com outro veículo em m...
Castro Daire,11-01-2011 03:00,0,1,EN2,,"144,940",Colisão com veiculo ou obstáculo na faix...
Castro Daire,03-08-2011 11:20,1,0,R DA FERRARIA 4,,-,Despiste simples
Cinfaes,29-07-2011 15:45,1,0,R CONTENÇA,,-,Despiste sem dispositivo de retenção
Lamego,20-11-2011 04:30,0,1,A24,,"93,320",Despiste com capotamento
Lamego,12-11-2011 06:40,0,1,A24,,"98,659",Despiste com dispositivo de retenção
Lamego,29-05-2011 20:35,0,1,EN2,,"109,600",Colisão com outras situações
Lamego,07-10-2011 22:00,0,1,EN226-1,,"3,600",Despiste com capotamento
Lamego,13-09-2011 17:04,0,1,Rua Fafel 0,,-,Atropelamento de peões
Mangualde,10-10-2011 07:00,2,0,A25,,"118,120",Colisão traseira com outro veículo em m...
Mangualde,15-02-2011 09:26,0,1,AV DOS CAPITÃES,,-,Atropelamento de peões
Mangualde,08-10-2011 10:45,1,0,AV MONTES HERM...,,-,Atropelamento de peões
Mangualde,30-05-2011 17:50,0,1,EM1448,,"0,001",Despiste simples
Mangualde,23-11-2011 17:35,0,1,EM595,,"1,000",Colisão frontal
Mangualde,24-07-2011 15:45,0,1,EM645,,-,Colisão frontal
Mangualde,06-07-2011 16:00,0,1,EN234,,"101,750",Colisão lateral com outro veículo em mov...
Mangualde,27-02-2011 17:39,0,1,ESTRADA LIGAÇÃ...,,-,Despiste com capotamento
Moimenta da Beira,02-08-2011 12:50,1,0,CAMINHO AGRICO...,,-,Despiste simples
Moimenta da Beira,20-11-2011 17:50,0,1,EN226,,"42,390",Colisão traseira com outro veículo em m...
Moimenta da Beira,29-08-2011 08:00,0,1,EN226,,"49,582",Colisão frontal
Moimenta da Beira,29-12-2011 09:20,0,1,EN323,,"64,540",Despiste com capotamento
Moimenta da Beira,28-10-2011 20:30,0,2,EN323,,"66,700",Colisão frontal
Mortagua,14-05-2011 12:00,1,0,CAMINHO VICINAL,,-,Despiste com capotamento
Mortagua,19-08-2011 19:35,1,0,EN228,,"64,350",Colisão lateral com outro veículo em mov...
Mortagua,28-09-2011 20:00,0,1,EN228,,"80,600",Colisão frontal
Mortagua,18-08-2011 13:30,0,1,EN234,,"39,750",Despiste simples
Nelas,15-02-2011 18:33,1,0,EN234,,"85,650",Colisão frontal
Nelas,19-11-2011 14:50,2,2,EN234,,"88,000",Colisão frontal
Nelas,14-11-2011 17:30,0,1,R DA ESTAÇÃO,,-,Colisão com veiculo ou obstáculo na faix...
Nelas,22-12-2011 22:00,0,1,R DO PAÇO 204,,-,Colisão com outras situações
Oliveira de Frades,07-01-2011 21:00,0,1,-,,"0,001",Colisão traseira com outro veículo em m...
Oliveira de Frades,02-08-2011 20:10,2,0,A25,,"48,500",Despiste com capotamento
Oliveira de Frades,20-10-2011 10:30,1,0,EN16,,"50,486",Despiste simples
Oliveira de Frades,19-12-2011 19:30,0,1,EN333-3,,"9,500",Despiste simples
