Concelho,Datahora,M*,FG*,Via,km,Natureza
Chamusca,2012:12:17 15:59:00,0,1,EN243,"47,850",Despiste c/ dispositivo retenção
Chamusca,2012:12:22 02:30:00,1,0,EN118,"100,150",Despiste c/ capotamento
Coruche,2012:02:03 13:10:00,1,1,EM515,,Colisão lat. c/ outro veíc. mov.
Coruche,2012:03:19 12:40:00,0,1,EN251,"21,400",Colisão choque em cadeia
Coruche,2012:04:23 05:30:00,2,0,EM580,,Despiste c/ capotamento
Coruche,2012:05:27 08:45:00,0,1,Estrada Municipal,"1,300",Colisão frontal
Coruche,2012:06:03 02:20:00,1,0,Rua Principal,,Desp. c/col. c/veíc. imobil./obst.
Coruche,2012:06:29 23:36:00,0,1,EM590,,Despiste simples
Coruche,2012:07:22 05:25:00,1,0,Rua Nova,,Col. c/veic./obstác. f.rodagem
Coruche,2012:08:06 12:25:00,0,2,EN251,"21,200",Colisão lat. c/ outro veíc. mov.
Coruche,2012:09:01 13:40:00,0,1,EN251,"23,900",Despiste c/ capotamento
Coruche,2012:09:06 22:10:00,0,1,EN114-3,"5,830",Colisão lat. c/ outro veíc. mov.
Entronc.,2012:04:06 18:50:00,1,0,R. Cor. Joaquim Estrela Teriaga,,Desp. c/col. c/veíc. imobil./obst.
Entronc.,2012:06:30 10:45:00,0,1,Av. José Eduardo Vitor Neves,,Colisão tras. c/ outro veíc. mov.
Entronc.,2012:07:28 12:35:00,0,1,Rua da Maruja,,Colisão lat. c/ outro veíc. mov.
Entronc.,2012:11:23 19:00:00,0,1,Rua Brito Capelo,,Atropelamento de peões
Ferr. Zêzere,2012:01:29 12:30:00,0,1,Estrada Florestal,,Colisão frontal
Ferr. Zêzere,2012:06:21 17:30:00,0,1,EN110,"80,800",Colisão tras. c/ outro veíc. mov.
Ferr. Zêzere,2012:06:24 14:40:00,0,1,EM238,"18,200",Despiste simples
Golegã,2012:02:11 19:40:00,0,1,R STA CATARINA,,Colisão lat. c/ outro veíc. mov.
Golegã,2012:08:17 18:00:00,1,0,EN365,"68,700",Despiste simples
Golegã,2012:09:16 03:30:00,0,1,Rua de Vale Pintos,,Atropelamento de peões
Golegã,2012:12:11 21:15:00,1,0,Ava D João III,,Atropelamento de peões
Mação,2012:04:04 21:38:00,0,1,EM1277,,Despiste c/ capotamento
Mação,2012:08:09 22:00:00,0,1,Estrada Municipal,,Despiste simples
Mação,2012:09:03 14:15:00,0,1,EM599,,Despiste c/ capotamento
Mação,2012:11:18 17:50:00,0,1,EM549,,Despiste simples
Ourém,2012:01:08 18:00:00,1,0,Rua Mercado,,Desp. c/col. c/veíc. imobil./obst.
Ourém,2012:01:22 05:20:00,0,1,R DE SAO JOAO,,Despiste simples
Ourém,2012:01:29 01:20:00,1,0,ER349,"47,700",Atropelamento de peões
Ourém,2012:01:30 17:00:00,0,2,EST DE OUREM,,Colisão c/veic./obst. f.rodagem
Ourém,2012:02:16 15:15:00,0,1,EN356,"41,950",Despiste simples
Ourém,2012:03:06 19:15:00,0,1,EN357,"13,300",Colisão lat. c/ outro veíc. mov.
Ourém,2012:03:08 18:55:00,0,1,R PRINCIPAL DA GISTEIRA,,Colisão tras. c/ outro veíc. mov.
Ourém,2012:03:10 22:30:00,0,1,R 25 DE ABRIL,,Despiste simples
Ourém,2012:03:17 16:10:00,0,1,EN360,"74,900",Despiste c/ capotamento
Ourém,2012:03:27 09:30:00,1,1,R PRINCIPAL,,Despiste simples
Ourém,2012:03:28 18:00:00,0,1,R PRINCIPAL,,Colisão lat. c/ outro veíc. mov.
Ourém,2012:04:01 12:30:00,0,1,R CIDADE DE OUREM,,Colisão frontal
Ourém,2012:04:11 09:00:00,0,1,R ALVARO TELES,,Despiste simples
Ourém,2012:05:04 20:30:00,0,1,R PRINCIPAL,,Colisão frontal
Ourém,2012:05:06 19:30:00,0,1,R PISAO DO ALEIRO,,Despiste simples
Ourém,2012:05:29 22:20:00,0,1,R DO ALMO,,Despiste simples
Ourém,2012:06:07 09:45:00,1,0,IC9,"44,700",Colisão frontal
Ourém,2012:06:08 17:45:00,0,2,ER349,"37,000",Despiste c/ capotamento
Ourém,2012:07:16 19:15:00,0,1,EN357,"8,800",Colisão tras. c/ outro veíc. mov.
Ourém,2012:07:20 20:15:00,0,1,Rua Principal,,Colisão com outras situações
Ourém,2012:07:23 20:35:00,1,0,Rua da Capela,,Atropelamento de peões
Ourém,2012:07:26 10:00:00,0,1,Estrada das Capelas,,Despiste simples
Ourém,2012:07:31 15:20:00,1,0,Estrada da Lourinhã,,Despiste simples
Ourém,2012:08:16 17:15:00,0,1,EN356,"54,250",Colisão tras. c/ outro veíc. mov.
Ourém,2012:09:03 18:20:00,0,1,Rua dos Lagos,,Colisão frontal
Ourém,2012:09:24 14:10:00,0,2,A1,"107,800",Despiste c/ capotamento
Ourém,2012:10:05 09:25:00,0,1,Rua das Sesmarias,Colisão frontal
Ourém,2012:10:05 17:30:00,0,1,Rua da Cartaxa,Despiste simples
Ourém,2012:10:25 10:15:00,0,1,"EN11325,000",Colisão frontal
Ourém,2012:11:16 18:40:00,1,0,Ava Papa João XXIII,Atropelamento de peões
Ourém,2012:12:01 19:20:00,1,0,"ER23949,000",Despiste c/ capotamento
Ourém,2012:12:07 18:10:00,0,2,Rua Principal Bairro,Despiste c/col. c/veíc. imobil./obst.
Ourém,2012:12:08 08:45:00,0,1,"ER34948,200",Colisão lat. c/ outro veíc. mov.
Ourém,2012:12:21 18:25:00,0,1,Estrada Municipal,Despiste simples
Rio Maior,2012:01:17 07:50:00,0,1,"EN11448,000",Colisão lat. c/ outro veíc. mov.
Rio Maior,2012:01:31 07:05:00,2,0,"IC272,700",Despiste c/trans. disp.ret. lateral
Rio Maior,2012:02:08 16:30:00,0,1,R MARIANO CARVALHO,Atropelamento de peões
Rio Maior,2012:03:04 21:15:00,0,1,EM583,Despiste c/ capotamento
Rio Maior,2012:07:03 01:00:00,1,0,EM1310,Despiste c/ capotamento
Rio Maior,2012:07:23 13:00:00,1,0,Rua do Outeiro,Despiste simples
Rio Maior,2012:07:28 06:45:00,0,1,"EN36144,450",Despiste c/ capotamento
Rio Maior,2012:07:29 05:55:00,1,0,"IC263,630",Atropelamento de peões
Rio Maior,2012:07:29 19:00:00,0,1,EM509,Despiste c/ capotamento
Rio Maior,2012:09:19 14:30:00,0,1,"EN145,000",Colisão frontal
Rio Maior,2012:10:14 11:15:00,0,1,"EN36147,250",Despiste simples
Rio Maior,2012:10:19 15:45:00,0,1,R. Manuel Sequeira Nobre,Atropelamento de peões
Rio Maior,2012:12:16 05:35:00,0,1,"EN11459,800",Despiste c/ capotamento
Rio Maior,2012:12:22 02:50:00,0,1,"EN36161,000",Despiste c/col. c/veíc. imobil./obst.
Rio Maior,2012:12:31 11:55:00,0,1,"EN11442,700",Despiste simples
Salv. de Magos,2012:01:28 18:30:00,0,1,R VALE DA SERRA,Despiste c/col. c/veíc. imobil./obst.
Salv. de Magos,2012:03:10 02:55:00,1,0,"EN11851,400",Despiste simples
Salv. de Magos,2012:03:26 17:45:00,0,1,EST DAS ALMOCREVAS,Colisão tras. c/ outro veíc. mov.
Salv. de Magos,2012:05:26 22:15:00,0,1,"EN11850,000",Despiste s/ dispositivo de retenção
Salv. de Magos,2012:06:15 12:40:00,1,0,Av. José L. Brito Seabra,Atropelamento de peões
Salv. de Magos,2012:06:28 01:10:00,0,1,R JANEIRAS DE BAIXO,Despiste c/ capotamento
Salv. de Magos,2012:06:28 18:50:00,0,1,R. José Joaq. Magriço,Colisão com fuga
Salv. de Magos,2012:09:04 18:15:00,0,1,"EN11860,000",Colisão com outras situações
Salv. de Magos,2012:09:07 16:10:00,0,2,"A1346,275",Despiste simples
Salv. de Magos,2012:09:22 02:20:00,1,2,Estrada Municipal,Despiste c/ capotamento
Salv. de Magos,2012:10:13 10:15:00,0,1,"EN11859,900",Colisão tras. c/ outro veíc. mov.
Salv. de Magos,2012:12:01 15:00:00,0,1,"EN3673,800",Colisão frontal
Salv. de Magos,2012:12:15 19:00:00,3,0,"EN11860,500",Despiste c/trans. disp.ret. lateral
Santarém,2012:01:12 11:00:00,0,1,EN3,Colisão tras. c/ outro veíc. mov.
Santarém,2012:01:21 17:45:00,0,1,Av. António Maria Batista,Colisão tras. c/ outro veíc. mov.
Santarém,2012:02:08 11:40:00,1,1,Estrada Municipal,Despiste simples
Santarém,2012:02:23 15:50:00,0,1,Rua Actriz Alda Rodrigues,Atropelamento de peões
Santarém,2012:04:26 15:25:00,1,0,"EN360,100",Colisão frontal
Santarém,2012:05:18 23:00:00,0,1,Rot. Actriz Alda Rodrigues,Colisão lat. c/ outro veíc. mov.
Santarém,2012:05:23 20:10:00,0,1,Estrada da Carreira de Tiro,Despiste c/ capotamento
Santarém,2012:05:31 21:35:00,0,1,"A162,400",Colisão c/veic./obstáculo f.rodagem
Santarém,2012:06:27 16:45:00,0,1,Rua Alexandre Herculano,Colisão lat. c/ outro veíc. mov.
Santarém,2012:07:02 23:26:00,0,1,CURBD.LUIS,Despiste c/col. c/veíc. imobil./obst.
Santarém,2012:07:18 00:30:00,0,1,"EN330,580",Despiste simples
Santarém,2012:08:04 03:46:00,1,0,R.Vale Grou Casais Josefa,Despiste c/ capotamento
Santarém,2012:08:14 18:35:00,0,1,"A171,900",Despiste c/ dispositivo de retenção
Santarém,2012:08:24 02:50:00,0,1,"EN351,500",Colisão frontal
Santarém,2012:09:20 15:55:00,0,1,"IC100,200",Despiste simples
Santarém,2012:11:11 06:45:00,0,1,"A171,200",Despiste c/ capotamento
