Concelho,Datahora,M*,FG*,,Via,km,Natureza
Guimarães,2011:03:12 13:10:00,1,0,EN101,,"100,720",Colisão lat. c/outro veíc. mov.
Guimarães,2011:09:19 13:55:00,0,1,EN105,,"41,400",Atropelamento de peões
Guimarães,2011:11:19 02:50:00,0,1,EN105,,"44,000",Despiste s/dispositivo de retenção
Guimarães,2011:07:11 03:05:00,1,0,VIM,,"8,500",Despiste c/dispositivo de retenção
Guimarães,2011:02:14 10:30:00,1,0,CIRGUIMARA,,,Colisão choque em cadeia
Guimarães,2011:05:30 19:20:00,1,0,CIRGUIMARA,,"113,000",Atropelamento de peões
Vieira do Minho,2011:01:05 20:30:00,0,1,Av Imaculada Conceição,,,Atropelamento com fuga
Vieira do Minho,2011:04:14 08:20:00,0,1,Av João Torre,,,Atropelamento de peões
Vieira do Minho,2011:07:08 14:00:00,0,1,R Pe José C Alves Vieira,,,Atropelamento de peões
Vieira do Minho,2011:04:21 13:45:00,0,1,Lugar Vilela,,,Colisão frontal
V. N. Famalicão,2011:08:08 22:40:00,0,1,A3,,"35,325",Despiste c/capotamento
V. N. Famalicão,2011:10:23 23:35:00,0,2,A3,,"31,675",Colisão c/veic./obst.f. de rodagem
V. N. Famalicão,2011:06:25 22:10:00,0,2,A3,,"30,180",Colisão lat. c/outro veíc. mov.
V. N. Famalicão,2011:06:21 19:30:00,0,1,A3,,"31,425",Despiste c/capotamento
V. N. Famalicão,2011:03:31 07:35:00,0,1,A3,,"34,360",Desp. c/col. c/veíc. imobil./obst.
V. N. Famalicão,2011:01:05 15:10:00,0,1,A7,,"27,425",Despiste c/capotamento
V. N. Famalicão,2011:12:08 16:10:00,0,2,A7,,"20,195",Colisão frontal
V. N. Famalicão,2011:08:06 03:30:00,0,1,A7,,"27,607",Desp. c/col. c/veíc. imobil./obst.
V. N. Famalicão,2011:08:29 13:05:00,1,0,Av Mar Humberto Delgado,,,Colisão lat. c/outro veíc. mov.
V. N. Famalicão,2011:03:05 07:15:00,1,0,R Alberto Sampaio,,,Atropelamento de peões
V. N. Famalicão,2011:06:10 20:05:00,0,1,R Sol,,,Atropelamento de peões
V. N. Famalicão,2011:12:24 07:50:00,0,1,Av Eng Â Vidal Pinheiro,,,Desp. c/col. c/veíc. imobil./obst.
V. N. Famalicão,2011:08:02 18:10:00,0,1,R Joaq. Campos Moreira,,,Atropelamento de peões
V. N. Famalicão,2011:09:13 20:36:00,1,0,Av Brasil,,,Atropelamento de peões
V. N. Famalicão,2011:02:04 14:40:00,1,0,R Igreja - Fradelos,,,Atropelamento de peões
V. N. Famalicão,2011:02:07 14:45:00,0,2,Av Sta. Maria,,,Despiste simples
V. N. Famalicão,2011:10:08 15:50:00,0,1,R Sobre Seara,,,Colisão lat. c/outro veíc. mov.
V. N. Famalicão,2011:08:28 00:10:00,1,0,R DR Francisco Alves,,,Colisão lat. c/outro veíc. mov.
V. N. Famalicão,2011:12:21 19:29:00,1,0,R Barradinhas,,,Despiste c/capotamento
V. N. Famalicão,2011:03:24 14:15:00,0,1,Av13 Maio,,,Despiste c/capotamento
V. N. Famalicão,2011:04:27 15:00:00,1,0,Av Mar Humb Delgado,,,Atropelamento de peões
V. N. Famalicão,2011:02:06 12:10:00,0,1,Av Pe Marques Pinto,,,Colisão lat. c/outro veíc. mov.
V. N. Famalicão,2011:12:26 19:45:00,0,1,Av Emigrante,,,Atropelamento de peões
V. N. Famalicão,2011:06:20 14:30:00,0,1,EN14,,"36,632",Colisão lat. c/outro veíc. mov.
V. N. Famalicão,2011:06:27 23:45:00,1,0,EN14,,"32,830",Atropelamento de peões
V. N. Famalicão,2011:09:14 11:40:00,0,1,EN309,,"22,100",Colisão frontal
V. N. Famalicão,2011:02:12 14:15:00,0,1,EN206,,"15,850",Atropelamento de peões
V. N. Famalicão,2011:11:19 13:45:00,1,0,EN206,,"30,658",Atropelamento de peões
V. N. Famalicão,2011:07:10 18:40:00,0,1,EN206,,"25,600",Despiste c/capotamento
V. N. Famalicão,2011:09:10 16:30:00,0,1,EN206,,"25,300",Colisão lat. c/outro veíc. mov.
V. N. Famalicão,2011:08:19 20:45:00,1,0,EN204,,"41,030",Colisão lat. c/outro veíc. mov.
V. N. Famalicão,2011:11:21 18:05:00,1,0,EN14,,"33,500",Atropelamento de peões
V. N. Famalicão,2011:02:08 08:05:00,1,0,EN14,,"21,000",Colisão lat. c/outro veíc. mov.
Vila Verde,2011:01:20 16:00:00,0,1,Lugar Roçadas,,,Despiste simples
Vila Verde,2011:08:23 20:00:00,1,0,Lugar Alcaide,,,Colisão lat. c/outro veíc. mov.
Vila Verde,2011:10:07 18:40:00,1,0,Lugar Cruz,,,Colisão lat. c/outro veíc. mov.
Vila Verde,2011:09:26 10:55:00,1,0,Lugar Cachada,,,Despiste c/capotamento
Vila Verde,2011:06:09 21:30:00,0,1,R Comb.Guerra Colonial,,,Colisão lat. c/outro veíc. mov.
Vila Verde,2011:12:08 12:43:00,1,0,Av Cruto Sobral,,,Atropelamento de peões
Vila Verde,2011:08:13 13:45:00,0,2,EM541,,"1,200",Colisão frontal
Vila Verde,2011:05:10 15:30:00,1,0,EM548,,,Despiste simples
Vila Verde,2011:11:15 07:10:00,1,0,EN201,,"50,860",Atropelamento de peões
Vila Verde,2011:03:08 02:30:00,1,2,EN201,,"49,150",Desp. c/col. c/veíc. imobil./obst.
Vila Verde,2011:04:12 14:00:00,0,1,EN205,,"38,400",Colisão frontal
Vila Verde,2011:05:21 22:45:00,1,4,EN205,,"38,250",Colisão lat. c/outro veíc. mov.
Vila Verde,2011:10:13 15:15:00,0,1,EN101,,"81,390",Colisão lat. c/outro veíc. mov.
Vila Verde,2011:08:05 19:20:00,0,1,EN101,,"81,000",Atropelamento de peões
Vizela,2011:09:04 16:15:00,0,1,R Felgueiras,,,Colisão frontal
Vizela,2011:10:23 04:50:00,1,1,R Felgueiras,,,Colisão lat. c/outro veíc. mov.
Vizela,2011:05:14 22:45:00,0,1,R Trancosa,,,Colisão lat. c/outro veíc. mov.
"",,68,182,,,,
Amares,2011:09:27 19:15:00,0,1,Av Telheiras,,Atropelamento de peões
Amares,2011:05:14 14:55:00,0,1,R 20 Janeiro,,Atropelamento com fuga
Amares,2011:06:25 21:50:00,1,0,R Afonso M Pereira Azevedo,,Despiste simples
Amares,2011:09:13 07:40:00,1,3,R Cintura,,Colisão frontal
Amares,2011:12:01 18:20:00,0,1,R S Veríssimo,,Despiste simples
Amares,2011:03:08 18:00:00,0,1,R Cancela Cruz,,Atropelamento de peões
Amares,2011:05:31 18:00:00,1,0,EN205,"47,000",Colisão frontal
Amares,2011:02:03 20:30:00,0,1,EN308,"63,700",Colisão frontal
Amares,2011:10:23 09:30:00,0,1,EN205,"47,450",Colisão frontal
Amares,2011:11:08 08:25:00,0,1,EN205,"50,000",Atropelamento de peões
Amares,2011:11:16 18:00:00,1,0,EN205,"2,030",Atropelamento de peões
Barcelos,2011:04:18 16:00:00,0,1,R Sto Amaro,,Atropelamento de peões
Barcelos,2011:05:06 13:05:00,1,0,R S João,,Despiste s/dispositivo de retenção
Barcelos,2011:08:12 20:00:00,0,1,Var Interna Barcelos,,Despiste c/capotamento
Barcelos,2011:02:27 14:00:00,0,1,Cam Aces Ponte Tábuas,,Despiste c/capotamento
Barcelos,2011:08:16 06:50:00,0,2,R Praia,,Colisão frontal
Barcelos,2011:05:01 01:35:00,0,1,R Boncelao,,Colisão frontal
Barcelos,2011:04:08 09:35:00,1,0,Av Praia - Barqueiros,,Colisão frontal
Barcelos,2011:02:17 11:15:00,1,0,R S. Mateus,,Colisão frontal
Barcelos,2011:11:30 13:30:00,0,1,R Pe. Paulino Ribeiro,,Atropelamento de peões
Barcelos,2011:06:28 08:45:00,0,1,R Bento Antas Cruz,,Atropelamento de peões
Barcelos,2011:08:19 20:45:00,1,0,R Montinho,,Atropelamento de peões
Barcelos,2011:07:01 13:30:00,0,1,R Brigadeiro,,Colisão lat. c/outro veíc. mov.
Barcelos,2011:04:24 16:30:00,0,1,Est Sta. M Alheira,,Despiste simples
Barcelos,2011:11:07 17:00:00,1,0,R D João Batista Machado,,Colisão com fuga
Barcelos,2011:09:09 20:30:00,0,1,EM306,"60,900",Despiste simples
Barcelos,2011:02:26 14:10:00,0,1,EM306,"47,900",Desp. c/col. c/veíc. imobil./obst.
Barcelos,2011:04:15 03:10:00,0,1,EN103,"25,600",Desp. c/col. c/veíc. imobil./obst.
Barcelos,2011:01:30 11:45:00,0,1,EN103,"19,070",Colisão c/outras situações
Barcelos,2011:06:04 22:10:00,0,1,EN103,"21,350",Colisão lat. c/outro veíc. mov.
Barcelos,2011:09:17 08:40:00,1,0,EN103,"31,810",Colisão lat. c/outro veíc. mov.
Barcelos,2011:02:19 17:20:00,1,0,EN103-1,"5,730",Atropelamento de peões
Barcelos,2011:09:22 23:30:00,0,1,EN205,"25,550",Atropelamento de peões
Barcelos,2011:12:03 11:10:00,1,0,EN205,"15,550",Colisão frontal
Barcelos,2011:12:24 17:30:00,0,1,EN205,"18,005",Colisão lat. c/outro veíc. mov.
Barcelos,2011:10:21 22:20:00,0,1,EN204,"25,520",Colisão lat. c/outro veíc. mov.
Barcelos,2011:01:13 14:30:00,1,1,EN204,"29,400",Colisão c/outras situações
Braga,2011:05:10 17:45:00,0,1,Est. Via Falperra,,Colisão lat. c/outro veíc. mov.
Braga,2011:08:31 08:10:00,0,1,Av D Salgado Zenha,,Despiste c/dispositivo de retenção
Braga,2011:07:23 19:00:00,0,2,R Cónego Álvares Costa,,Desp. c/col. c/veíc. imobil./obst.
Braga,2011:01:12 23:10:00,0,1,R Frei José Vilaça,,At r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Braga,2011:05:17 22:00:00,0,1,R São Martinho,,A  t r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Braga,2011:05:06 11:40:00,0,1,Av João Paulo II,,Co  l i s ã  ol a  t .  c  / o  u  t r ov  e  í c  . mov.
Braga,2011:05:25 09:50:00,0,1,R Fábrica,,A  t  r o  p  e  la  me  n  t od  ep  e õ es
Braga,2011:08:19 18:30:00,0,1,R Veiga,,D  e  s  p  i s  t ec  / d  is  p  o  s  i t i v o de retenção
Braga,2011:10:01 14:30:00,0,2,R Feira,,Colisão frontal
Braga,2011:05:21 07:45:00,0,1,Av João Paulo II,,At r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Braga,2011:09:05 09:25:00,0,1,Av Frei B. Mártires,,Colisão lat. c/outro veíc. mov.
Braga,2011:03:11 19:45:00,0,1,Av António Macedo,,Co  l i s ã  ol a  t .  c  / o  u  t r ov  e  í c  .m  ov.
Braga,2011:08:02 20:30:00,0,1,Av Frei Bart Mártires,,D  e  s  p  i s  t es / d  i s  p  o  s  i tivo de retenção
Braga,2011:07:30 18:45:00,0,1,R Damiana Maria Silva,,D  e  s  p  i s  t es  / d  is  p  o  s  i t i v  od  er e tenção
Braga,2011:10:22 09:00:00,0,1,Nó Infias,,Desp. c/transp. disp. ret. lateral
Braga,2011:07:01 08:30:00,0,1,R Pe António Freire,,De  s p  .  c  / t r a  n  s  p  .  d  i s  p  .  r e  t .lateral
