Concelho,Datahora,M*,FG*,Via,km,Natureza
Cascais,2012:06:23 13:35:00,1,0,Av. Infante D.Henrique,,Atropelamento de peões
Cascais,2012:07:02 03:30:00,0,1,Av.a Gonçalves Zarco,,Colisão c/veic./obstáculo f.rodagem
Cascais,2012:07:07 06:20:00,0,1,Rua José Florindo,,C  o  l i s  ã  o  f  r o  n  t a  l
Cascais,2012:07:14 11:45:00,0,1,EN249-4,,Colisão frontal
Cascais,2012:08:03 15:00:00,0,1,Estrada Octávio Pato,,C  o  l i s  ã  of r o  n  t a  l
Cascais,2012:09:07 12:00:00,0,1,Av. F. Figueiredo (Estoril),,Colisão com outras situações
Cascais,2012:10:04 02:30:00,0,2,EN6,,Despiste c/trans. disp.ret. lateral
Cascais,2012:10:16 08:35:00,1,0,Av. N. Sra. Cabo,,C  o  l i s  ã  of r o  n  t a  l
Cascais,2012:10:19 19:40:00,0,1,Largo de Alvide,,Atropelamento de peões
Cascais,2012:11:10 02:25:00,0,1,Avenida Charneca,,De  s  p i s  t ec  / c  o  l.  c  / v  e  í c  .i mo  b  il . /obst.
Cascais,2012:11:17 12:45:00,0,2,EN6,"11,500",Despiste c/trans. disp.ret. lateral
Cascais,2012:11:18 20:30:00,0,1,Rua Júlio Dinis,,D  e  s  p  i s  t es  /  d  is  p  o  s  i t i v od  eretenção
Cascais,2012:12:02 11:05:00,0,1,Estrada Guincho,,A  t r  o  p  e  la  me  n  t od  ep  e  õ  e  s
Cascais,2012:12:09 11:00:00,0,1,Av. Dr. M. R. E. Sto Silva,,C  o  l i s  ã  o  c  o  mfuga
Lisboa,2012:01:10 14:00:00,0,1,Ponte 25 Abril,"4,050",Colisão tras. c/ outro veíc. mov.
Lisboa,2012:01:16 16:00:00,1,0,Arr. Int. Est.1o de Maio,,Atropelamento de peões
Lisboa,2012:01:23 13:00:00,1,0,Avenida 24 de julho,,Atropelamento de peões
Lisboa,2012:01:24 14:46:00,0,1,Avenida 24 de Julho,,Atropelamento de peões
Lisboa,2012:01:28 14:15:00,0,1,Av. Prof. Gama Pinto,,Atropelamento de peões
Lisboa,2012:01:29 16:10:00,0,1,Avenida Padre Cruz,,Atropelamento de peões
Lisboa,2012:01:30 22:10:00,1,0,Av. M. Albuquerque,,Atropelamento de peões
Lisboa,2012:02:03 12:30:00,0,1,Av. Dr. Francisco L. G.,,Colisão lat. c/ outro veíc. mov.
Lisboa,2012:02:04 11:20:00,0,1,Av. Almirante Reis,,Atropelamento de peões
Lisboa,2012:02:08 05:55:00,0,1,Avenida Liberdade,,Atropelamento de peões
Lisboa,2012:02:11 16:50:00,0,1,Av. M. Gomes Costa,,Colisão com outras situações
Lisboa,2012:02:13 15:30:00,0,1,Rua Forno do Tijolo,,Colisão lat. c/ outro veíc. mov.
Lisboa,2012:02:17 08:30:00,1,0,Av. João XXI - Túnel,,Atropelamento de peões
Lisboa,2012:02:23 13:30:00,0,1,Av. Cons. F. Sousa,,Colisão lat. c/ outro veíc. mov.
Lisboa,2012:02:24 00:10:00,1,0,Av. F. P. de Melo,,Colisão lat. c/ outro veíc. mov.
Lisboa,2012:03:02 15:15:00,0,1,Avenida República,,Colisão com outras situações
Lisboa,2012:03:03 07:45:00,0,1,Avenida República,,Despiste c/ dispositivo de retenção
Lisboa,2012:03:08 14:05:00,0,1,Rua Castilho,,Colisão com outras situações
Lisboa,2012:03:10 02:00:00,0,1,Av. Carlos Pinhão,,Despiste c/trans. disp.ret. lateral
Lisboa,2012:03:12 09:10:00,1,0,A5,"0,950",Colisão tras. c/ outro veíc. mov.
Lisboa,2012:03:13 09:10:00,0,1,Av. Cid. L. Marques,,Atropelamento de peões
Lisboa,2012:03:18 20:45:00,1,0,Avenida 24 de Julho,,Atropelamento de peões
Lisboa,2012:03:21 04:25:00,0,1,Avenida Combatentes,,Despiste c/ dispositivo de retenção
Lisboa,2012:03:23 16:45:00,0,1,Avenida República,,Colisão com outras situações
Lisboa,2012:04:08 01:30:00,2,1,Av. M. A. Spínola,,Despiste c/col. c/veíc. imobil./obst.
Lisboa,2012:04:17 06:45:00,0,1,Rua Dom João V,,Colisão com outras situações
Lisboa,2012:04:30 15:55:00,0,2,Avenida José Malhoa,,Colisão frontal
Lisboa,2012:05:01 09:30:00,0,1,Praça José Queirós,,Colisão lat. c/ outro veíc. mov.
Lisboa,2012:05:06 18:35:00,0,1,Rua Amoreiras,,A  t r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Lisboa,2012:05:15 17:45:00,0,1,Av. M. C. Lopes,,Colisão com outras situações
Lisboa,2012:05:15 18:20:00,0,2,Pç Duque Saldanha,,Colisão com outras situações
Lisboa,2012:05:16 13:55:00,0,1,Estrada Benfica,,Atropelamento de peões
Lisboa,2012:05:18 20:15:00,1,0,Avenida Álvaro Pais,,Colisão com outras situações
Lisboa,2012:05:19 12:55:00,0,1,Estrada Luz,,Colisão com outras situações
Lisboa,2012:05:24 13:05:00,0,1,Av. Calouste Gulbenkian,,Atropelamento de peões
Lisboa,2012:05:27 07:45:00,0,1,Av. Eng. D. Pacheco,,Despiste c/ dispositivo de retenção
Lisboa,2012:05:28 09:20:00,0,1,Avenida Ceuta,,Atropelamento de peões
Lisboa,2012:06:05 14:00:00,0,1,Av. Cidade Luanda,,Colisão lat. c/ outro veíc. mov.
Lisboa,2012:06:12 12:20:00,0,1,R. Dr. F. Luís Gomes,,Atropelamento de peões
Lisboa,2012:06:13 07:05:00,0,1,Avenida Índia,,Atropelamento de peões
Lisboa,2012:06:20 18:00:00,1,0,R. Marquês Fronteira,,Despiste s/ dispositivo de retenção
Lisboa,2012:06:21 17:20:00,0,1,Arr. Int. H. Pulido Valente,,Atropelamento de peões
Lisboa,2012:06:27 04:50:00,0,1,Av. Sacadura Cabral,,C  o  l i s  ã  o,la  t .  c  /o  u  t r ov  e  í c  .  m  ov.
Lisboa,2012:06:29 15:45:00,0,1,Vila Flamiano,,Atropelamento de peões,
Lisboa,2012:07:01 05:25:00,0,1,Av. A. Gago Coutinho,,A  t r  o  p e l a  m,e  n  t od  ep  e  õ  e s
Lisboa,2012:07:04 15:00:00,0,1,Av. Calouste Gulbenkian,,De  s  p i s  t e,s  /d  i s po s  i t i v  od  er e  tenção
Lisboa,2012:07:18 23:35:00,1,0,Av. A. A. de Aguiar,,Atropelamento de peões,
Lisboa,2012:07:22 16:35:00,0,1,Rua Damasceno Monteiro,,Despiste c/col. c/veíc. imobil./obst.,
Lisboa,2012:07:23 22:58:00,0,1,Avenida Ceuta,,Atropelamento de peões,
Lisboa,2012:08:01 12:30:00,0,1,Túnel Pç José Queiroz,,Despiste c/ dispositivo de retenção,
Lisboa,2012:08:07 02:50:00,0,1,Estrada do Outeiro,,Despiste c/col. c/veíc. imobil./obst.,
Lisboa,2012:08:10 23:45:00,0,1,Rua Palma,,Atropelamento de peões,
Lisboa,2012:08:14 13:45:00,0,1,Av. Afonso Costa,,Atropelamento de peões,
Lisboa,2012:08:21 17:10:00,0,1,Av. Almirante Reis,,Colisão com outras situações,
Lisboa,2012:08:27 16:35:00,0,1,Av. General Roçadas,,Atropelamento de peões,
Lisboa,2012:08:28 16:10:00,0,1,Campo Sta Clara,,Atropelamento de peões,
Lisboa,2012:09:07 17:15:00,0,1,Al. D. Af. Henriques,,Colisão frontal,
Lisboa,2012:09:10 16:00:00,0,1,Av. F. P. de Melo,,Atropelamento de peões,
Lisboa,2012:09:14 09:30:00,1,0,Campo Grande,,Atropelamento de peões,
Lisboa,2012:09:16 05:00:00,0,1,Avenida da India,,Colisão frontal,
Lisboa,2012:09:17 14:50:00,0,2,R. Qta Lavadeiras,,Colisão frontal,
Lisboa,2012:09:21 19:30:00,0,1,Av. Duque Loulé,,Atropelamento de peões,
Lisboa,2012:09:25 09:20:00,0,1,AV. Dr. F. L. Gomes,,Colisão lat. c/ outro veíc. mov.,
Lisboa,2012:10:02 16:50:00,0,1,Av. Forças Armadas,,Atropelamento de peões,
Lisboa,2012:10:04 16:40:00,0,1,Rua Gualdim Pais,,Atropelamento de peões,
Lisboa,2012:10:19 18:15:00,0,1,Avenida João XXI,,Atropelamento de peões,
Lisboa,2012:10:20 19:40:00,0,1,Avenida Almirante Reis,,Atropelamento de peões,
Lisboa,2012:10:21 18:20:00,0,1,Av. M. Craveiro Lopes,,Despiste c/ dispositivo de retenção,
Lisboa,2012:10:23 20:40:00,0,1,Calçada Carriche,,Atropelamento de peões,
Lisboa,2012:10:25 13:00:00,0,1,Acesso Pte 25 Abril,,Colisão com fuga,
Lisboa,2012:10:26 18:55:00,0,1,Av. Inf. D. Henrique,,Despiste c/ dispositivo de retenção,
Lisboa,2012:10:27 04:40:00,0,1,R. Marquês Fronteira,,Despiste s/ dispositivo de retenção,
Lisboa,2012:11:01 15:00:00,0,1,Calçada Galvão,,At r o  p  e  l a  m,e  n t  od  ep  e  õ e  s
Lisboa,2012:11:06 23:15:00,0,1,Avenida República,,A  t r o  p  e  l a  m,e  n  t od  ep  e  õ  e  s
Lisboa,2012:11:07 12:30:00,0,1,Av. Cidade do Porto,,Despiste s/ dispositivo de retenção,
Lisboa,2012:11:09 08:00:00,0,1,Ponte 25 Abril,"2,600",Despiste s/ dispositivo de retenção,
Lisboa,2012:11:14 12:35:00,0,1,Av. João XXI - Túnel,,Colisão tras. c/ outro veíc. mov.,
Lisboa,2012:11:26 07:30:00,1,0,Avenida Roma,,Atropelamento de peões,
Lisboa,2012:11:28 15:20:00,1,0,Viaduto de Pedrouços,,Despiste c/ dispositivo de retenção,
Lisboa,2012:12:12 08:20:00,1,0,Avenida República,,Atropelamento de peões,
Lisboa,2012:12:12 09:40:00,0,1,Av. A. Gago Coutinho,,Atropelamento de peões,
Lisboa,2012:12:19 18:20:00,1,0,Avenida Brasília,,C  o  l i s  ã  o,f r o  n  t a  l
Lisboa,2012:12:21 21:55:00,0,1,Al. Linhas Torres,,Atropelamento de peões,
Lisboa,2012:12:23 06:45:00,1,2,Av. Almirante Reis,,Despiste c/col. c/veíc. imobil./obst.,
Lisboa,2012:12:31 09:15:00,1,0,Avenida Berlim,,Colisão frontal,
Loures,2012:01:03 08:30:00,1,0,R. Cmdt. C. Araújo,,Atropelamento com fuga,
Loures,2012:01:07 16:05:00,0,1,Rua Angola,,A  t r  o  p  e  la  m,e  n  t od  ep  e  õ  e  s
Loures,2012:01:15 00:45:00,0,1,Rotunda da PVT,,Despiste c/col. c/veíc. imobil./obst.,
Loures,2012:01:25 20:18:00,0,1,A8,"4,000",Colisão tras. c/ outro veíc. mov.,
Loures,2012:01:28 01:15:00,0,1,Av. Bartolomeu Dias,,De  s p  i s  t e,s  /  d  is  p  o  s  i t i v ode  r etenção
Loures,2012:01:28 19:50:00,0,1,EN8,"11,900",Colisão frontal,
Loures,2012:01:31 16:45:00,1,1,Av. Marquês Marialva,,Atropelamento de peões,
Loures,2012:02:09 16:50:00,0,1,R. M. F. Soromenho,,Co  l is  ã  o,f r  o  n t  a  l
Loures,2012:02:24 20:10:00,0,1,Av. Cidade do Porto,,Atropelamento de peões,
Loures,2012:02:25 02:20:00,2,1,A1,"3,500",Colisão com outras situações,
Loures,2012:03:02 21:30:00,0,1,R. Comb. Ultramar,,C  o  l i s  ã  o,l a  t . c  /  o  u  t r  ov e  íc. mov.
Loures,2012:03:08 14:30:00,0,1,R. 28 de Setembro,,C  o  l i s  ã  o  f r  o  n  t a  l,
