Concelho,Datahora,M*,FG*,,Via,km,Natureza
Albufeira,2010-01-13 17:05,0,2,A22,,"51,900",Despiste com capotamento
Albufeira,2010-12-31 18:10,0,1,EN125,,"69,021",Atropelamento de peões
Albufeira,2010-01-31 18:30,1,0,EN395,,"59,000",Colisão frontal
Albufeira,2010-11-12 06:20,0,1,A2,,"235,177",Despiste c/ disp. retenção
Albufeira,2010-09-11 17:10,0,1,Estrada Municipal,,,Colisão lat. c/outro veíc. mov.
Albufeira,2010-07-30 13:50,0,1,EM1352,,,Despiste com capotamento
Albufeira,2010-08-03 19:15,0,1,AV. 12 JULHO,,,Colisão lat. c/outro veíc. mov.
Albufeira,2010-06-13 22:20,0,1,EM1352,,,Despiste com capotamento
Albufeira,2010-06-08 09:45,0,1,A2,,"233,600",Despiste s/ disp. retenção
Albufeira,2010-07-09 10:30,0,1,R. LIDL AV DESCOBR.,,,Colisão lat. c/outro veíc. mov.
Albufeira,2010-05-13 14:45,0,1,R DO MUNICIPIO,,,Atropelamento de peões
Albufeira,2010-03-30 17:20,1,1,R PAUL HARRYS,,,Colisão lat. c/outro veíc. mov.
Albufeira,2010-04-07 15:40,0,1,EN125,,"74,500",Colisão lat. c/outro veíc. mov.
Albufeira,2010-04-11 00:30,0,1,EN125,,"72,100",Colisão tras. c/ outro veíc. mov.
Albufeira,2010-04-12 13:05,0,1,Estrada Municipal,,,Colisão frontal
Albufeira,2010-04-10 19:45,0,1,EM526,,,Colisão lat. c/outro veíc. mov.
Albufeira,2010-02-15 12:50,0,1,A22,,"51,000",Colisão tras. c/ outro veíc. mov.
Alcoutim,2010-05-26 21:30,1,0,Outra Via,,,Despiste s/ disp. retenção
Aljezur,2010-08-22 11:40,0,1,EN120,,"135,000",Colisão lat. c/outro veíc. mov.
Aljezur,2010-08-03 09:10,0,1,URB VALE DA TELHA,,,Colisão com outras situações
Aljezur,2010-03-23 14:05,0,1,Estrada Municipal,,,Despiste simples
Aljezur,2010-11-15 17:30,0,1,EN120,,"132,100",Despiste com capotamento
Aljezur,2010-11-08 13:30,0,1,EN120,,"142,100",Colisão frontal
Aljezur,2010-08-14 06:30,0,1,EN120,,"159,950",Despiste com capotamento
Aljezur,2010-10-21 04:20,0,1,EN120,,"137,000",Colisão frontal
Castro Marim,2010-07-27 00:30,1,0,A22,,"130,200",Despiste com capotamento
Faro,2010-01-28 17:30,0,1,R MAR GUERRA,,,Atropelamento de peões
Faro,2010-04-22 15:00,0,1,AV. 5 Outubro,,,Colisão lat. c/outro veíc. mov.
Faro,2010-05-16 19:00,0,1,Rua do Alportel,,,Despiste s/ disp. retenção
Faro,2010-05-14 22:37,0,1,EN125-10,,"1,600",Despiste simples
Faro,2010-05-22 14:10,0,1,EM1321,,,Despiste com capotamento
Faro,2010-04-10 13:00,0,1,AV. 5 Outubro,,,Despiste c/col. c/veíc. imobil./obst.
Faro,2010-04-26 21:18,0,1,R. Teófilo da Trindade,,,Colisão lat. c/outro veíc. mov.
Faro,2010-05-02 06:15,0,1,EN125-10,,"2,500",Despiste c/col. c/veíc. imobil./obst.
Faro,2010-10-27 16:30,0,2,AV. Calouste Gulbenkian,,,Atropelamento de peões
Faro,2010-07-03 01:30,1,0,EM520-2,,,Colisão c/veic./obstá. f. rodagem
Faro,2010-07-24 14:15,0,1,EN2,,"731,100",Colisão frontal
Faro,2010-06-15 12:15,0,1,A22,,"80,200",Despiste c/ disp. retenção
Faro,2010-06-19 03:30,0,1,Estrada Regional,,Despiste c/col. c/veíc. imobil./obst.
Faro,2010-08-13 01:30,0,1,EN2,"735,900",Colisão frontal
Faro,2010-08-14 01:00,0,1,EN2,"730,000",Colisão frontal
Faro,2010-08-15 20:15,1,0,R JUDICE FIALHO,,Despiste com capotamento
Faro,2010-11-02 20:15,0,1,R. Dr. Manuel de Arriaga,,Colisão lat. c/outro veíc. mov.
Faro,2010-09-19 00:01,0,1,AV. Cidade Hayward,,Atropelamento de peões
"",,,,,,
Faro,2010-11-20 16:40,0,1,Rua D. Teresa R. Ortigão,,Colisão com outras situações
Faro,2010-09-17 00:01,1,0,EN125-4,"4,000",Atropelamento de peões
Faro,2010-07-26 19:20,0,1,AV. Cidade Hayward,,De  s  p  i s t es  i mp  l e  s
Faro,2010-12-11 15:25,0,1,EN125,"103,300",Atropelamento de peões
Faro,2010-11-23 15:20,1,0,EN125,"102,400",Despiste c/col. c/veíc. imobil./obst.
Faro,2010-12-25 16:20,0,1,MONTE PALHAGUEIRA,,Atropelamento de peões
Faro,2010-12-30 06:00,0,1,EM519-2,,Despiste com capotamento
Faro,2010-12-14 12:10,0,1,Estrada Municipal,,Colisão lat. c/outro veíc. mov.
Faro,2010-12-11 18:30,0,1,EN2,"734,000",Colisão tras. c/ outro veíc. mov.
Lagoa,2010-09-22 18:30,0,1,EN125,"47,300",Colisão frontal
Lagoa,2010-03-06 19:50,0,1,EM1273,,Despiste c/col. c/veíc. imobil./obst.
Lagoa,2010-05-28 23:45,0,1,EM530-1,,Colisão frontal
Lagoa,2010-05-05 02:00,1,0,A22,"28,431",Desp. c/transp.disp. ret. lateral
