Maia,2007:01:01 03:31:00,1,0,A41,"4,600",Atropelamento peões
Maia,2007:07:07 15:45:00,0,1,A3,"5,264",Despiste simples
Maia,2007:06:14 03:55:00,1,0,A3,"6,115",Despiste simples
Concelho,Datahora,M*,FG*,,Via,km,Natureza
Maia,2007:02:11 00:10:00,1,0,A3,,"6,130",Despiste com capotamento
Maia,2007:02:17 02:10:00,0,1,A3,,"6,330",Despiste com dispositivo retenção
Maia,2007:10:13 17:30:00,0,1,EN13,,"6,500",Colisão frontal
Maia,2007:08:16 16:35:00,0,1,EN107,,"9,050",Atropelamento peões
Maia,2007:07:11 17:47:00,1,0,EN318,,"9,500",Colisão com outras situações
Maia,2007:03:12 22:50:00,0,1,EN14,,"10,500",Colisão com fuga
Maia,2007:03:15 07:17:00,0,3,A3,,"10,700",Despiste c/ transp. disp. ret. lateral
Maia,2007:02:05 20:36:00,1,0,A41,,"10,800",Atropelamento peões
Maia,2007:01:01 19:30:00,0,1,R DR ANTONIO SANTOS,,,Colisão frontal
Maia,2007:03:22 13:40:00,1,0,R  5 OUTUBRO,,,Col. lat. c/ outro veíc. mov.
Maia,2007:03:24 22:40:00,0,1,R NOVA BAJOUCA,,,Despiste simples
Maia,2007:04:05 16:30:00,0,1,R BARREIRO,,,Col. lat. c/ outro veíc. mov.
Maia,2007:04:30 19:00:00,0,1,R CAVACO,,,Atropelamento peões
Maia,2007:06:11 10:45:00,0,1,R MOSTEIRO,,,Col. c/ veíc./obst. f. rodagem
Maia,2007:08:16 14:40:00,0,1,R FREDERICO ULRICH,,,Despiste simples
Maia,2007:08:25 12:15:00,1,0,AV D JOÃO I,,,Atropelamento peões
Maia,2007:09:04 15:55:00,0,1,R AGOSTINHO SILVA ROCHA,,,Colisão frontal
Maia,2007:10:19 07:15:00,0,1,R D AFONSO HENRIQUES,,,Col. lat. c/ outro veíc. mov.
Maia,2007:12:23 07:30:00,1,0,Outra Via-VE,,,Despiste c/ col c/ veíc. imob/obst.
Matosinhos,2007:06:17 07:15:00,1,0,EN13,,"0,600",Atropelamento peões
Matosinhos,2007:04:05 19:20:00,0,1,EN13,,"2,500",Despiste c/ col c/ veíc. imob/obst.
Matosinhos,2007:06:01 01:10:00,0,1,A4,,"4,980",Despiste simples
Matosinhos,2007:11:14 06:45:00,0,1,A4,,"6,750",Col. tras. c/ outro veíc. mov.
Matosinhos,2007:11:30 21:00:00,0,1,A28,,"7,000",Despiste s/ disp. retenção
Matosinhos,2007:03:08 16:00:00,0,1,A28,,"8,500",Despiste c/ col c/ veíc. imob/obst.
Matosinhos,2007:12:25 00:30:00,0,2,A28,,"14,067",Despiste c/ transp. disp. ret. lateral
Matosinhos,2007:01:03 14:30:00,0,2,AV LIBERDADE/R PEDRAS,,,Col. lat. c/ outro veíc. mov.
"",,,,NOVAIS,,,
Matosinhos,2007:02:01 18:20:00,0,1,R MONSERRATE,,,Atropelamento peões
Matosinhos,2007:02:06 20:30:00,0,1,EN107,,,Atropelamento peões
Matosinhos,2007:03:08 23:00:00,1,0,R VELOSO SALGADO,,,Despiste simples
Matosinhos,2007:03:09 18:05:00,0,1,AV SRA HORA,,,Atropelamento peões
Matosinhos,2007:03:19 09:05:00,0,1,R TEOFILO CARVALHO,,,Colisão frontal
"",,,,SANTOS,,,
Matosinhos,2007:05:07 21:30:00,0,1,R REGADIO,,,Atropelamento peões
Matosinhos,2007:05:14 10:30:00,0,1,R SOL POENTE,,,Atropelamento peões
Matosinhos,2007:05:31 03:40:00,0,1,AV MERIJNAC,,,Despiste com fuga
Matosinhos,2007:06:25 22:55:00,0,1,AV SRA HORA/R SETE BICAS,,,Col. lat. c/ outro veíc. mov.
Matosinhos,2007:06:30 11:35:00,0,1,ACC-A28,,,Colisão frontal
Matosinhos,2007:07:14 20:30:00,0,1,Estrada Municipal,,,Despiste simples
Matosinhos,2007:07:25 19:20:00,0,1,AV DR SALGADO ZENHA,,,Col. lat. c/ outro veíc. mov.
Matosinhos,2007:08:06 22:30:00,0,1,R MOSTEIRO,,,Colisão frontal
