"",Concelho,Datahora,M,FG,Via,Km,Natureza
Amares,,27-09-2011 19:15,0,1,AV DE TELHEIRAS,-,Atropelamento de peões
Amares,,16-11-2011 18:00,0,1,EN205,"2,030",Atropelamento de peões
Amares,,31-05-2011 18:00,0,1,EN205,"47,000",Colisão frontal
Amares,,23-10-2011 09:30,0,1,EN205,"47,450",Colisão frontal
Amares,,08-11-2011 08:25,0,1,EN205,"50,000",Atropelamento de peões
Amares,,03-02-2011 20:30,0,1,EN308,"63,700",Colisão frontal
Amares,,14-05-2011 14:55,0,1,R 20 DE JANEIRO 50,-,Atropelamento com fuga
Amares,,25-06-2011 21:50,1,0,R AFONSO MANUE...,-,Despiste simples
Amares,,08-03-2011 18:00,0,1,R CANCELA DA CR...,-,Atropelamento de peões
Amares,,13-09-2011 07:40,1,3,R DA CINTURA,-,Colisão frontal
Amares,,01-12-2011 18:20,0,1,R S VERISSIMO 38,-,Despiste simples
Barcelos,,08-04-2011 09:35,1,0,AV DA PRAIA - BA...,-,Colisão frontal
Barcelos,,27-02-2011 14:00,0,1,CAMINHO ACESSO...,-,Despiste com capotamento
Barcelos,,26-02-2011 14:10,0,1,EM306,"47,900",Despiste com colisão com veículo imobil. ...
Barcelos,,09-09-2011 20:30,0,1,EM306,"60,900",Despiste simples
Barcelos,,30-01-2011 11:45,0,1,EN103,"19,070",Colisão com outras situações
Barcelos,,04-06-2011 22:10,0,1,EN103,"21,350",Colisão lateral com outro veículo em mov...
Barcelos,,15-04-2011 03:10,0,1,EN103,"25,600",Despiste com colisão com veículo imobil. ...
Barcelos,,17-09-2011 08:40,0,1,EN103,"31,810",Colisão lateral com outro veículo em mov...
Barcelos,,19-02-2011 17:20,1,0,EN103-1,"5,730",Atropelamento de peões
Barcelos,,21-10-2011 22:20,0,1,EN204,"25,520",Colisão lateral com outro veículo em mov...
Barcelos,,13-01-2011 14:30,1,1,EN204,"29,400",Colisão com outras situações
Barcelos,,03-12-2011 11:10,1,0,EN205,"15,550",Colisão frontal
Barcelos,,24-12-2011 17:30,0,1,EN205,"18,005",Colisão lateral com outro veículo em mov...
Barcelos,,22-09-2011 23:30,0,1,EN205,"25,550",Atropelamento de peões
Barcelos,,24-04-2011 16:30,0,1,ESTRADA STA M D...,-,Despiste simples
Barcelos,,28-06-2011 08:45,0,1,R BENTO ANTAS C...,-,Atropelamento de peões
Barcelos,,16-08-2011 06:50,0,2,R DA PRAIA,-,Colisão frontal
Barcelos,,01-05-2011 01:35,0,1,R DO BONCELAO,-,Colisão frontal
Barcelos,,19-08-2011 20:45,1,0,R DO MONTINHO 71,-,Atropelamento de peões
Barcelos,,07-11-2011 17:00,0,1,R DR JOAO BATIS...,-,Colisão com fuga
Barcelos,,30-11-2011 13:30,0,1,R PADRE PAULINO...,-,Atropelamento de peões
Barcelos,,06-05-2011 13:05,0,1,R S JOAO,-,Despiste sem dispositivo de retenção
Barcelos,,17-02-2011 11:15,1,0,R S MATEUS,-,Colisão frontal
Barcelos,,18-04-2011 16:00,0,1,R STO AMARO,-,Atropelamento de peões
Barcelos,,01-07-2011 13:30,0,1,Rua Brigadeiro S/N,-,Colisão lateral com outro veículo em mov...
Barcelos,,12-08-2011 20:00,0,1,Variante Interna d...,-,Despiste com capotamento
Braga,,30-11-2011 04:50,0,1,AV CAVADO,-,Despiste com capotamento
Braga,,12-11-2011 08:40,0,1,Av. Norton de Mat...,-,Atropelamento de peões
Braga,,03-06-2011 19:15,1,0,Ava do Estádio AX...,-,Despiste simples
Braga,,31-08-2011 08:10,0,1,Ava Dro Salgado Z...,-,Despiste com dispositivo de retenção
Braga,,18-01-2011 07:35,0,1,Avenida 31 de Jan...,-,Atropelamento de peões
Braga,,11-03-2011 19:45,0,1,Avenida António M...,-,Colisão traseira com outro veículo em m...
Braga,,14-12-2011 07:20,1,0,Avenida da Imacul...,-,Atropelamento de peões
Braga,,06-10-2011 18:25,0,1,Avenida de São Pe...,-,Colisão lateral com outro veículo em mov...
Braga,,05-09-2011 09:25,0,1,Avenida Frei Bartol...,-,Colisão traseira com outro veículo em m...
Braga,,02-08-2011 20:30,0,1,Avenida Frei Bartol...,-,Despiste sem dispositivo de retenção
Braga,,21-09-2011 16:40,0,1,Avenida General N...,-,Atropelamento de peões
Braga,,21-05-2011 07:45,0,1,Avenida João Paulo...,-,Atropelamento de peões
Braga,,06-05-2011 11:40,0,1,Avenida João Paulo...,-,Colisão lateral com outro veículo em mov...
Braga,,01-08-2011 21:45,0,1,Avenida João Paulo...,-,Atropelamento de peões
Braga,,20-07-2011 20:35,0,1,Avenida Padre Júli...,-,Colisão com outras situações
Braga,,29-07-2011 17:45,0,1,Avenida Padre Júli...,-,Colisão traseira com outro veículo em m...
Braga,,24-10-2011 00:45,0,1,EN101,"89,700",Colisão com veiculo ou obstáculo na faix...
Braga,,13-11-2011 19:30,1,2,EN101,"98,265",Colisão lateral com outro veículo em mov...
Braga,,08-05-2011 16:10,0,1,EN101,-,Despiste simples
Braga,,31-05-2011 21:15,1,1,EN103-3,"0,900",Atropelamento de peões
Braga,,19-12-2011 17:50,0,2,EN14,"39,300",Colisão frontal
Braga,,10-05-2011 17:45,0,1,Estrada Via Falperr...,-,Colisão lateral com outro veículo em mov...
Braga,,05-11-2011 14:40,0,1,Estrada Via Falperr...,-,Colisão lateral com outro veículo em mov...
Braga,,01-08-2011 05:00,0,1,Estrada Via Falperr...,-,Despiste simples
Braga,,14-07-2011 15:15,0,1,Largo São João da ...,-,Atropelamento de peões
Braga,,02-08-2011 19:00,0,1,LG S BRAS,-,Atropelamento de peões
Braga,,22-10-2011 09:00,0,1,Nó Infias 0,-,Despiste com transposição do dispositivo...
"",,-,-,-,-,-,-
Braga,,10-02-2011 08:55,1,0,R DO PINHEIRO V...,-,Colisão frontal,
Braga,,08-07-2011 10:35,0,2,Rotunda da Variant...,-,Colisão lateral com outro veículo em mov...,
Braga,,26-10-2011 08:30,0,1,Rua Ala dos Namor...,-,Despiste com colisão com veículo imobil. ...,
Braga,,17-04-2011 03:15,0,1,Rua Cidade do Port...,-,Colisão com outras situações,
Braga,,24-10-2011 16:40,0,1,Rua Cidade do Port...,-,Atropelamento de peões,
Braga,,23-07-2011 19:00,0,2,Rua Conego Rafael...,-,Despiste com colisão com veículo imobil. ...,
Braga,,19-02-2011 20:00,0,1,Rua da Boavista no...,-,Despiste simples,
Braga,,25-05-2011 09:50,0,1,Rua da Fábrica 00,-,Atropelamento de peões,
Braga,,01-10-2011 14:30,0,2,Rua da Feira s/no,-,Colisão frontal,
Braga,,19-08-2011 18:30,0,1,Rua da Veiga 0,-,Despiste com dispositivo de retenção,
Braga,,03-03-2011 13:35,0,1,Rua da Veiga 125,-,Atropelamento de peões,
Braga,,30-07-2011 18:45,0,1,Rua Damiana Mari...,-,Despiste sem dispositivo de retenção,
Braga,,06-07-2011 16:45,0,1,Rua de Caires 77,-,Atropelamento de peões,
Braga,,17-05-2011 22:00,0,1,Rua de São Martin...,-,Atropelamento de peões,
Braga,,15-01-2011 02:45,0,1,Rua do Vilar 1,-,Atropelamento de peões,
Braga,,30-11-2011 09:00,0,1,Rua Dom Afonso H...,-,Atropelamento de peões,
Braga,,26-02-2011 17:20,0,1,Rua dos Barbosas 0,-,Colisão com outras situações,
Braga,,12-01-2011 23:10,0,1,Rua Frei José Vilaç...,-,Atropelamento de peões,
Braga,,01-07-2011 20:45,0,1,Rua Manuel da Silv...,-,Despiste simples,
Braga,,01-07-2011 08:30,0,1,Rua Padre António ...,-,Despiste com transposição do dispositivo...,
Braga,,15-08-2011 19:30,0,2,VAR-FOJO,-,Colisão com fuga,
Cabeceiras de Basto,,21-10-2011 17:00,1,0,EM518,-,Despiste simples,
Cabeceiras de Basto,,29-07-2011 00:10,1,0,EM525,-,Despiste com capotamento,
Cabeceiras de Basto,,05-04-2011 19:20,0,1,EN205,"100,100",Colisão lateral com outro veículo em mov...,
Cabeceiras de Basto,,14-02-2011 18:30,1,0,EN206,"72,970",Despiste com capotamento,
Cabeceiras de Basto,,06-04-2011 21:00,0,1,EN210,"0,350",Colisão frontal,
Cabeceiras de Basto,,29-10-2011 16:15,0,1,EN311,"22,600",Despiste simples,
Cabeceiras de Basto,,16-03-2011 08:30,0,1,LARGO JUSTINO D...,-,Atropelamento de peões,
Cabeceiras de Basto,,17-12-2011 14:00,1,0,LUG DO AMPARO,-,Despiste simples,
Cabeceiras de Basto,,04-05-2011 14:35,0,1,R DA ESTAÇÃO,-,Despiste simples,
