Concelho,Datahora,M*,FG*,Via,km,Natureza
Alcobaça,2010-01-05 16:40,0,1,Rua Lombo,,Despiste simples
Alcobaça,2010-12-05 18:00,1,0,ESTRADA,,Atropelamento de peões
Alcobaça,2010-11-16 08:50,0,2,EN8-6,"5,100",Colisão frontal
Alcobaça,2010-08-13 09:45,0,1,Rua Manuel V. Natividade,,Colisão frontal
Alcobaça,2010-06-11 12:00,0,1,Arruamento Acesso CEERIA,,Atropelamento de peões
Alcobaça,2010-10-28 13:27,2,0,A8,"99,800",Colisão tras. c/ outro veíc. mov.
Alcobaça,2010-10-13 14:20,1,0,EN8-6,"1,650",Colisão frontal
Alcobaça,2010-10-05 15:45,0,1,IC2,"82,980",Colisão tras. c/ outro veíc. mov.
Alcobaça,2010-09-11 23:30,1,2,EN1,"90,700",Colisão com fuga
Alcobaça,2010-09-08 18:00,0,1,Rua Joaquim A. Carvalho,,Atropelamento de peões
Alcobaça,2010-09-06 18:40,0,1,EN8-5,"2,950",Colisão lat. c/outro veíc. mov.
Alcobaça,2010-09-26 17:30,0,1,R D JOÃO I,,Colisão lat. c/outro veíc. mov.
Alcobaça,2010-09-21 20:30,0,1,EN242,"21,150",Colisão frontal
Alcobaça,2010-12-11 15:50,1,0,R JOAO CASIMIRO SILVA,,Despiste simples
Alcobaça,2010-03-13 11:50,1,0,R OLIVAL JOAO COELHO,,Despiste simples
Alcobaça,2010-03-31 07:40,0,1,EN1,"88,800",Colisão frontal
Alcobaça,2010-04-21 18:40,1,0,Av. P. Inácio Antunes,,Despiste simples
Alcobaça,2010-05-19 18:55,0,1,Rua de Leiria,,Despiste s/ disp. retenção
Alcobaça,2010-07-14 16:40,0,1,Rotunda VCI/ Rua de Leiria,,Despiste s/ disp. retenção
Alcobaça,2010-05-18 13:25,0,1,Rua P. Inácio Lourenço,,Colisão lat. c/outro veíc. mov.
Alcobaça,2010-05-03 01:20,0,1,A8,"103,000",Atropelamento com fuga
Alcobaça,2010-05-17 09:12,1,0,Rua dos Arneiros,,Colisão lat. c/outro veíc. mov.
Alcobaça,2010-06-01 08:45,1,0,EN1,"90,200",Colisão tras. c/ outro veíc. mov.
Alcobaça,2010-06-01 16:25,0,1,EN242-4,"9,000",Atropelamento de peões
Alcobaça,2010-06-12 21:25,0,2,EN1,"87,700",Colisão frontal
Alcobaça,2010-06-20 05:50,1,0,EN8-6,"12,500",Atropelamento de peões
Alcobaça,2010-08-19 16:20,0,1,RUA A - GANILHOS 25,,Colisão lat. c/outro veíc. mov.
Alcobaça,2010-07-29 17:40,0,1,EN8-5,"3,546",Colisão lat. c/outro veíc. mov.
Alcobaça,2010-04-17 11:10,0,2,Ladeira do Goto,,Despiste s/ disp. retenção
Alvaiázere,2010-05-22 17:45,1,0,Estrada Municipal,,Despiste c/col. c/veíc. imobil./obst
Alvaiázere,2010-09-17 16:30,0,1,Estrada Municipal,,Colisão frontal
Alvaiázere,2010-01-16 15:10,0,2,EN356,"62,400",Despiste simples
Alvaiázere,2010-09-15 16:10,0,1,EN110,"74,120",Despiste simples
Ansião,2010-04-18 05:45,0,1,IC8,"59,500",Despiste com capotamento
Ansião,2010-06-24 16:30,0,1,R DA GATINA,,Atropelamento de peões
Ansião,2010-10-15 21:00,1,0,IC8,"58,800",Despiste simples
Ansião,2010-07-21 20:30,0,1,POÇO DOS CÃES,,Despiste simples
Ansião,2010-06-26 17:20,0,1,IC8,"58,830",Despiste simples
Ansião,2010-06-28 02:00,0,1,R ROSA FALCÃO,,Despiste simples
Ansião,2010-05-19 18:20,0,1,R NOVA AVELAR,,Colisão com outras situações
Ansião,2010-08-28 04:30,0,1,EM1022,,Despiste simples
Ansião,2010-12-16 17:30,1,2,IC3,"28,400",Colisão frontal
Batalha,2010-11-12 08:05,0,1,Rua P. Joaquim C. Pereira,,Despiste s/ disp. retenção
Batalha,2010-04-26 19:42,0,1,R JOVALINHO,,Atropelamento de peões
Batalha,2010-01-30 22:50,0,2,R D MARIA II,,Colisão lat. c/outro veíc. mov.
Batalha,2010-08-11 12:40,0,1,Rua Mosteiro Visitação,,Atropelamento de peões
Batalha,2010-08-08 20:00,0,1,EN356,"12,400",Despiste com capotamento
Bombarral,2010-08-20 21:15,1,0,EM584,,Colisão lat. c/outro veíc. mov.
Bombarral,2010-09-24 16:50,1,0,ALTO MOINHOS,,Despiste com capotamento
Bombarral,2010-12-06 15:00,0,1,Av. Dr. Joaquim Albuquerque,,Atropelamento de peões
Bombarral,2010-07-10 01:15,1,0,EN361,"18,800",Despiste simples
Bombarral,2010-02-04 13:55,0,1,R PRINCIPAL 3,,Colisão frontal
Bombarral,2010-03-06 17:00,0,2,R SR JESUS,,Colisão lat. c/outro veíc. mov.
Bombarral,2010-04-11 20:00,0,1,EM560,,Colisão frontal
Bombarral,2010-06-21 14:30,0,2,EN8,"75,500",Colisão lat. c/outro veíc. mov.
