Concelho,Datahora,M*,FG*,,Via,km,Natureza
Arcos Valdevez,2012:03:26 12:30:00,0,1,EM530-1,,,Despiste c/ capotamento
Arcos Valdevez,2012:09:11 19:40:00,1,0,Estrada Municipal,,,Despiste c/ capotamento
Arcos Valdevez,2012:09:14 01:40:00,0,1,EN101,,"49,587",Despiste c/col. c/veíc. imobil./obst.
Arcos Valdevez,2012:11:19 10:00:00,1,0,EN202,,"47,684",Despiste simples
Arcos Valdevez,2012:12:08 20:40:00,0,1,EM505,,,Atropelamento de peões
Caminha,2012:01:19 08:30:00,1,0,EN305,,"1,400",Atropelamento de peões
Caminha,2012:07:09 22:15:00,1,0,EN13,,"92,200",Atropelamento de peões
Caminha,2012:09:23 17:45:00,1,0,EN305,,"3,000",Despiste simples
Melgaço,2012:06:27 17:45:00,0,1,EN202,,"21,700",Colisão frontal
Monção,2012:05:17 12:30:00,0,2,EN101,,"23,830",Colisão lat. c/ outro veíc. mov.
Monção,2012:08:13 22:10:00,0,1,EN101,,"21,350",Colisão frontal
Monção,2012:12:03 17:40:00,1,0,EN101,,"22,482",Atropelamento de peões
Paredes Coura,2012:06:19 18:50:00,0,1,EM514,,,Colisão c/veic./obstáculo f.rodagem
Ponte Barca,2012:01:20 19:45:00,1,0,Estrada Municipal,,,Despiste simples
Ponte Barca,2012:09:01 16:45:00,1,1,EN203,,"45,300",Colisão lat. c/ outro veíc. mov.
Ponte de Lima,2012:05:15 04:45:00,1,0,A3,,"72,580",Despiste s/ dispositivo de retenção
Ponte de Lima,2012:07:27 17:30:00,0,1,Estrada Municipal,,,Colisão frontal
Ponte de Lima,2012:09:10 14:30:00,0,1,EN204,,"2,700",Colisão lat. c/ outro veíc. mov.
Ponte de Lima,2012:10:04 14:25:00,0,1,Rua de Figueiras,,,Despiste c/ capotamento
Ponte de Lima,2012:11:09 14:35:00,0,1,EN202,,"21,050",Colisão lat. c/ outro veíc. mov.
Ponte de Lima,2012:12:18 07:40:00,0,1,EN201,,"45,360",Colisão lat. c/ outro veíc. mov.
Ponte de Lima,2012:12:26 19:40:00,1,0,EN202,,"22,350",Atropelamento de peões
Valença,2012:09:17 19:30:00,0,3,IP1,,,Despiste c/ capotamento
Valença,2012:12:30 09:10:00,0,3,EN101,,"9,500",Colisão frontal
V. Castelo,2012:01:05 06:10:00,0,1,A28,,"58,700",Despiste s/ dispositivo de retenção
V. Castelo,2012:01:06 19:00:00,0,1,EN13,,"55,600",Atropelamento de peões
V. Castelo,2012:01:28 20:30:00,0,1,EN203,,"9,700",Colisão frontal
V. Castelo,2012:03:01 03:50:00,1,0,EN202,,"15,150",Atropelamento de peões
V. Castelo,2012:03:29 19:45:00,0,1,EN305,,"34,700",Colisão lat. c/ outro veíc. mov.
V. Castelo,2012:04:06 10:15:00,1,0,Av. Cap. Gaspar de Castro,,,Co  l i s ã  oc  / v  e  i c  . / o  b  s t á  c  u  l of . r odagem
V. Castelo,2012:04:30 10:00:00,0,1,Rua de S. Vicente,,,Atropelamento de peões
V. Castelo,2012:05:18 22:00:00,0,1,EN203,,"6,400",Colisão lat. c/ outro veíc. mov.
V. Castelo,2012:05:30 23:15:00,0,1,EN13,,"59,400",Colisão tras. c/ outro veíc. mov.
V. Castelo,2012:06:29 19:30:00,0,1,EN203,,"8,750",Colisão frontal
V. Castelo,2012:06:30 15:50:00,1,0,EN202,,"6,600",Colisão frontal
V. Castelo,2012:07:01 15:30:00,0,1,Avenida 25 de Abril,,,Despiste c/ capotamento
V. Castelo,2012:07:06 18:50:00,0,1,EN302,,"2,100",Colisão frontal
V. Castelo,2012:08:19 19:00:00,0,1,EN13,,"73,000",Despiste simples
V. Castelo,2012:08:26 21:15:00,0,1,EN203,,"5,800",Colisão lat. c/ outro veíc. mov.
V. Castelo,2012:09:09 14:30:00,1,0,Ava da Praia,,,Colisão frontal
V. Castelo,2012:10:04 20:45:00,1,0,EN203,,"5,130",Atropelamento de peões
V. Castelo,2012:10:25 07:25:00,0,1,Avenida Campo do Castelo,,,A  t r o p e  la  me  n  t od  ep  e  õ  e  s
V. Castelo,2012:11:14 18:15:00,0,1,EN305,,"34,200",Colisão frontal
V. Castelo,2012:11:23 23:30:00,0,1,SAIDA A28,,,Despiste simples
V. Castelo,2012:12:19 18:34:00,1,1,Praça da Liberdade,,,Colisão tras. c/ outro veíc. mov.
V. Castelo,2012:12:25 14:30:00,0,2,EN305,,"29,900",Despiste c/ capotamento
V. Castelo,2012:12:27 19:20:00,0,1,EN308,,"5,100",Atropelamento de peões
V. N. Cerveira,2012:10:30 22:30:00,0,1,EN13,,"108,300",Atropelamento de peões
V. N. Cerveira,2012:11:22 17:15:00,0,1,EN13,,"110,000",Colisão lat. c/ outro veíc. mov.
"",,16,41,,,,
