Concelho,Datahora,M,FG,Via,Km,Natureza
Portimao,,03-10-2011 22:00,0,1,EM532,,"4,870",Despiste simples,
Portimao,,04-12-2011 15:15,0,1,EN125,,"34,700",Despiste com colisão com veículo imobil. ...,
Portimao,,03-12-2011 04:40,0,1,EN125,,"38,500",Colisão lateral com outro veículo em mov...,
Portimao,,24-07-2011 18:15,0,2,EN125,,"45,000",Colisão lateral com outro veículo em mov...,
Portimao,,03-06-2011 11:45,0,2,EN125,,"45,100",Colisão choque em cadeia,
Portimao,,27-06-2011 10:15,0,1,EN125,,-,Atropelamento de peões,
"",,-,-,-,-,,-,-,
Portimao,17-08-2011 22:15,1,0,EN125,,-,Colisão lateral com outro veículo em mov...
Portimao,01-06-2011 22:05,1,0,Estrada de Alvor S/N,,-,Despiste com colisão com veículo imobil. ...
Portimao,01-05-2011 04:45,1,0,Estrada de Monchi...,,-,Despiste com dispositivo de retenção
Portimao,09-09-2011 04:30,0,1,Francisco Bivar s/n,,-,Despiste sem dispositivo de retenção
Portimao,22-10-2011 12:45,0,1,Largo do Dique S/N,,-,Colisão com outras situações
Portimao,08-09-2011 14:50,0,1,Praceta Major Davi...,,-,Atropelamento de peões
Portimao,16-07-2011 09:45,0,1,R CAPITAO JOSE D...,,-,Despiste com capotamento
Portimao,28-04-2011 16:30,0,1,Rotunda da Maxma...,,-,Colisão lateral com outro veículo em mov...
Portimao,10-07-2011 17:35,0,1,Rotunda do Lidle S/N,,-,Atropelamento de peões
Portimao,02-02-2011 14:15,0,1,Rua  Prof. Dr. Mon...,,-,Atropelamento de peões
Portimao,20-05-2011 15:40,0,1,Rua 5 de Outubro ...,,-,Atropelamento de peões
Portimao,14-08-2011 14:00,0,1,Rua Gil Vicente - E...,,-,Despiste com colisão com veículo imobil. ...
Sao Bras de Alportel,21-10-2011 07:50,0,1,EN2,,"722,800",Despiste simples
Sao Bras de Alportel,24-10-2011 08:20,1,0,EN2,,"723,400",Colisão frontal
Silves,04-01-2011 18:00,0,1,-,,-,Atropelamento de peões
Silves,02-06-2011 17:30,0,1,-,,-,Colisão lateral com outro veículo em mov...
Silves,19-07-2011 20:00,0,1,-,,-,Despiste simples
Silves,19-07-2011 22:10,0,1,-,,-,Despiste com capotamento
Silves,22-07-2011 18:15,0,1,-,,-,Despiste simples
Silves,12-08-2011 14:50,1,0,-,,-,Despiste com capotamento
Silves,06-11-2011 13:25,0,1,-,,-,Despiste simples
Silves,27-11-2011 16:30,0,1,-,,-,Colisão lateral com outro veículo em mov...
Silves,12-09-2011 02:40,0,1,EM529,,-,Despiste simples
Silves,03-09-2011 22:25,0,1,EN124,,"31,400",Despiste com capotamento
