Concelho,Datahora,M*,FG*,,Via,km,Natureza
Braga,2009:11:04 22:50:00,0,1,LG CARLOS AMARANTE,,Atropelamento de peões
Cab. Basto,2009:04:03 00:35:00,1,0,EM519,,Colisão frontal
Cab. Basto,2009:09:08 14:35:00,0,1,EN311,"17,800",Despiste simples
Cab. Basto,2009:04:02 13:15:00,1,0,R ACESSO PEDRO S MIGUEL,,Despiste com capotamento
Cab. Basto,2009:08:29 16:50:00,0,1,EN205,"97,083",Colisão lat. c/outro veíc. mov.
Cel. de Basto,2009:02:13 13:45:00,0,1,EN101-4,"4,940",Colisão lat. c/outro veíc. mov.
Cel. de Basto,2009:06:11 23:10:00,0,1,,,Colisão frontal
Esposende,2009:08:06 09:50:00,0,1,LUGAR CEDOVEM,,Colisão tras. c/ outro veíc. mov.
Esposende,2009:02:07 20:00:00,0,1,EN13,"45,420",Colisão tras. c/ outro veíc. mov.
Esposende,2009:02:23 15:00:00,1,0,EN13,"48,300",Colisão com outras situações
Esposende,2009:12:11 02:00:00,1,1,EN13,"52,088",Colisão lat. c/outro veíc. mov.
Esposende,2009:12:24 14:20:00,0,2,AV MARCELINO QUEIROZ,,Despiste c/col. c/veíc. imobil./obst.
Esposende,2009:01:21 18:15:00,0,2,A28,"48,900",Despiste com capotamento
Esposende,2009:10:29 18:30:00,0,1,EN13,"44,000",Colisão com outras situações
Esposende,2009:12:25 19:15:00,0,1,LUGAR GATANHEIRA,,Atropelamento de peões
Esposende,2009:11:06 17:55:00,0,1,A28,"54,500",Colisão tras. c/ outro veíc. mov.
Esposende,2009:10:02 16:45:00,0,1,A28,,"57,600",Desp. c/transp.disp. ret. lateral
Esposende,2009:10:21 08:00:00,0,1,EN13,,"40,650",Colisão lat. c/outro veíc. mov.
Esposende,2009:11:16 13:20:00,0,1,A28,,"56,800",Despiste c/col. c/veíc. imobil./obst.
Esposende,2009:08:29 14:45:00,1,0,A28,,"53,200",Despiste c/col. c/veíc. imobil./obst.
Fafe,2009:02:10 17:48:00,0,1,EN207,,"53,900",Despiste c/col. c/veíc. imobil./obst.
Fafe,2009:01:29 18:50:00,0,1,R RESTAURACAO,,,Colisão frontal
Fafe,2009:07:23 22:20:00,0,1,R CASAL GRILO,,,Despiste simples
"",,,,AV TENENTE CORONEL MELO,,,
Fafe,2009:08:15 01:25:00,0,1,,,,Colisão tras. c/ outro veíc. mov.
"",,,,ANTUNES,,,
Fafe,2009:12:05 14:10:00,0,1,EN206,,"58,915",Colisão frontal
Fafe,2009:05:07 19:05:00,0,1,AV BRASIL,,,Atropelamento de peões
Fafe,2009:10:31 07:00:00,0,1,EN206,,"48,900",Despiste simples
Fafe,2009:10:18 04:20:00,0,1,AV STA MARINHA,,,Despiste c/col. c/veíc. imobil./obst.
Fafe,2009:05:01 17:45:00,0,1,EN311,,"9,850",Despiste simples
Fafe,2009:03:28 05:00:00,1,0,EN206,,"61,300",Colisão frontal
Fafe,2009:12:12 23:30:00,0,1,EN207,,"61,450",Colisão lat. c/outro veíc. mov.
Fafe,2009:10:05 12:30:00,0,1,R NOSSA SRA SOCORRO,,,Despiste c/ disp. retenção
Fafe,2009:09:23 17:45:00,2,2,EN206,,"60,230",Colisão com outras situações
Guimarães,2009:06:06 14:30:00,1,0,R NOSSA SRA FATIMA,,,Despiste simples
Guimarães,2009:05:01 01:00:00,0,1,EN101,,"105,300",Atropelamento de peões
Guimarães,2009:10:02 16:00:00,0,4,R VARIANTE BRITO,,,Colisão frontal
Guimarães,2009:10:21 07:20:00,0,1,EN105,,"32,900",Atropelamento de peões
Guimarães,2009:08:09 18:00:00,1,0,R JOAO MOREIRA LEITE,,,Atropelamento de peões
Guimarães,2009:10:30 19:00:00,0,1,R ENG AMARAL,,,Atropelamento de peões
Guimarães,2009:08:09 23:40:00,0,1,R MONTE INSUA,,,Despiste simples
Guimarães,2009:03:16 15:50:00,1,0,Avenida Dom Afonso Henriques,,,Atropelamento de peões
Guimarães,2009:12:24 01:30:00,0,1,R VARIANTE,,,Colisão frontal
Guimarães,2009:03:01 19:00:00,0,1,R CENTRAL,,,Colisão frontal
Guimarães,2009:09:25 22:15:00,0,1,Rua Cruz D'Argola,,,Atropelamento de peões
Guimarães,2009:03:02 18:15:00,0,1,R STA MARIA,,,Despiste com capotamento
Guimarães,2009:05:25 07:50:00,2,0,Rodovia de Covas,,,Colisão frontal
Guimarães,2009:06:29 14:30:00,0,1,R JOAQUIM GONCALVES,,,Colisão lat. c/outro veíc. mov.
Guimarães,2009:11:24 19:00:00,0,1,R CARVALHAL,,,Colisão com fuga
Guimarães,2009:10:29 09:00:00,0,1,R PESSEGUEIRO,,,Despiste com capotamento
Guimarães,2009:09:17 10:30:00,0,1,R S TOME,,,Colisão com outras situações
Guimarães,2009:10:20 15:30:00,0,1,R RIBAS,,,Colisão frontal
Guimarães,2009:10:07 14:26:00,3,0,A7,,"49,044",Despiste com capotamento
Guimarães,2009:12:21 18:30:00,0,1,R CAMPO FUTEBOL AIRAO,,,Colisão frontal
Guimarães,2009:10:04 18:15:00,0,1,R ADAUFE,,,Despiste s/ disp. retenção
Guimarães,2009:09:20 10:00:00,1,1,CIRGUIMARA,,,Colisão frontal
Guimarães,2009:06:03 19:15:00,0,1,R REITOR JOAQUIM AUGUSTO,,,Atropelamento de peões
Guimarães,2009:04:12 00:05:00,1,0,EN105,,"44,500",Colisão tras. c/ outro veíc. mov.
Guimarães,2009:03:10 09:15:00,0,2,CIRGUIMARA,,,Colisão lat. c/outro veíc. mov.
Guimarães,2009:02:21 19:20:00,0,1,R ENG DUARTE AMARAL,,,Colisão frontal
Guimarães,2009:11:27 21:30:00,0,1,R RIO AVE,,,Colisão frontal
Guimarães,2009:05:28 22:45:00,0,1,Rua Padre António Caldas,,Colisão frontal
"",,,,,,Colisão com veiculo ou obstáculo
Guimarães,2009:02:11 08:15:00,0,1,R VISCONDE DO PACO,,
"",,,,,,na faixa de rodagem
Guimarães,2009:09:27 17:00:00,0,1,R OUTEIRO,,Despiste simples
Guimarães,2009:10:23 19:35:00,0,1,CIRGUIMARA,,Atropelamento de peões
Guimarães,2009:08:14 16:00:00,0,1,EN105,"35,800",Colisão lat. c/outro veíc. mov.
Guimarães,2009:03:17 15:55:00,0,1,R RODOVIA COVAS,,Colisão tras. c/ outro veíc. mov.
Guimarães,2009:12:07 07:15:00,0,2,EN101,"119,150",Atropelamento de peões
"",,,,Rua Dr. Augusto Gomes de,,
Guimarães,2009:03:07 13:05:00,0,1,,,Atropelamento de peões
"",,,,Castro Ferreira da Cunha,,
Guimarães,2009:10:03 13:00:00,0,1,R DA LIBERDADE,,Atropelamento de peões
Guimarães,2009:10:10 23:50:00,0,1,R TEIXEIRA DE PASCOAIS,,Atropelamento de peões
Guimarães,2009:04:22 09:50:00,0,1,R S JOAO BATISTA,,Colisão frontal
