"",Concelho,Datahora,M,FG,,Via,Km,,Natureza
Chaves,,07-08-2011 11:00,0,1,Rua Alvaro Dias Oli...,,-,Colisão frontal,
Chaves,,26-09-2011 03:00,0,1,Rua António de Me...,,-,Despiste com colisão com veículo imobil. ...,
Chaves,,25-09-2011 14:00,0,1,Rua D. Jerónimo d...,,-,Colisão lateral com outro veículo em mov...,
Chaves,,13-10-2011 19:10,1,0,Rua Lombo 0,,-,Despiste com colisão com veículo imobil. ...,
Mesao Frio,,05-01-2011 23:00,0,1,EM602,,-,Despiste simples,
Mesao Frio,,05-12-2011 18:45,0,1,EN108,,"105,719",Atropelamento de peões,
Mondim de Basto,,13-09-2011 18:34,0,1,-,,-,Colisão frontal,
Mondim de Basto,,22-06-2011 13:50,0,1,R CEMITERIO,,-,Colisão frontal,
Murca,,16-09-2011 15:50,0,2,EN314,,"35,550",Colisão frontal,
Peso da Regua,,19-07-2011 05:20,1,0,-,,-,Despiste simples,
Peso da Regua,,28-05-2011 09:55,1,0,R JOSE VASQUES ...,,-,Atropelamento de peões,
Ribeira de Pena,,31-12-2011 15:45,0,1,-,,-,Despiste com capotamento,
Ribeira de Pena,,04-09-2011 08:05,0,1,A7,,"90,100",Colisão traseira com outro veículo em m...,
Ribeira de Pena,,11-10-2011 21:30,0,1,EN206,,"102,790",Atropelamento de peões,
Sabrosa,,11-02-2011 15:00,0,1,EM1261,,-,Despiste simples,
Sabrosa,,04-06-2011 14:55,0,1,IP4,,"111,600",Despiste simples,
Santa Marta de Penaguiao,,06-01-2011 08:15,0,1,SANTA QUITÉRIA -...,,-,Despiste com capotamento,
Valpacos,,08-06-2011 19:15,0,1,-,,-,Despiste simples,
Valpacos,,27-07-2011 20:35,1,0,-,,-,Despiste com capotamento,
Valpacos,,03-08-2011 10:50,0,1,AV PONTE NOVA 28,,-,Atropelamento de peões,
Valpacos,,10-03-2011 19:10,0,1,EM541,,-,Despiste sem dispositivo de retenção,
Valpacos,,20-08-2011 14:20,0,1,EM552,,-,Despiste com capotamento,
Valpacos,,19-07-2011 11:50,0,1,EN213,,"12,874",Colisão frontal,
Valpacos,,04-03-2011 21:20,1,0,EN213,,"25,166",Despiste com capotamento,
Valpacos,,25-05-2011 17:20,0,1,EN213,,"25,600",Colisão com veiculo ou obstáculo na faix...,
Valpacos,,20-01-2011 10:30,0,1,EN213,,"32,300",Colisão traseira com outro veículo em m...,
Valpacos,,12-09-2011 18:00,0,1,R ADELINO AMAR...,,-,Colisão lateral com outro veículo em mov...,
Valpacos,,15-04-2011 15:55,0,1,R DO ATALHO,,-,Despiste com capotamento,
Vila Pouca de Aguiar,,04-11-2011 15:45,0,1,-,,-,Despiste com colisão com veículo imobil. ...,
Vila Pouca de Aguiar,,29-06-2011 18:30,0,1,A24,,"30,100",Despiste com capotamento,
Vila Pouca de Aguiar,,16-02-2011 13:35,0,2,A24,,"53,600",Despiste com colisão com veículo imobil. ...,
Vila Pouca de Aguiar,,16-07-2011 22:10,0,2,BO CAMILO CASTE...,,-,Atropelamento de peões,
Vila Pouca de Aguiar,,13-01-2011 19:30,0,1,EM1147,,-,Despiste simples,
Vila Pouca de Aguiar,,23-07-2011 21:25,1,0,EM557,,-,Atropelamento de peões,
Vila Pouca de Aguiar,,15-08-2011 15:00,0,1,EN2,,"34,900",Despiste simples,
Vila Pouca de Aguiar,,02-06-2011 15:35,1,0,R DA REVALPA - P...,,-,Colisão frontal,
Vila Real,,22-06-2011 14:50,0,1,Av. 1o de Maio 0,,-,Colisão lateral com outro veículo em mov...,
Vila Real,,20-10-2011 18:30,1,0,EM313,,"40,249",Colisão com veiculo ou obstáculo na faix...,
Vila Real,,26-03-2011 17:30,0,1,EM313,,-,Colisão frontal,
Vila Real,,10-04-2011 15:20,0,1,EM313-1,,"2,800",Colisão lateral com outro veículo em mov...,
Vila Real,,23-04-2011 00:43,0,1,EM313-1,,"6,400",Despiste simples,
"",,-,-,-,-,,-,-,
Vila Real,,02-11-2011 19:15,0,1,EN322,,"2,300",Colisão frontal,
Vila Real,,26-04-2011 14:20,1,0,IP4,,"109,000",Colisão frontal,
Vila Real,,13-09-2011 07:15,0,1,R DA IGREJA,,-,Colisão com veiculo ou obstáculo na faix...,
Vila Real,,21-02-2011 18:15,0,1,Rua Madame Broui...,,-,Atropelamento de peões,
"",,-,-,-,-,,-,-,
