Concelho,Datahora,M,FG,,Via,Km,Natureza
Alenquer,26-10-2011 12:00,0,1,A1,,"37,600",Colisão com veiculo ou obstáculo na faix...
Alenquer,22-09-2011 17:15,0,1,EN115,,"48,000",Colisão lateral com outro veículo em mov...
Alenquer,03-04-2011 20:15,0,1,EN115-4,,"10,200",Despiste com capotamento
Alenquer,16-02-2011 14:00,1,0,IC2,,"33,700",Atropelamento de peões
Alenquer,24-10-2011 07:40,1,0,IC2,,"40,126",Colisão lateral com outro veículo em mov...
Alenquer,15-09-2011 00:40,4,1,IC2,,"43,970",Colisão traseira com outro veículo em m...
Alenquer,16-08-2011 22:30,0,1,IC2,,"49,500",Despiste simples
Alenquer,30-09-2011 13:45,0,1,LG MOISES DA SIL...,,-,Colisão com outras situações
Alenquer,07-03-2011 10:00,0,1,PARQUE ESTACIO...,,-,Atropelamento de peões
Alenquer,14-12-2011 09:30,0,1,R DAMIAO DE GOIS,,-,Atropelamento de peões
Alenquer,03-12-2011 01:10,0,1,R DINIS DIAS,,-,Atropelamento de peões
Alenquer,08-09-2011 09:40,0,1,R FILARMONICA O...,,-,Atropelamento de peões
Amadora,01-01-2011 07:30,0,1,ACC-IC19,,-,Despiste com capotamento
Amadora,08-03-2011 06:20,0,1,Avenida Conde de ...,,-,Colisão com fuga
Amadora,04-01-2011 04:00,1,0,EN117,,-,Colisão lateral com outro veículo em mov...
Amadora,26-01-2011 03:50,0,2,EN117,,-,Colisão traseira com outro veículo em m...
Amadora,08-09-2011 20:20,0,1,EN117,,-,Colisão com outras situações
Amadora,21-09-2011 07:40,0,1,Estrada da Brando...,,-,Atropelamento de peões
Amadora,21-06-2011 16:30,0,1,Estrada de Alfragid...,,-,Atropelamento de peões
Amadora,14-02-2011 22:00,0,1,Estrada do Seminá...,,-,Colisão frontal
Amadora,03-10-2011 22:20,0,1,IC16,,-,Despiste com dispositivo de retenção
Amadora,12-02-2011 19:00,0,1,IC19,,-,Atropelamento de peões
Amadora,08-10-2011 09:30,0,1,IC19,,-,Colisão choque em cadeia
Amadora,16-12-2011 01:35,0,1,IC19,,-,Despiste com dispositivo de retenção
Amadora,11-09-2011 03:30,1,0,Rotunda da Estrad...,,-,Despiste sem dispositivo de retenção
Amadora,25-06-2011 07:40,0,1,Rotunda Superior d...,,-,Despiste com transposição do dispositivo...
Amadora,18-10-2011 12:15,0,1,Rua António Aleixo .,,-,Atropelamento de peões
Amadora,04-01-2011 14:05,0,1,Rua Don João V ---,,-,Colisão lateral com outro veículo em mov...
Amadora,06-03-2011 01:00,0,1,Rua Elias Garcia .,,-,Colisão lateral com outro veículo em mov...
Amadora,11-04-2011 01:15,0,1,Rua Elias Garcia 0,,-,Colisão lateral com outro veículo em mov...
Amadora,13-06-2011 19:15,0,1,"Rua Elias Garcia, F...",,-,Atropelamento de peões
Amadora,25-08-2011 14:45,0,1,Rua Manuel Lemos...,,-,Despiste sem dispositivo de retenção
Azambuja,03-10-2011 22:30,0,2,A1,,"37,700",Colisão choque em cadeia
Azambuja,02-04-2011 15:05,0,2,A1,,"40,900",Despiste com capotamento
Azambuja,22-11-2011 14:00,0,1,A1,,"41,150",Despiste com capotamento
