"",,
11. Listagem dos acidentes com mortos e/ou feridos graves,,
"",,
Concelho Datahora M* FG* Via,km,Natureza
Alcobaça 2007:06:06 14:00:00 0 1 EN8,"124,600",Col. tras. c/ outro veíc. mov.
Alcobaça 2007:10:22 13:45:00 0 1 EN8,"112,250",Atropelamento peões
Alcobaça 2007:06:30 09:25:00 0 1 EN1,"100,100",Col. lat. c/ outro veíc. mov.
Alcobaça 2007:03:16 17:37:00 0 1 A8,"99,900",Despiste com capotamento
Alcobaça 2007:05:26 05:15:00 0 1 EN1,"94,625",Colisão frontal
Alcobaça 2007:08:14 02:30:00 5 1 EN1,"89,700",Colisão frontal
Alcobaça 2007:03:18 17:30:00 1 0 EN1,"88,900",Col. c/ veíc./obst. f. rodagem
Alcobaça 2007:02:18 07:00:00 1 0 EN1,"87,500",Colisão frontal
Alcobaça 2007:06:05 08:25:00 1 0 EN1,"84,432",Colisão com outras situações
Alcobaça 2007:07:26 19:00:00 0 2 EN242,"46,600",Col. lat. c/ outro veíc. mov.
Alcobaça 2007:09:10 02:55:00 0 1 EN242,"23,500",Despiste c/ col c/ veíc. imob/obst.
Alcobaça 2007:09:15 15:15:00 0 1 EN242,"22,600",Atropelamento peões
Alcobaça 2007:02:11 00:50:00 1 0 EN242,"21,400",Colisão frontal
Alcobaça 2007:12:03 18:50:00 1 0 EN8-6,"9,250",Atropelamento peões
Alcobaça 2007:01:11 18:08:00 0 1 EN8-6,"8,000",Atropelamento peões
Alcobaça 2007:03:25 21:15:00 1 0 EN242-4,"6,400",Atropelamento peões
Alcobaça 2007:01:02 18:30:00 1 0 R ALMOCREVES,,Atropelamento peões
Alcobaça 2007:01:04 17:00:00 0 1 R CLUBE,,Despiste simples
Alcobaça 2007:03:17 16:40:00 1 0 R PRINCIPAL,,Col. lat. c/ outro veíc. mov.
Alcobaça 2007:03:18 08:00:00 0 1 R PRINCIPAL,,Atropelamento peões
Alcobaça 2007:04:05 15:45:00 1 0 R 1 JULHO,,Despiste c/ col c/ veíc. imob/obst.
Alcobaça 2007:05:12 17:30:00 1 0 Estrada Florestal,,Col. lat. c/ outro veíc. mov.
Alcobaça 2007:06:03 23:50:00 1 0 R PROF BERNARDO ALMEIDA,,Colisão frontal
Alcobaça 2007:06:06 14:30:00 1 0 R LEIRIA,,Colisão frontal
Alcobaça 2007:08:26 19:25:00 0 1 R PRINCIPAL,,Atropelamento peões
Alcobaça 2007:09:09 06:30:00 0 1 AV GEN HUMBERTO DELGADO,,Despiste com capotamento
Alcobaça 2007:09:11 18:06:00 0 1 R STO ANTONIO,,Col. lat. c/ outro veíc. mov.
Alcobaça 2007:10:11 08:45:00 1 0 R S BERNARDO,,Atropelamento peões
Alcobaça 2007:10:11 19:35:00 0 1 R MANUEL COELHO GUERRA,,Colisão frontal
Alcobaça 2007:10:24 18:00:00 0 1 R PRINCIPAL,,Atropelamento peões
Alcobaça 2007:12:07 10:35:00 0 1 AV PE INACIO ANTUNES,,Atropelamento peões
Alcobaça 2007:12:15 21:15:00 0 1 AV PE INACIO ANTUNES,,Atropelamento peões
Alvaiázere 2007:11:20 18:15:00 1 0 EN110,"68,320",Atropelamento peões
Alvaiázere 2007:02:15 18:50:00 0 1 EN110,,Colisão frontal
Alvaiázere 2007:02:17 20:15:00 0 1 R PRINCIPAL,,Col. c/ veíc./obst. f. rodagem
Alvaiázere 2007:06:10 20:00:00 0 1 EN110,,Despiste simples
Alvaiázere 2007:07:06 14:50:00 0 1 EN110,,Col. lat. c/ outro veíc. mov.
Ansião 2007:09:21 15:40:00 0 1 IC8,"63,200",Col. lat. c/ outro veíc. mov.
Ansião 2007:01:02 07:55:00 0 1 EM526,,Despiste c/ col c/ veíc. imob/obst.
Ansião 2007:07:09 16:20:00 0 1 Estrada Florestal,,Despiste com capotamento
Ansião 2007:07:26 18:10:00 1 0 Estrada Municipal,,Despiste com capotamento
Ansião 2007:08:14 07:30:00 0 1 LG ELVIRA REGO,,Colisão frontal
Ansião 2007:10:13 02:45:00 0 1 EN348,,Despiste c/ col c/ veíc. imob/obst.
Ansião 2007:11:03 04:40:00 0 1 R COMEND ALBERTO M ROSA,,Despiste simples
Batalha 2007:10:14 19:30:00 2 0 A1,"117,450",Col. lat. c/ outro veíc. mov.
Batalha 2007:06:17 15:20:00 0 1 EN1,"116,240",Colisão com outras situações
Batalha 2007:08:16 00:25:00 0 2 EN1,"111,400",Colisão frontal
Batalha 2007:02:05 04:45:00 0 1 EN1,"111,200",Col. lat. c/ outro veíc. mov.
Batalha 2007:03:09 02:20:00 1 1 EN1,"110,100",Col. lat. c/ outro veíc. mov.
Batalha,2007:08:24 21:30:00,1,0,EN356,"26,650",Colisão frontal
Batalha,2007:01:20 00:30:00,0,2,PORTELA CRUZES,,Despiste c/ col c/ veíc. imob/obst.
Batalha,2007:03:30 21:05:00,1,0,EM546,,Colisão frontal
Batalha,2007:09:08 18:30:00,0,1,R PE JOSE CARREIRA FRAZÃO,,Despiste com capotamento
Batalha,2007:11:02 19:30:00,0,1,EM545,,Col. tras. c/ outro veíc. mov.
Bombarral,2007:04:08 11:45:00,0,1,EN8,"75,200",Despiste simples
Bombarral,2007:07:25 17:45:00,0,1,EN8,"74,850",Colisão com outras situações
Bombarral,2007:04:25 06:45:00,0,2,A8,"68,400",Despiste simples
Bombarral,2007:06:26 00:58:00,1,0,A8,"57,300",Despiste simples
Bombarral,2007:07:24 23:00:00,0,3,EN361,"20,700",Colisão frontal
Bombarral,2007:03:05 13:30:00,0,1,LG ESCOLA,,Colisão frontal
Bombarral,2007:10:09 19:45:00,0,1,EM589,,Atropelamento peões
Bombarral,2007:10:28 19:00:00,0,1,EM569,,Despiste com capotamento
Bombarral,2007:11:01 14:30:00,0,1,AV INOCENCIO CAIRES Col. lat. c/ outro veíc. mov. SIMÃO,,
Bombarral,2007:11:25 20:20:00,0,1,R D AFONSO HENRIQUES,,Atropelamento peões
C. da Raínha,2007:05:25 01:15:00,0,1,EN8,"94,700",Despiste s/ disp. retenção
C. da Raínha,2007:06:06 20:15:00,0,1,EN361,"33,380",Atropelamento peões
C. da Raínha,2007:12:15 21:05:00,0,1,EN360,"27,000",Atropelamento peões
C. da Raínha,2007:07:18 12:45:00,0,1,EN360,"13,600",Col. lat. c/ outro veíc. mov.
C. da Raínha,2007:04:02 19:00:00,1,0,A15,"12,300",Despiste c/ col c/ veíc. imob/obst.
C. da Raínha,2007:02:12 21:45:00,1,0,EN115,"11,200",Col. tras. c/ outro veíc. mov.
C. da Raínha,2007:05:27 03:30:00,0,1,EN360,"4,900",Despiste com capotamento
C. da Raínha,2007:01:03 18:50:00,0,1,EN114-1,"2,100",Colisão frontal
C. da Raínha,2007:02:19 08:00:00,0,1,AV VASCO GAMA,,Col. tras. c/ outro veíc. mov.
C. da Raínha,2007:02:25 20:40:00,0,1,LG FONTE,,Colisão com fuga
C. da Raínha,2007:03:13 21:05:00,0,1,R PRINCIPAL,,Despiste simples
C. da Raínha,2007:04:03 11:30:00,0,1,R QUINTA,,Despiste simples
C. da Raínha,2007:04:03 23:20:00,1,0,EM566,,Despiste com capotamento
C. da Raínha,2007:04:05 18:35:00,0,1,EM567,,Colisão frontal
C. da Raínha,2007:04:12 07:50:00,0,1,R N SRA MERCES,,Despiste c/ col c/ veíc. imob/obst.
C. da Raínha,2007:05:08 18:13:00,0,1,R MALTA,,Col. lat. c/ outro veíc. mov.
C. da Raínha,2007:07:10 19:00:00,1,0,EM567,,Atropelamento peões
C. da Raínha,2007:09:01 22:00:00,0,1,EM567,,Atropelamento peões
C. da Raínha,2007:11:02 07:50:00,0,1,R PRINCIPAL,,Atropelamento peões
Fig. dos Vinhos,2007:03:18 15:50:00,0,1,EN350,,Col. lat. c/ outro veíc. mov.
Fig. dos Vinhos,2007:04:21 09:33:00,0,1,ACC-IC8,,Atropelamento peões
Fig. dos Vinhos,2007:07:12 16:30:00,1,0,EM1139,,Col. lat. c/ outro veíc. mov.
Leiria,2007:04:06 04:45:00,0,2,EN109,"165,400",Colisão frontal
Leiria,2007:10:09 16:15:00,0,2,EN109,"164,400",Colisão frontal
Leiria,2007:07:07 08:15:00,0,1,EN109,"164,250",Colisão frontal
Leiria,2007:07:08 22:25:00,2,1,EN109,"154,400",Col. lat. c/ outro veíc. mov.
Leiria,2007:12:09 13:30:00,1,0,EN109,"149,966",Despiste simples
Leiria,2007:05:27 02:15:00,1,0,EN109,"148,930",Despiste c/ transp. disp. ret. lateral
Leiria,2007:12:25 07:00:00,4,1,EN1,"134,210",Despiste simples
Leiria,2007:06:03 02:30:00,0,1,EN1,"132,250",Despiste simples
Leiria,2007:10:17 23:45:00,0,1,A1,"131,000",Col. tras. c/ outro veíc. mov.
Leiria,2007:03:24 02:20:00,1,0,EN1,"130,800",Despiste com fuga
Leiria,2007:08:03 02:10:00,0,2,IC2,"124,750",Colisão frontal
Leiria,2007:11:17 02:55:00,0,1,IC2,"127,350",Col. lat. c/ outro veíc. mov.
Leiria,2007:08:18 17:15:00,0,1,IC2,"125,000",Col. tras. c/ outro veíc. mov.
Leiria,2007:10:30 11:00:00,0,1,A1,,"123,400",Col. tras. c/ outro veíc. mov.
