"",Concelho,Datahora,M,FG,,Via,Km,Natureza
Odemira,,17-12-2011 20:25,0,1,EN390,,"36,700",Colisão lateral com outro veículo em mov...
Odemira,,01-11-2011 08:40,0,2,EN390,,"36,980",Colisão frontal
Odemira,,02-12-2011 10:40,1,0,EN393,,"18,090",Atropelamento de peões
Odemira,,15-05-2011 20:30,0,1,ER262,,"60,350",Despiste simples
Odemira,,01-04-2011 17:40,0,1,ESTRADA VICINAL,,-,Despiste simples
Odemira,,12-07-2011 19:10,1,0,R 25 DE ABRIL - S...,,-,Atropelamento de peões
Ourique,,22-04-2011 22:35,0,1,EM518,,-,Colisão frontal
Ourique,,27-07-2011 15:15,1,0,IC1,,"644,037",Despiste com capotamento
Ourique,,07-02-2011 07:35,0,3,IC1,,"659,700",Colisão frontal
Ourique,,08-01-2011 15:00,2,1,IC1,,"672,357",Despiste com capotamento
Ourique,,17-07-2011 19:30,0,1,IC1,,"674,700",Colisão com veiculo ou obstáculo na faix...
Ourique,,04-11-2011 14:40,1,0,IC1,,"676,500",Despiste com transposição do dispositivo...
Ourique,,23-04-2011 03:38,1,0,IC1,,"677,800",Colisão frontal
Ourique,,13-06-2011 05:00,0,1,IC1,,"679,400",Despiste com capotamento
Ourique,,01-11-2011 16:40,1,1,IC1,,"685,400",Colisão frontal
Ourique,,03-06-2011 21:30,0,1,IC1,,"688,400",Despiste simples
Serpa,,04-06-2011 20:30,0,1,EM1035,,-,Despiste simples
Serpa,,02-04-2011 14:22,1,2,EN255,,"106,190",Colisão frontal
Serpa,,31-03-2011 18:30,0,1,EN255,,"125,700",Colisão frontal
Serpa,,11-08-2011 11:30,0,3,EN260,,"23,400",Colisão frontal
Serpa,,28-07-2011 04:08,2,2,EN260,,"40,700",Despiste com capotamento
Serpa,,06-10-2011 07:45,1,0,EN260,,"44,436",Colisão lateral com outro veículo em mov...
Serpa,,01-04-2011 11:40,1,0,EN260,,"59,676",Despiste sem dispositivo de retenção
Serpa,,08-10-2011 23:45,0,1,ER265,,"39,200",Despiste com capotamento
Serpa,,02-07-2011 17:35,0,1,R DA FABRICA - V...,,-,Despiste simples
Serpa,,03-08-2011 19:45,0,1,R DO ROSSIO,,-,Atropelamento de peões
Vidigueira,,06-06-2011 09:10,2,0,IP2,,"316,400",Colisão frontal
Vidigueira,,08-04-2011 21:00,1,0,R PROF CRISTO F...,,-,Colisão com veiculo ou obstáculo na faix...
"",,-,-,-,-,,-,-
