Concelho,Datahora,M*,FG*,,Via,km,Natureza
Mont.-o-Novo,2011:02:23 08:35:00,0,4,EN4,,"86,43",Colisão lat.l c/ outro veíc. mov.
Mont.-o-Novo,2011:01:05 19:00:00,1,0,EN380,,"3,500",Despiste simples
Mont.-o-Novo,2011:05:20 16:30:00,0,1,EN114,,"134,73",Despiste simples
Mont.-o-Novo,2011:01:31 10:00:00,1,0,EN4,,"73,178",Colisão frontal
Mora,2011:07:10 17:10:00,0,1,Estrada Municipal,,,Colisão frontal
Mora,2011:05:28 04:25:00,0,1,EN251,,"59,800",Despiste simples
Mourão,2011:12:09 22:05:00,1,1,EN256,,"36,4",Atropelamento de animais
Portel,2011:11:01 17:33:00,0,1,ER255,,"73,800",Despiste c/capotamento
Portel,2011:03:10 08:25:00,0,1,ER384,,"37,640",Colisão lat.l c/ outro veíc. mov.
Portel,2011:01:27 15:15:00,3,3,IP2,,"300,8",Colisão lat.l c/ outro veíc. mov.
Portel,2011:07:14 12:35:00,1,0,IP2,,"313,225",Despiste simples
Redondo,2011:10:31 09:10:00,0,1,EM524,,,Colisão frontal
Redondo,2011:08:15 01:55:00,0,1,EM513,,,Despiste simples
Redondo,2011:04:29 09:15:00,2,0,EN254,,"23,3",Colisão lat.l c/ outro veíc. mov.
Redondo,2011:02:22 15:25:00,0,1,ER381,,"34,660",Despiste c/capotamento
R Monsaraz,2011:10:22 07:55:00,0,1,Pq. Estacion. 'Yikai Long',,,Desp. c/col. c/veíc. imobil./ obst.
R Monsaraz,2011:01:18 17:30:00,0,1,R Évora,,,Atropelamento de peões
R Monsaraz,2011:08:21 02:15:00,0,1,EM514,,"3,600",Despiste simples
R Monsaraz,2011:06:25 08:45:00,0,1,EM514,,"13,101",Despiste simples
R Monsaraz,2011:08:29 12:50:00,0,1,EM514,,,Colisão lat.l c/ outro veíc. mov.
V. Novas,2011:04:07 14:25:00,0,1,Av. 25 Abril,,,Colisão lat.l c/ outro veíc. mov.
V. Novas,2011:12:30 18:00:00,0,1,R Vasco da Gama,,,Colisão lat.l c/ outro veíc. mov.
V. Novas,2011:03:12 23:00:00,0,1,EN380,,"12,5",Desp. c/col. c/veíc. imobil./ obst.
V. Alentejo,2011:08:13 06:30:00,1,0,EM1118,,"9,000",Atropelamento de peões
V. Alentejo,2011:06:06 14:35:00,1,0,EN384,,"6,63",Colisão tras. c/outro veíc. mov.
Vila Viçosa,2011:04:19 12:14:00,0,3,EN255,,"6,837",Colisão lat.l c/ outro veíc. mov.
"",,31,75,,,,
Alandroal,2011:11:05 16:05:00,0,1,R Nova,,,Despiste c/col. c/veíc. imobil./ obst.
Arraiolos,2011:12:23 06:35:00,1,0,EN4,,"120,417",Colisão frontal
Arraiolos,2011:12:23 01:45:00,1,3,EN4,,"99,395",Despiste simples
Arraiolos,2011:12:08 18:45:00,0,1,EN4,,"102,600",Colisão frontal
Arraiolos,2011:06:15 13:20:00,1,0,EN4,,"97,953",Despiste c/transp.disp. ret. lateral
Arraiolos,2011:01:24 16:15:00,0,1,EN372-1,,"6,995",Despiste simples
Arraiolos,2011:05:02 20:00:00,1,1,EN18,,"235,221",Despiste c/col. c/veíc. imobil./ obst.
Arraiolos,2011:03:31 17:50:00,0,1,EN4,,"114,895",Despiste c/capotamento
Arraiolos,2011:10:16 18:40:00,0,1,EN4,,"94,808",Despiste c/capotamento
Borba,2011:12:08 10:15:00,2,3,A6,,"117,162",Colisão lat.l c/ outro veíc. mov.
Borba,2011:08:30 12:20:00,0,1,Lot. Vale Bica-Mora,,,Despiste simples
Borba,2011:07:15 15:00:00,1,0,EM506,,,Despiste simples
Borba,2011:05:07 07:30:00,1,0,EN4,,"155,046",Colisão tras. c/outro veíc. mov.
Estremoz,2011:09:23 19:10:00,1,0,R Barrinho,,,Atropelamento de peões
Estremoz,2011:08:30 09:15:00,1,0,EM504,,25,Despiste c/capotamento
Estremoz,2011:06:12 00:30:00,0,1,EN18,,"238,42",Despiste c/capotamento
Estremoz,2011:11:04 16:46:00,0,1,EN4,,"145,232",Colisão frontal
Estremoz,2011:07:25 19:50:00,0,1,EN245,,"63,4",Despiste simples
Estremoz,2011:07:11 18:00:00,1,0,EN4,,"137,910",Colisão c/outras situações
Estremoz,2011:07:15 14:30:00,0,1,EN245,,"70,515",Colisão c/outras situações
Estremoz,2011:04:20 18:15:00,0,1,EN18,,"235,48",Colisão frontal
"Évora",2011:08:24 09:10:00,1,0,Av Marechal Carmona,,,Atropelamento de peões
"Évora",2011:11:25 02:55:00,0,1,R Lagar Dizímos,,,A  t r o  p  e  l a  me  n  t oc  / f u  g  a
"Évora",2011:03:17 19:48:00,0,1,Av Alm. Gago Coutinho,,,Colisão c/outras situações
"Évora",2011:06:28 03:00:00,0,1,R Horta das Figueiras,,,Despiste simples
"Évora",2011:07:11 23:15:00,0,1,Av Fernando Pessoa,,,Colisão tras. c/outro veíc. mov.
"Évora",2011:10:24 09:05:00,0,1,Av Universidade,,,Atropelamento de peões
"Évora",2011:11:11 10:45:00,0,1,R Miguel Bombarda,,,Atropelamento de peões
"Évora",2011:11:29 16:30:00,0,1,Av Lino Carvalho,,,Atropelamento de peões
"Évora",2011:10:03 18:40:00,0,1,Av Cartaxo Júnior,,,A  t r  o  p  e  la  me  n  t od  ep  e  õ  e  s
"Évora",2011:08:03 06:50:00,0,1,Av D.M Trindade Salgueiro,,,At r o  p  e  l a  me  n  t od  ep  e  õ  e  s
"Évora",2011:11:07 17:50:00,0,1,Av Fernando Pessoa,,,Despiste c/col. c/veíc. imobil./ obst.
"Évora",2011:08:25 07:30:00,1,0,R Catarina Eufémia,,,Colisão c/veic./obst.f. de rodagem
"Évora",2011:07:01 16:12:00,0,1,EM1081,,,Despiste simples
"Évora",2011:01:28 18:30:00,0,1,EM521,,"11,700",Colisão tras. c/outro veíc. mov.
"Évora",2011:10:11 18:00:00,0,1,Estrada Municipal,,,Despiste s/dispositivo de retenção
"Évora",2011:07:22 19:20:00,0,1,EM527,,,Despiste c/transp.disp. ret. lateral
"Évora",2011:11:14 17:40:00,1,0,EM1088,,,Colisão frontal
"Évora",2011:04:02 12:25:00,1,0,EN370,,"69,145",Despiste simples
"Évora",2011:06:05 06:30:00,1,1,IP2,,223,Colisão lat.l c/ outro veíc. mov.
Mont.-o-Novo,2011:08:27 16:30:00,0,2,A6,,"31,100",Despiste c/capotamento
Mont.-o-Novo,2011:08:30 18:30:00,0,1,Av Gago Coutinho,,,Colisão lat.l c/ outro veíc. mov.
Mont.-o-Novo,2011:10:13 09:15:00,1,0,Av Gago Coutinho,,,Atropelamento de peões
Mont.-o-Novo,2011:08:22 12:50:00,0,1,R Emigrantes-,,,Atropelamento de peões
Mont.-o-Novo,2011:08:21 17:40:00,0,2,Estrada Municipal,,,Colisão frontal
Mont.-o-Novo,2011:09:04 19:40:00,0,1,EM1077,,,Despiste simples
Mont.-o-Novo,2011:03:08 13:30:00,0,1,EN380,,"4,65",Colisão frontal
Mont.-o-Novo,2011:04:18 11:15:00,1,4,EN4,,"91,05",Colisão frontal
Mont.-o-Novo,2011:05:17 02:55:00,1,0,EN4,,"78,852",Colisão frontal
Mont.-o-Novo,2011:10:30 16:15:00,1,0,EN2,,"517,321",Despiste s/dispositivo de retenção
Mont.-o-Novo,2011:12:01 18:10:00,0,1,EN114,,"164,664",Despiste c/capotamento
Mont.-o-Novo,2011:10:26 08:20:00,0,1,EN253,,"58,180",Colisão lat.l c/ outro veíc. mov.
Mont.-o-Novo,2011:12:24 04:20:00,0,1,EN2,,"520,800",Despiste c/transp.disp. ret. lateral
