Concelho,Datahora,M,FG,,Via,Km,Natureza
Santarem,25-05-2011 23:00,0,1,EM587,,-,Despiste com fuga
Santarem,12-08-2011 14:00,0,1,EN114,,"72,300",Colisão lateral com outro veículo em mov...
Santarem,05-03-2011 01:05,0,1,EN3,,"32,400",Atropelamento com fuga
Santarem,04-01-2011 19:00,1,0,EN3,,"33,400",Colisão traseira com outro veículo em m...
Santarem,01-09-2011 17:00,0,1,EN3,,"33,900",Colisão frontal
Santarem,05-01-2011 03:50,0,1,EN3,,"34,600",Despiste com colisão com veículo imobil. ...
Santarem,30-11-2011 12:05,0,1,EN3,,"54,000",Colisão lateral com outro veículo em mov...
Santarem,24-03-2011 08:20,0,1,ESTRADA DO CAN...,,-,Despiste com capotamento
Santarem,07-05-2011 11:00,0,1,PINHAL DO GARRI...,,-,Colisão frontal
Santarem,14-11-2011 17:30,0,1,R 5 DE OUTUBRO 64,,-,Despiste com colisão com veículo imobil. ...
Santarem,07-05-2011 21:10,0,1,R AFONSO HENRI...,,-,Despiste simples
Santarem,12-03-2011 19:00,0,1,R CAPITAO SALGU...,,-,Despiste sem dispositivo de retenção
Santarem,16-11-2011 09:35,0,1,R DE S TIAGO 79,,-,Atropelamento de peões
Santarem,05-03-2011 22:20,0,1,R DO ALVITEJO,,-,Despiste com capotamento
Santarem,13-09-2011 18:10,0,1,R GAGO COUTINH...,,-,Despiste com capotamento
Santarem,20-08-2011 01:00,0,2,R LUIS AUGUSTO ...,,-,Despiste sem dispositivo de retenção
Santarem,21-08-2011 17:50,0,1,Rua 1o Maio-Fontaí...,,-,Despiste com colisão com veículo imobil. ...
Santarem,14-12-2011 19:27,0,1,Rua Actriz Alda Ro...,,-,Atropelamento de peões
Santarem,15-03-2011 18:40,0,1,Rua Alexandre Her...,,-,Despiste simples
Santarem,26-12-2011 00:15,0,1,Rua Maria Inês Sch...,,-,Despiste com colisão com veículo imobil. ...
Santarem,16-10-2011 19:11,0,1,Rua Professor Dout...,,-,Atropelamento de peões
Sardoal,26-09-2011 19:45,0,1,EN2,,"381,850",Despiste com capotamento
Tomar,05-12-2011 13:00,0,1,Ava António da Fo...,,-,Despiste simples
Tomar,10-08-2011 11:54,0,1,Avenida Ângela Ta...,,-,Atropelamento de peões
Tomar,11-06-2011 19:30,0,1,Avenida General N...,,-,Atropelamento com fuga
Tomar,19-11-2011 14:08,1,0,EM1090,,-,Despiste simples
Tomar,02-03-2011 07:45,0,1,EM530,,-,Colisão lateral com outro veículo em mov...
Tomar,25-07-2011 11:45,0,1,EM531,,-,Colisão lateral com outro veículo em mov...
Tomar,08-10-2011 13:20,1,0,EM531-1,,-,Despiste com capotamento
