Concelho,Datahora,M*,FG*,,Via,km,Natureza
S. do Cacém,2012:05:01 03:33:00,0,1,EM1138,,,Colisão com outras situações
S. do Cacém,2012:05:15 00:14:00,0,1,IC33,,"19,000",Despiste simples
S. do Cacém,2012:05:16 19:15:00,0,1,R 1o DE MAIO,,,Colisão lat. c/ outro veículo mov.
S. do Cacém,2012:07:20 23:30:00,0,1,IC1,,"629,600",Colisão frontal
S. do Cacém,2012:07:23 17:20:00,0,1,EN120-1,,"1,750",Colisão com outras situações
S. do Cacém,2012:09:08 17:15:00,0,1,EM544,,,Despiste simples
S. do Cacém,2012:10:03 15:30:00,4,0,IC1,,"626,000",Despiste simples
S. do Cacém,2012:10:17 14:35:00,0,4,IC1,,"637,659",Despiste c/ capotamento
S. do Cacém,2012:10:21 20:27:00,0,1,EM544,,,Atropelamento de peões
S. do Cacém,2012:11:11 14:30:00,0,1,Outra Via,,,Despiste c/col. c/veíc. imobil./obst.
Seixal,2012:01:14 18:15:00,0,1,R DA INDUSTRIA,,,Colisão frontal
Seixal,2012:01:19 12:00:00,0,1,EN10,,"14,600",Colisão lat. c/ outro veículo mov.
Seixal,2012:03:10 16:30:00,0,1,Rua Sarmento Pimentel,,,De  s  p  i s t ec  / c  o  l .c  / v e  í c  .  i mo  b  i l . / o  bst.
Seixal,2012:03:28 19:00:00,0,1,Rua Almada Negreiros,,,At r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Seixal,2012:04:22 05:30:00,0,1,Avenida 1o de Maio,,,C  o  l i s  ã  ot r a  s  .  c /  o  u  t r  ov e  í c  .mov.
Seixal,2012:04:23 08:10:00,0,1,Rua 25 de Abril,,,A  t r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Seixal,2012:06:19 16:45:00,0,1,EN378,,,Colisão lat. c/ outro veículo mov.
Seixal,2012:09:22 20:00:00,0,1,Rua Oliveira Martins,,,Co  li s  ã  ol a  t .c  /  o  u  t r ov  e  í c  u  lom ov.
Seixal,2012:10:08 17:25:00,1,0,EN10,,"12,700",Atropelamento de peões
Seixal,2012:10:30 05:40:00,1,0,EN10,,"15,800",Colisão frontal
Seixal,2012:11:07 19:00:00,0,1,EN10,,"14,950",Atropelamento de peões
Seixal,2012:11:27 00:20:00,1,0,A2,,"8,700",Colisão c/veic./obstáculo f. rodagem
Seixal,2012:11:27 15:45:00,0,1,Avenida Carlos de Oliveira,,,Co  li s  ã  of r o  n  t a  l
Seixal,2012:12:06 17:00:00,0,1,Avenida 25 de Abril,,,At r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Seixal,2012:12:13 18:45:00,0,1,Avenida 25 de Abril,,,Atropelamento de peões
Seixal,2012:12:17 23:20:00,0,2,Avenida 25 de Abril,,,Colisão frontal
Seixal,2012:12:25 21:45:00,0,1,Avenida 25 de Abril,,,At r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Sesimbra,2012:01:30 21:45:00,1,0,Est. Casalão-Qta. Pateira,,,Despiste c/col. c/veíc. imobil./obst.
Sesimbra,2012:02:19 12:00:00,1,0,AREEIRO SUL E ESTE,,,Despiste simples
Sesimbra,2012:04:08 13:25:00,0,1,EN377,,"35,850",Atropelamento de peões
Sesimbra,2012:06:13 15:10:00,1,0,EN378,,"14,700",Despiste simples
Sesimbra,2012:08:01 22:00:00,0,1,EN377,,"35,400",Despiste simples
Sesimbra,2012:08:08 00:15:00,0,1,Ava da Liberdade,,,Colisão lat. c/ outro veículo mov.
Sesimbra,2012:11:19 10:30:00,0,1,Ava Humberto Delgado,,,Colisão c/veic./obstáculo f. rodagem
Sesimbra,2012:12:02 13:20:00,0,1,EN379,,"13,800",Colisão lat. c/ outro veículo mov.
Sesimbra,2012:12:05 11:30:00,0,1,EN378,,"15,400",Colisão lat. c/ outro veículo mov.
Sesimbra,2012:12:11 12:30:00,0,1,Ava Principal Qta. Conde,,,Colisão com outras situações
Setúbal,2012:01:21 00:15:00,1,0,EN10-4,,"2,700",Despiste c/ capotamento
Setúbal,2012:01:29 12:30:00,1,0,EN379-1,,"11,200",Despiste s/ dispositivo de retenção
Setúbal,2012:02:21 07:45:00,0,1,Estrada Graça,,,De  s  p  i s t ec  / c  o  l .c  / v e  í c  .  i mo  b il./obst.
Setúbal,2012:02:24 18:30:00,1,0,EST DOS PICHELEIROS,,,Despiste c/col. c/veíc. imobil./obst.
Setúbal,2012:03:09 00:50:00,1,0,Rua Fernando Motrena,,,Despiste c/col. c/veíc. imobil./obst.
Setúbal,2012:04:02 12:30:00,0,2,A2,,"41,300",Despiste c/ capotamento
Setúbal,2012:05:05 09:50:00,0,1,EN10,,"45,600",Colisão lat. c/ outro veículo mov.
Setúbal,2012:05:18 14:30:00,0,1,Rua Saúde,,Co  l is  ã  o,,c  o  m,o  u  t r a  ss  i t u  a  ç õ  e s
Setúbal,2012:05:28 12:30:00,0,1,Estrada Vale de Mulatas,,Co  li s  ã  o,,f r o  n  t a  l,
Setúbal,2012:06:08 07:00:00,0,1,Avenida Luísa Todi,,De  s  p  i s t e,,c  /  c  a  p  o  t a  m,e  n  t o
Setúbal,2012:06:09 19:15:00,1,0,EN10,"42,600",Despiste simples,,,
Setúbal,2012:06:29 20:20:00,1,0,Estrada Algeruz,,Colisão lat. c/ outro veículo mov.,,,
Setúbal,2012:07:14 02:20:00,0,1,EN10,,Despiste simples,,,
Setúbal,2012:07:22 17:30:00,0,1,Avenida da Europa,,Despiste c/ dispositivo de retenção,,,
Setúbal,2012:09:30 10:30:00,1,1,Avenida Belo Horizonte,,Despiste com fuga,,,
Setúbal,2012:10:10 10:30:00,1,0,Estrada Ciprestes,,A  t r o  p  e  l a  m,,e  n  t o,d  ep  e  õ  e  s
Setúbal,2012:10:21 01:20:00,0,1,EN10,,Atropelamento de peões,,,
Setúbal,2012:12:15 04:00:00,0,1,Rua de São Gonçalo,,Atropelamento com fuga,,,
Sines,2012:02:26 20:30:00,1,0,Estrada Florestal,,Atropelamento de peões,,,
Sines,2012:04:04 22:45:00,0,2,R. N. S. Remédios,,Despiste c/col. c/veíc. imobil./obst.,,,
Sines,2012:10:04 12:30:00,0,1,Rua Forte da Ilha,,Despiste simples,,,
Sines,2012:12:21 19:25:00,0,1,Rua Marques de Pombal,,Despiste simples,,,
"",,57,147,,,,,,
Alcácer do Sal,2012:02:05 18:30:00,1,0,A2,,"78,627",Colisão tras. c/ outro veíc. mov.
Alcácer do Sal,2012:02:26 12:30:00,0,2,IC1,,"54,900",Colisão lat. c/ outro veículo mov.
Alcácer do Sal,2012:03:30 15:50:00,0,1,EN5,,"76,266",Despiste c/ capotamento
Alcácer do Sal,2012:04:20 21:20:00,0,1,AV JOSE SARAMAGO,,,Colisão lat. c/ outro veículo mov.
Alcácer do Sal,2012:05:01 10:20:00,0,1,EN253,,"14,600",Despiste simples
Alcácer do Sal,2012:05:23 13:00:00,0,1,EN261,,"2,600",Colisão tras. c/ outro veíc. mov.
Alcácer do Sal,2012:06:17 06:20:00,0,1,EN253,,"30,250",Despiste c/ capotamento
Alcácer do Sal,2012:06:20 19:40:00,1,1,EN120,,"10,200",Colisão frontal
Alcácer do Sal,2012:06:23 19:15:00,1,0,EN253,,"12,900",Colisão tras. c/ outro veíc. mov.
Alcácer do Sal,2012:06:24 14:50:00,1,0,EN5,,"61,300",Colisão frontal
Alcácer do Sal,2012:08:04 17:15:00,0,1,EN5,,"48,600",Colisão frontal
Alcácer do Sal,2012:08:15 07:45:00,1,0,EM543,,,Despiste c/ capotamento
Alcácer do Sal,2012:09:20 00:05:00,1,0,A2,,"87,550",Atropelamento de peões
"",,,,R. 1o de Maio (junto est.,,,
Alcácer do Sal,2012:10:13 17:07:00,1,0,,,,Despiste simples
"",,,,acesso à Herd. Ervideira),,,
Alcochete,2012:03:03 01:10:00,0,1,IC3,,"2,450",Colisão frontal
Alcochete,2012:05:07 17:40:00,0,1,EM1004,,,Despiste c/col. c/veíc. imobil./obst.
Alcochete,2012:05:20 03:40:00,0,1,EM502,,"0,900",Despiste simples
Almada,2012:02:09 00:10:00,0,1,Avenida Arsenal do Alfeite,,,De  s  p  i s t ec  /  c  a  p  o  t a  me  n  t o
