Concelho,Datahora,M*,FG*,,Via,km,Natureza
Leiria,2011:03:01 11:15:00,1,0,EN1,,"124,300",Colisão lat. c/ outro veíc. mov.
Leiria,2011:03:07 19:10:00,0,1,R Barosa,,,Atropelamento de peões
Leiria,2011:03:09 23:25:00,3,2,IC2,,"131,800",Colisão frontal
Leiria,2011:03:14 11:35:00,0,1,EN1,,"128,300",Colisão lat. c/ outro veíc. mov.
Leiria,2011:03:18 11:10:00,0,1,IC2,,"119,725",Colisão frontal
Leiria,2011:04:14 13:30:00,1,0,R Leiria,,,Colisão lat. c/ outro veíc. mov.
Leiria,2011:04:15 07:35:00,0,1,A1,,"123,134",Colisão tras. c/ outro veíc. mov.
Leiria,2011:04:15 10:00:00,1,0,A8,,"121,300",Despiste c/col. c/veíc. imobil./obst.
Leiria,2011:05:05 11:10:00,0,1,EN113,,"15,900",Despiste simples
Leiria,2011:05:11 19:00:00,0,1,EN113,,,Atropelamento de peões
Leiria,2011:05:14 15:30:00,0,1,R Alcovim,,,Colisão frontal
Leiria,2011:05:21 18:20:00,1,0,R Agostinho Domingos,,,Despiste simples
Leiria,2011:05:22 18:40:00,1,0,A1,,"131,820",Despiste c/ dispositivo de retenção
Leiria,2011:06:19 05:15:00,0,1,EN350,,"8,500",Despiste c/capotamento
Leiria,2011:07:06 09:10:00,0,1,IC2,,"135,800",Colisão lat. c/ outro veíc. mov.
Leiria,2011:07:09 07:30:00,1,0,EN109,,"162,323",Colisão lat. c/ outro veíc. mov.
Leiria,2011:07:14 11:21:00,0,1,Trav Venceslau Morais,,,Atropelamento de peões
Leiria,2011:07:21 20:25:00,1,0,R Principal,,,Despiste simples
Leiria,2011:08:06 14:30:00,1,0,R Principal,,,Colisão com outras situações
Leiria,2011:08:08 06:30:00,0,1,R Costa,,,Despiste c/capotamento
Leiria,2011:08:18 11:15:00,0,1,A1,,"129,155",Colisão tras. c/ outro veíc. mov.
Leiria,2011:08:31 17:25:00,0,1,EN113,,"9,100",Colisão frontal
Leiria,2011:09:04 07:45:00,2,0,A17,,"16,900",Despiste c/capotamento
Leiria,2011:09:12 19:00:00,1,0,R Santo António,,,Despiste c/col. c/veíc. imobil./obst.
Leiria,2011:09:13 21:08:00,1,0,R Castanheiro,,,Despiste c/capotamento
Leiria,2011:09:25 07:05:00,0,1,R Colón Agríc Alcaidaria,,,Despiste c/capotamento
Leiria,2011:10:08 08:35:00,0,1,Est Estação,,,A  t r  o  p  e  la  me  n  t od  ep  e  õ  e s
Leiria,2011:10:09 16:30:00,0,1,A17,,"8,230",Despiste simples
Leiria,2011:10:17 14:00:00,0,1,EN109,,"161,320",Despiste simples
Leiria,2011:10:20 18:30:00,1,0,A1,,"138,089",Despiste simples
Leiria,2011:10:29 09:40:00,0,1,R Mártires,,,Atropelamento de peões
Leiria,2011:11:07 15:55:00,0,1,Est Estação,,,A  t r  o  p  e  la  me  n  t od  ep  e  õ  e s
Leiria,2011:11:08 16:15:00,0,1,R Central,,,Colisão lat. c/ outro veíc. mov.
Leiria,2011:11:20 04:45:00,0,3,R Pinhal,,,Despiste simples
