Concelho,Datahora,M*,FG*,,Via,km,Natureza
Viana Castelo,2011:10:15 03:15:00,1,1,EN308,,"1,500",Despiste c/capotamento
Viana Castelo,2011:11:08 17:30:00,1,0,Av Abelheira,,,Atropelamento de peões
Viana Castelo,2011:11:26 17:40:00,0,1,R S Vicente,,,At r o  p  e  l a  me  n  t od  ep  e  õ es
Viana Castelo,2011:11:27 18:00:00,1,2,EM540,,,Despiste simples
V. N. de Cerveira,2011:07:24 04:30:00,2,0,Est Lenta,,,Despiste c/capotamento
V. N. de Cerveira,2011:08:27 13:05:00,0,1,A3,,"98,000",Despiste simples
V. N. de Cerveira,2011:09:15 10:46:00,0,1,EN13,,"103,533",Colisão lat. c/ outro veíc. mov.
"",,26,41,,,,
Arcos Valdevez,2011:01:16 20:35:00,1,0,EN304,,"39,700",Despiste simples
Arcos Valdevez,2011:05:13 07:45:00,0,1,EN101,,"55,350",Colisão lat. c/ outro veíc. mov.
Arcos Valdevez,2011:07:01 07:30:00,0,1,Estrada Municipal,,,Despiste c/capotamento
Arcos Valdevez,2011:11:08 10:15:00,1,0,Lugar Couto,,,Despiste c/capotamento
Arcos Valdevez,2011:12:24 02:00:00,0,1,Av José O Laranj Gomes,,,Atropelamento de peões
Caminha,2011:06:02 16:25:00,0,2,EN13,,"82,900",Atropelamento de peões
Caminha,2011:12:11 19:50:00,1,0,EN13,,"94,100",Despiste simples
Caminha,2011:12:22 15:45:00,0,1,EN13,,"93,400",Colisão tras. c/ outro veíc. mov.
Melgaço,2011:02:22 17:06:00,1,0,Caminho particular,,,Atropelamento de peões
Melgaço,2011:08:12 14:35:00,0,1,Estrada Municipal,,,Despiste simples
Melgaço,2011:12:07 15:30:00,1,0,Lugar Serra,,,Despiste c/capotamento
Melgaço,2011:12:21 16:30:00,0,1,EN202,,"21,539",Colisão lat. c/ outro veíc. mov.
Monção,2011:01:17 18:20:00,1,0,EM505,,"0,500",Atropelamento de peões
Monção,2011:02:24 19:00:00,0,1,EN202,,"0,700",Colisão lat. c/ outro veíc. mov.
Monção,2011:02:24 19:50:00,0,1,EN202,,"0,700",Atropelamento de peões
Monção,2011:03:01 17:05:00,0,1,Lg Sende,,,Colisão lat. c/ outro veíc. mov.
Monção,2011:04:27 13:25:00,0,1,EM507,,,Colisão lat. c/ outro veíc. mov.
Monção,2011:05:14 05:45:00,1,3,EN202,,"2,400",Colisão frontal
Monção,2011:09:28 16:45:00,1,0,EM507,,,Atropelamento de peões
Paredes Coura,2011:02:14 16:45:00,1,0,EM520,,,Colisão com outras situações
Paredes Coura,2011:07:04 19:30:00,1,0,EN303,,"22,943",Atropelamento de peões
Paredes Coura,2011:09:27 17:30:00,1,0,EM509,,,Despiste c/capotamento
Paredes Coura,2011:11:20 04:20:00,1,0,A3,,"93,200",Despiste c/capotamento
Ponte da Barca,2011:09:04 05:48:00,1,0,EN101,,"59,550",Despiste c/col. c/veíc. imobil./obst.
Ponte de Lima,2011:01:29 14:30:00,1,0,EN306,,"11,000",Despiste simples
Ponte de Lima,2011:02:24 19:30:00,0,1,Lugar paraíso,,,Despiste simples
Ponte de Lima,2011:03:01 17:00:00,0,1,EM538,,,Despiste simples
Ponte de Lima,2011:04:09 14:00:00,0,1,EN306,,"20,600",Colisão frontal
Ponte de Lima,2011:06:18 20:20:00,0,1,Av António Feijó,,,A  t r o  p  e  l a  me  n  t od  ep  e ões
Ponte de Lima,2011:06:28 20:15:00,0,1,EN203,,"29,000",Despiste simples
Ponte de Lima,2011:08:15 16:30:00,0,1,EN203,,"16,900",Colisão frontal
Ponte de Lima,2011:11:18 21:20:00,0,1,EN308,,"21,174",Despiste simples
Ponte de Lima,2011:12:05 19:30:00,0,1,A3,,"72,475",Despiste c/col. c/veíc. imobil./obst.
Ponte de Lima,2011:12:26 11:10:00,0,1,Ponte senhora Guia,,,Atropelamento de peões
Valença,2011:03:01 08:35:00,2,0,Estrada Municipal,,,Atropelamento de peões
Valença,2011:04:23 14:30:00,0,1,EN13,,"115,600",Colisão lat. c/ outro veíc. mov.
Valença,2011:05:14 14:30:00,0,1,Av Bombeiros Valença,,,Atropelamento de peões
Viana Castelo,2011:01:04 15:45:00,1,0,A28,,"69,850",Colisão lat. c/ outro veíc. mov.
Viana Castelo,2011:02:19 09:30:00,0,1,EN203,,"2,400",Atropelamento de peões
Viana Castelo,2011:05:05 18:55:00,0,1,R Igreja,,,Atropelamento de peões
Viana Castelo,2011:05:06 11:10:00,1,0,Av Praia,,,Atropelamento de peões
Viana Castelo,2011:05:21 16:35:00,0,1,A28,,"58,700",Despiste c/capotamento
Viana Castelo,2011:06:14 12:30:00,1,0,R S Sebastião,,,Despiste c/col. c/veíc. imobil./obst.
Viana Castelo,2011:06:15 13:20:00,1,0,A28,,"67,400",Colisão tras. c/ outro veíc. mov.
Viana Castelo,2011:06:23 10:00:00,0,1,R Linha Vale Lima,,,Colisão frontal
Viana Castelo,2011:07:20 18:30:00,0,1,Estrada Municipal,,,Atropelamento de peões
Viana Castelo,2011:07:20 23:00:00,0,1,EN13,,"59,800",Despiste c/capotamento
Viana Castelo,2011:08:16 11:45:00,1,0,EN13-3,,"6,940",Colisão lat. c/ outro veíc. mov.
Viana Castelo,2011:08:21 01:30:00,0,1,EN203,,"6,100",Atropelamento com fuga
Viana Castelo,2011:08:28 20:00:00,0,1,R 23 Fevereiro,,,Colisão c/veic./obstáculo f.rodagem
Viana Castelo,2011:09:06 19:00:00,0,1,R Liberdade,,,Despiste simples
