"",Concelho,Datahora,M,FG,,Via,Km,Natureza
Arraiolos,,25-09-2012 20:15,0,1,-,,-,Colisão lateral com outro veículo em movi...
Arraiolos,,31-10-2012 15:20,1,0,EM527-1,,-,Colisão frontal
Arraiolos,,20-02-2012 13:10,1,0,EN4,,"125,832",Atropelamento de peões
Estremoz,,26-08-2012 14:20,0,1,Ava Rainha Santa I...,,-,Colisão frontal
Estremoz,,04-10-2012 06:20,0,1,Avenida Santo Antó...,,-,Despiste simples
Estremoz,,22-03-2012 20:40,0,1,EM504,,"16,750",Colisão traseira com outro veículo em mo...
Estremoz,,15-07-2012 07:45,0,1,EN18,,"226,075",Despiste simples
Estremoz,,26-06-2012 22:45,0,1,EN18,,"231,327",Despiste com capotamento
Estremoz,,26-10-2012 12:15,0,1,EN4,,"146,746",Despiste com capotamento
Estremoz,,21-01-2012 18:10,0,1,EN4,,"146,750",Despiste com transposição do dispositivo ...
Estremoz,,08-10-2012 19:00,0,2,Largo Portas de Év...,,-,Atropelamento de peões
Estremoz,,07-03-2012 17:30,0,1,R SAO BENTO,,-,Despiste com capotamento
Estremoz,,24-11-2012 13:45,0,1,Rua Rainha Santa I...,,-,Colisão com outras situações
Evora,,21-07-2012 11:00,0,1,-,,-,Despiste simples
Evora,,02-03-2012 22:15,0,1,Avenida Arquitecto ...,,-,Colisão frontal
Evora,,04-07-2012 12:30,0,1,EM1087,,-,Despiste simples
Evora,,06-05-2012 01:20,0,1,EM527,,-,Atropelamento de peões
Evora,,19-10-2012 00:01,2,0,EN114,,"176,700",Despiste sem dispositivo de retenção
Evora,,18-12-2012 07:50,0,1,EN114,,"182,400",Colisão lateral com outro veículo em movi...
Evora,,29-02-2012 02:10,0,1,EN114-4,,"8,332",Despiste simples
Evora,,05-01-2012 12:30,0,1,EN114-4,,-,Despiste com colisão com veículo imobil. ...
Evora,,02-10-2012 08:00,0,1,EN18,,-,Atropelamento de peões
Evora,,16-03-2012 20:30,0,1,EN254,,"39,623",Despiste com capotamento
Evora,,25-11-2012 22:20,0,1,EN254,,"49,879",Despiste com capotamento
Evora,,12-02-2012 05:00,0,1,EN254,,"60,426",Despiste com capotamento
Evora,,10-12-2012 12:15,1,0,EN256,,"0,877",Despiste simples
Evora,,06-01-2012 17:33,1,0,EN256,,"4,281",Despiste com colisão com veículo imobil. ...
Evora,,31-12-2012 15:10,0,1,EN256,,"12,650",Colisão frontal
Evora,,02-03-2012 17:50,0,1,EN256,,"13,120",Despiste simples
Evora,,25-08-2012 16:35,0,2,EN256,,"14,526",Colisão frontal
Evora,,01-11-2012 00:25,0,3,EN380,,"92,800",Colisão frontal
Evora,,20-01-2012 21:45,0,1,Estrada da Chaínha...,,-,Colisão lateral com outro veículo em movi...
Evora,,14-09-2012 08:25,0,2,Troço entre Rotund...,,-,Colisão frontal
Evora,,01-06-2012 21:40,0,1,Variante do Contin...,,-,Colisão frontal
Evora,,21-04-2012 12:45,0,1,Variante Sul s/n,,-,Atropelamento de peões
Montemor-o-Novo,,13-09-2012 11:40,0,1,A6,,"47,400",Despiste com capotamento
Montemor-o-Novo,,08-10-2012 23:30,0,1,Ava Gago Coutinho,,-,Colisão frontal
Montemor-o-Novo,,06-05-2012 15:10,0,1,EN114,,"149,083",Despiste simples
Montemor-o-Novo,,06-08-2012 15:30,0,1,EN2,,"516,200",Despiste com colisão com veículo imobil. ...
Montemor-o-Novo,,04-11-2012 04:20,1,0,EN2,,"536,350",Despiste simples
Mora,,30-08-2012 18:05,0,1,EM1008,,"6,880",Colisão frontal
Portel,,06-08-2012 12:20,0,1,IP2,,"298,382",Colisão lateral com outro veículo em movi...
Portel,,04-11-2012 11:42,1,1,IP2,,"311,632",Despiste com capotamento
Redondo,,28-09-2012 08:00,0,1,EM524,,-,Colisão frontal
Reguengos de Monsaraz,,03-11-2012 17:15,0,2,EM1114,,-,Colisão frontal
Reguengos de Monsaraz,,05-09-2012 13:10,0,1,EM1128,,-,Despiste com capotamento
Reguengos de Monsaraz,,12-08-2012 23:00,0,1,EM514,,"15,900",Despiste simples
Reguengos de Monsaraz,,26-03-2012 11:30,0,1,PARQUE ESTACION...,,-,Atropelamento de peões
Reguengos de Monsaraz,,26-03-2012 14:45,0,1,R NOVA 49,,-,Colisão com veiculo ou obstáculo na faixa...
Reguengos de Monsaraz,,28-07-2012 11:30,0,1,Rua da Horta 76,,-,Colisão lateral com outro veículo em movi...
Vendas Novas,,11-07-2012 19:28,1,0,A2,,"56,730",Despiste simples
Vendas Novas,,27-12-2012 19:08,1,0,EN380,,"13,975",Colisão traseira com outro veículo em mo...
Vendas Novas,,09-04-2012 16:45,0,1,EN4,,"53,930",Colisão frontal
Vendas Novas,,26-12-2012 08:45,0,2,EN4,,"62,420",Despiste simples
Vendas Novas,,31-01-2012 18:15,0,1,R JOAQUIM PEDRO...,,-,Atropelamento de peões
Vendas Novas,,04-09-2012 18:50,0,1,Rua General Humb...,,-,Atropelamento de peões
Viana do Alentejo,,26-10-2012 12:50,0,1,EN254,,"67,660",Despiste com capotamento
Vila Vicosa,,11-01-2012 09:40,1,0,EM509,,-,Despiste com colisão com veículo imobil. ...
Vila Vicosa,,11-12-2012 03:15,0,1,Largo Gago Coutinho,,-,Atropelamento com fuga
"",,-,-,-,-,,-,-
